"SourcePath","Category","RegionUsage","AdapterPrefab","LicenseNote","Approved"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/A Base Gradient.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Base boxes.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Base Core.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Base door.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Base Platforms.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Cables.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Camera fade.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/chain.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Clouds tiled.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Clouds.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Columns.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Fog.png","VFX","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/lamp.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Mounts back.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Mounts tiled.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Mounts.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Old bridge.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Panel.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/planet.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Sky.png","Background","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Ancient base Sprites/Window.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Foreground/Base foreground Fill.png","Foreground","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Foreground/Base foreground sides.png","Foreground","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Ground elements/Ground element shape.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Ground Sprite shape/Ancient Base shape Elements.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Ground Sprite shape/Ancient Base shape Fill.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Ground Sprite shape/Ancient Base shape Sides B.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Ground Sprite shape/Ancient Base shape Sides.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Iron Railing/Iron railing.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Mashinery dump/Mashinery dump element.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Mashinery dump/Mashinery dump fill.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Mashinery dump/Mashinery dump.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Shadow/dark fill.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Shadow/dark sidesA.png","Prop","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Tunel walls/Tunel walls fill.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Tunel walls/Tunel walls.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Tunel walls/Tunels.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Abandoned station/Sprite shape/Wall/Base wall side.png","Terrain","Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
