CandidateId,EdgeOpenCellSet,StandableSpans,LaunchCells,LandingCells,GrabCorners,FallColumns,ClimbOverlayCells,SolidAirOneWay,AirComponents,SymmetricTransforms,ContextRequired
"RMAP07_0A655882772A","Left:0,0=Air/0,1=Air/0,2=Air;Right:3,0=Air/3,1=Air/3,3=Air;Up:1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","3-3@2 headroom=1?;0-0@3 headroom=0?","3,3","3,3","3,2;0,3","1;2","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_14DD38B63C1F","Left:0,0=Air/0,1=Air;Right:3,0=Air/3,1=Air;Up:;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;1,2","7/9/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;1,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_168CCC357CD5","Left:0,0=Air/0,1=Air/0,2=Air;Right:3,0=Air;Up:;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;3,0;0,1;1,1;2,1;0,2;1,2","7/9/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;0,2;1,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_16A6ECEF6D87","Left:0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air;Up:0,3=Air/1,3=Air;Down:2,0=Air/3,0=Air","1-1@0 headroom=1;0-0@1 headroom=2?;1-1@2 headroom=1?;2-3@3 headroom=0?","1,1;0,2;1,3","1,1;0,2;1,3","1,0;0,1;1,2;2,3;3,3","","2,0;3,0;1,1;2,1;3,1;0,2;3,2;0,3;1,3","7/9/0","2,0;3,0;1,1;2,1;3,1;3,2;0,2;0,3;1,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_1B1A84B2AB74","Left:0,2=Air/0,3=Air;Right:3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:","1-1@0 headroom=3?;0-0@1 headroom=2?;2-3@1 headroom=2?","1,1;0,2;2,2;3,2","1,1;0,2;2,2;3,2","0,1;2,1;3,1","","1,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","7/9/0","1,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_244CEA1EB638","Left:0,1=Air/0,2=Air/0,3=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:","0-0@0 headroom=3?;2-3@0 headroom=3?;1-1@1 headroom=2?","0,1;2,1;3,1;1,2","0,1;2,1;3,1;1,2","0,0;3,0;1,1","","0,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","5/11/0","0,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_258AFD068C9F","Left:0,1=Air/0,2=Air/0,3=Air;Right:3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:","0-1@0 headroom=3?;2-2@1 headroom=2?;3-3@2 headroom=1?","0,1;1,1;2,2;3,3","0,1;1,1;2,2;3,3","0,0;2,1;3,2","","0,1;1,1;0,2;1,2;2,2;0,3;1,3;2,3;3,3","7/9/0","0,1;1,1;0,2;1,2;2,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_26DF04E23AA9","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","1-1@2 headroom=1?","1,3","1,3","1,2","0;2;3","0,0;1,0;2,0;3,0;0,1;2,1;3,1;0,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;3,0;0,1;2,1;3,1;0,2;2,2;3,2;0,3;1,3;2,3;3,3","R0;MirrorY","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_27786F255580","Left:0,0=Air/0,2=Air/0,3=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air","3-3@0 headroom=3?;0-0@1 headroom=2?","3,1;0,2","3,1;0,2","3,0;0,1","1;2","0,0;1,0;2,0;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_286521366D7E","Left:0,0=Air/0,1=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-0@2 headroom=1?;2-2@3 headroom=0?","0,3","0,3","0,2;2,3","1;3","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;1,2;2,2;3,2;0,3;1,3;3,3","2/14/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;1,2;2,2;3,2;0,3;1,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
