InstanceId,SourceChunk,PortId,Side,Traversal,Flow,Required,GlobalCells
C0_0,T1_A,P_T1A_L,Left,Walk,In,true,0:1;0:2
C0_0,T1_A,P_T1A_R,Right,Walk,Out,true,11:1;11:2
C1_0,T1_B,P_T1B_L,Left,Walk,In,true,12:1;12:2
C1_0,T1_B,P_T1B_R,Right,Walk,Out,false,23:1;23:2
C2_0,T1_A,P_T1A_L,Left,Walk,In,true,24:1;24:2
C2_0,T1_A,P_T1A_R,Right,Walk,Out,true,35:1;35:2
C0_1,T2_DROP,P_T2_D,Down,Drop,Out,true,6:8;7:8;8:8;9:8
C0_1,T2_DROP,P_T2_L,Left,Walk,In,true,0:9;0:10
C1_1,T3_CLIMB,P_T3_L,Left,Walk,In,true,12:9;12:10
C1_1,T3_CLIMB,P_T3_U,Up,Climb,Out,true,17:15;18:15
C2_1,T4_SPLIT,P_T4_D,Down,Drop,Both,false,28:8;29:8
C2_1,T4_SPLIT,P_T4_L_HIGH,Left,Hang,In,false,24:13;24:14
C2_1,T4_SPLIT,P_T4_L_LOW,Left,Walk,In,false,24:9;24:10
C2_1,T4_SPLIT,P_T4_R,Right,Walk,Out,false,35:9;35:10
C2_1,T4_SPLIT,P_T4_U,Up,Climb,Both,false,28:15;29:15
C1_2,T0_SINGLE_ENTRANCE,P_T0_SINGLE_L,Left,Walk,Both,false,12:17;12:18
C2_2,T1_B,P_T1B_L,Left,Walk,In,true,24:17;24:18
C2_2,T1_B,P_T1B_R,Right,Walk,Out,false,35:17;35:18
