InstanceId,SlotOrigin,CandidateId,Transform,FinalCells16
C0_0,0;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C0_0,4;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C0_0,8;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C0_0,0;4,RMAP11_EAAEB09A6D65,R180,AAAAAASAASAAAAAA
C0_0,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_0,8;4,RMAP11_EAAEB09A6D65,MirrorX,AAAAASAAAASAAAAA
C1_0,0;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_0,4;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_0,8;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_0,0;4,RMAP11_97D1F3B0115D,R0,AAAAASAAAASAAAAA
C1_0,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C1_0,8;4,RMAP11_97D1F3B0115D,MirrorY,AAAAAASAASAAAAAA
C2_0,0;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C2_0,4;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C2_0,8;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C2_0,0;4,RMAP11_62A800CFE174,MirrorX,AAAAAAAAASSAAAAA
C2_0,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_0,8;4,RMAP11_62A800CFE174,R180,AAAAASSAAAAAAAAA
C0_1,0;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_1,4;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_1,8;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_1,0;4,RMAP11_ADE9F281FBF3,MirrorY,AAAAAAAAASSAAAAA
C0_1,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_1,8;4,RMAP11_ADE9F281FBF3,R0,AAAAASSAAAAAAAAA
C1_1,0;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_1,4;0,RMAP07_56FB16683040,MirrorY,SSSSAAAAAAAAAAAA
C1_1,8;0,RMAP07_6F5D1DF424AA,MirrorX,SSSSAAAAAAAAAAAA
C1_1,0;4,RMAP07_26DF04E23AA9,R0,AAAAASAAASAAAAAA
C1_1,4;4,RMAP07_0A655882772A,R0,AAAAAAAAAAASSAAA
C1_1,8;4,RMAP07_27786F255580,R0,AAASSAAAAAAAAAAA
C2_1,0;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_1,4;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_1,8;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_1,0;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_1,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_1,8;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_2,0;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_2,4;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_2,8;0,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_2,0;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_2,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C0_2,8;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C1_2,0;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_2,4;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_2,8;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C1_2,0;4,RMAP07_348D65F87C81,R0,AOOAAAAAAAAAAAAA
C1_2,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C1_2,8;4,RMAP11_ADE9F281FBF3,R0,AAAAASSAAAAAAAAA
C2_2,0;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C2_2,4;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C2_2,8;0,RMAP07_6F5D1DF424AA,R0,SSSSAAAAAAAAAAAA
C2_2,0;4,RMAP11_EAAEB09A6D65,R180,AAAAAASAASAAAAAA
C2_2,4;4,RMAP07_991204FBA2B6,R0,AAAAAAAAAAAAAAAA
C2_2,8;4,RMAP11_EAAEB09A6D65,MirrorX,AAAAASAAAASAAAAA
