PrimaryRole,Target,Actual,Difference,AdjustmentReason
"SlopeRiseRight","55","23","-32","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"SlopeRiseLeft","55","38","-17","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"CeilingFlat","40","4","-36","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"CeilingRough","50","113","63","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"WallLeft","35","18","-17","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"WallRight","35","24","-11","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"VoidClear","1","1","0","INITIAL_A13_TARGET_MET_WITH_RETAINED_ACTUAL_GEOMETRY"
"SparseAirPlatform","95","4","-91","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"StandableLedge","100","274","174","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
"VerticalPassage","34","1","-33","A13_TARGET_ADJUSTED_TO_ACTUAL_CLASSIFICATION_AFTER_RMAP07_RETENTION_AND_FIXED_500_CAP"
