X,Y,BaseCell,Chunk
0,0,Solid,C0_0
1,0,Solid,C0_0
2,0,Solid,C0_0
3,0,Solid,C0_0
4,0,Solid,C0_0
5,0,Solid,C0_0
6,0,Solid,C0_0
7,0,Solid,C0_0
8,0,Solid,C0_0
9,0,Solid,C0_0
10,0,Solid,C0_0
11,0,Solid,C0_0
0,1,Air,C0_0
1,1,Air,C0_0
2,1,Air,C0_0
3,1,Air,C0_0
4,1,Air,C0_0
5,1,Air,C0_0
6,1,Air,C0_0
7,1,Air,C0_0
8,1,Air,C0_0
9,1,Air,C0_0
10,1,Air,C0_0
11,1,Air,C0_0
0,2,Air,C0_0
1,2,Air,C0_0
2,2,Air,C0_0
3,2,Air,C0_0
4,2,Air,C0_0
5,2,Air,C0_0
6,2,Air,C0_0
7,2,Air,C0_0
8,2,Air,C0_0
9,2,Air,C0_0
10,2,Air,C0_0
11,2,Air,C0_0
0,3,Air,C0_0
1,3,Air,C0_0
2,3,Air,C0_0
3,3,Air,C0_0
4,3,Air,C0_0
5,3,Air,C0_0
6,3,Air,C0_0
7,3,Air,C0_0
8,3,Air,C0_0
9,3,Air,C0_0
10,3,Air,C0_0
11,3,Air,C0_0
0,4,Air,C0_0
1,4,Air,C0_0
2,4,Air,C0_0
3,4,Air,C0_0
4,4,Air,C0_0
5,4,Air,C0_0
6,4,Air,C0_0
7,4,Air,C0_0
8,4,Air,C0_0
9,4,Air,C0_0
10,4,Air,C0_0
11,4,Air,C0_0
0,5,Air,C0_0
1,5,Air,C0_0
2,5,Solid,C0_0
3,5,Air,C0_0
4,5,Air,C0_0
5,5,Air,C0_0
6,5,Air,C0_0
7,5,Air,C0_0
8,5,Air,C0_0
9,5,Solid,C0_0
10,5,Air,C0_0
11,5,Air,C0_0
0,6,Air,C0_0
1,6,Solid,C0_0
2,6,Air,C0_0
3,6,Air,C0_0
4,6,Air,C0_0
5,6,Air,C0_0
6,6,Air,C0_0
7,6,Air,C0_0
8,6,Air,C0_0
9,6,Air,C0_0
10,6,Solid,C0_0
11,6,Air,C0_0
0,7,Air,C0_0
1,7,Air,C0_0
2,7,Air,C0_0
3,7,Air,C0_0
4,7,Air,C0_0
5,7,Air,C0_0
6,7,Air,C0_0
7,7,Air,C0_0
8,7,Air,C0_0
9,7,Air,C0_0
10,7,Air,C0_0
11,7,Air,C0_0
12,0,Solid,C1_0
13,0,Solid,C1_0
14,0,Solid,C1_0
15,0,Solid,C1_0
16,0,Solid,C1_0
17,0,Solid,C1_0
18,0,Solid,C1_0
19,0,Solid,C1_0
20,0,Solid,C1_0
21,0,Solid,C1_0
22,0,Solid,C1_0
23,0,Solid,C1_0
12,1,Air,C1_0
13,1,Air,C1_0
14,1,Air,C1_0
15,1,Air,C1_0
16,1,Air,C1_0
17,1,Air,C1_0
18,1,Air,C1_0
19,1,Air,C1_0
20,1,Air,C1_0
21,1,Air,C1_0
22,1,Air,C1_0
23,1,Air,C1_0
12,2,Air,C1_0
13,2,Air,C1_0
14,2,Air,C1_0
15,2,Air,C1_0
16,2,Air,C1_0
17,2,Air,C1_0
18,2,Air,C1_0
19,2,Air,C1_0
20,2,Air,C1_0
21,2,Air,C1_0
22,2,Air,C1_0
23,2,Air,C1_0
12,3,Air,C1_0
13,3,Air,C1_0
14,3,Air,C1_0
15,3,Air,C1_0
16,3,Air,C1_0
17,3,Air,C1_0
18,3,Air,C1_0
19,3,Air,C1_0
20,3,Air,C1_0
21,3,Air,C1_0
22,3,Air,C1_0
23,3,Air,C1_0
12,4,Air,C1_0
13,4,Air,C1_0
14,4,Air,C1_0
15,4,Air,C1_0
16,4,Air,C1_0
17,4,Air,C1_0
18,4,Air,C1_0
19,4,Air,C1_0
20,4,Air,C1_0
21,4,Air,C1_0
22,4,Air,C1_0
23,4,Air,C1_0
12,5,Air,C1_0
13,5,Solid,C1_0
14,5,Air,C1_0
15,5,Air,C1_0
16,5,Air,C1_0
17,5,Air,C1_0
18,5,Air,C1_0
19,5,Air,C1_0
20,5,Air,C1_0
21,5,Air,C1_0
22,5,Solid,C1_0
23,5,Air,C1_0
12,6,Air,C1_0
13,6,Air,C1_0
14,6,Solid,C1_0
15,6,Air,C1_0
16,6,Air,C1_0
17,6,Air,C1_0
18,6,Air,C1_0
19,6,Air,C1_0
20,6,Air,C1_0
21,6,Solid,C1_0
22,6,Air,C1_0
23,6,Air,C1_0
12,7,Air,C1_0
13,7,Air,C1_0
14,7,Air,C1_0
15,7,Air,C1_0
16,7,Air,C1_0
17,7,Air,C1_0
18,7,Air,C1_0
19,7,Air,C1_0
20,7,Air,C1_0
21,7,Air,C1_0
22,7,Air,C1_0
23,7,Air,C1_0
24,0,Solid,C2_0
25,0,Solid,C2_0
26,0,Solid,C2_0
27,0,Solid,C2_0
28,0,Solid,C2_0
29,0,Solid,C2_0
30,0,Solid,C2_0
31,0,Solid,C2_0
32,0,Solid,C2_0
33,0,Solid,C2_0
34,0,Solid,C2_0
35,0,Solid,C2_0
24,1,Air,C2_0
25,1,Air,C2_0
26,1,Air,C2_0
27,1,Air,C2_0
28,1,Air,C2_0
29,1,Air,C2_0
30,1,Air,C2_0
31,1,Air,C2_0
32,1,Air,C2_0
33,1,Air,C2_0
34,1,Air,C2_0
35,1,Air,C2_0
24,2,Air,C2_0
25,2,Air,C2_0
26,2,Air,C2_0
27,2,Air,C2_0
28,2,Air,C2_0
29,2,Air,C2_0
30,2,Air,C2_0
31,2,Air,C2_0
32,2,Air,C2_0
33,2,Air,C2_0
34,2,Air,C2_0
35,2,Air,C2_0
24,3,Air,C2_0
25,3,Air,C2_0
26,3,Air,C2_0
27,3,Air,C2_0
28,3,Air,C2_0
29,3,Air,C2_0
30,3,Air,C2_0
31,3,Air,C2_0
32,3,Air,C2_0
33,3,Air,C2_0
34,3,Air,C2_0
35,3,Air,C2_0
24,4,Air,C2_0
25,4,Air,C2_0
26,4,Air,C2_0
27,4,Air,C2_0
28,4,Air,C2_0
29,4,Air,C2_0
30,4,Air,C2_0
31,4,Air,C2_0
32,4,Air,C2_0
33,4,Air,C2_0
34,4,Air,C2_0
35,4,Air,C2_0
24,5,Air,C2_0
25,5,Air,C2_0
26,5,Air,C2_0
27,5,Air,C2_0
28,5,Air,C2_0
29,5,Air,C2_0
30,5,Air,C2_0
31,5,Air,C2_0
32,5,Air,C2_0
33,5,Solid,C2_0
34,5,Solid,C2_0
35,5,Air,C2_0
24,6,Air,C2_0
25,6,Solid,C2_0
26,6,Solid,C2_0
27,6,Air,C2_0
28,6,Air,C2_0
29,6,Air,C2_0
30,6,Air,C2_0
31,6,Air,C2_0
32,6,Air,C2_0
33,6,Air,C2_0
34,6,Air,C2_0
35,6,Air,C2_0
24,7,Air,C2_0
25,7,Air,C2_0
26,7,Air,C2_0
27,7,Air,C2_0
28,7,Air,C2_0
29,7,Air,C2_0
30,7,Air,C2_0
31,7,Air,C2_0
32,7,Air,C2_0
33,7,Air,C2_0
34,7,Air,C2_0
35,7,Air,C2_0
0,8,Air,C0_1
1,8,Air,C0_1
2,8,Air,C0_1
3,8,Air,C0_1
4,8,Air,C0_1
5,8,Air,C0_1
6,8,Air,C0_1
7,8,Air,C0_1
8,8,Air,C0_1
9,8,Air,C0_1
