ScenePath,PoolVersion,PoolDigest,Seed,Size,Chunk,SlotOrigin,CandidateId,PoolIndex,InitialPool,Role,Transform,FinalCells16,TilemapTarget,ActualPlayerExit
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C0_0","0;0","RMAP07_6F5D1DF424AA","28","true","StandableLedge","R0","SSSSAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C0_0","4;0","RMAP07_6F5D1DF424AA","28","true","StandableLedge","R0","SSSSAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C0_0","8;0","RMAP07_6F5D1DF424AA","28","true","StandableLedge","R0","SSSSAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C0_0","0;4","RMAP11_EAAEB09A6D65","245","false","StandableLedge","R180","AAAAAASAASAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C0_0","4;4","RMAP07_991204FBA2B6","39","true","VoidClear","R0","AAAAAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C0_0","8;4","RMAP11_EAAEB09A6D65","245","false","StandableLedge","MirrorX","AAAAASAAAASAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C1_0","0;0","RMAP07_6F5D1DF424AA","28","true","StandableLedge","R0","SSSSAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C1_0","4;0","RMAP07_6F5D1DF424AA","28","true","StandableLedge","R0","SSSSAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C1_0","8;0","RMAP07_6F5D1DF424AA","28","true","StandableLedge","R0","SSSSAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C1_0","0;4","RMAP11_97D1F3B0115D","222","false","StandableLedge","R0","AAAAASAAAASAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C1_0","4;4","RMAP07_991204FBA2B6","39","true","VoidClear","R0","AAAAAAAAAAAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
"Assets/_Game/Map/Scenes/MoonPalace/RMAP11/MoonPalacePool500_RMAP11.unity","RMAP11_POOL500_V1","ce713ce3ce985558886032e04685875ff82b547c1bf321a1c63c5122ba6fae3e","1107","36x24","C1_0","8;4","RMAP11_97D1F3B0115D","222","false","StandableLedge","MirrorY","AAAAAASAASAAAAAA","RMAP11_BaseTerrain/RMAP11_OneWayOverlay","RMAP11_Player->RMAP11_Exit"
