ComparisonScope,SourceId,SourceMaskReference,FinalCandidateId,Decision
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0000","0x0000","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0000","0x0000","RMAP07_991204FBA2B6","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0000","0x0000","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0000","0x0000","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0000","0x0000","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0003","0x0003","RMAP11_6524E405A6E7","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0005","0x0005","RMAP11_782C6350D0BD","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0006","0x0006","RMAP11_62EFACCCD8AD","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0009","0x0009","RMAP11_D28E0A939044","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_000A","0x000A","RMAP11_62866FCA4CE5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_000C","0x000C","RMAP11_97714620E60F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0011","0x0011","RMAP07_8B83971CF6C7","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0011","0x0011","RMAP07_8B83971CF6C7","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0011","0x0011","RMAP07_9150F779FA44","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0011","0x0011","RMAP07_A97A420107D6","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0011","0x0011","RMAP07_33DA78CFFC2B","RETAINED_RMAP07_FIRST_POOL"
