micro_x,micro_y,tile_min_x,tile_min_y,patch_id,biome_key,owner_state
"0","0","0","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"1","0","12","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"2","0","24","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"3","0","36","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"4","0","48","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"5","0","60","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"6","0","72","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"7","0","84","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"8","0","96","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"9","0","108","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"10","0","120","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"11","0","132","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"12","0","144","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Active"
"13","0","156","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"14","0","168","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"15","0","180","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"16","0","192","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"17","0","204","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"18","0","216","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"19","0","228","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"20","0","240","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"21","0","252","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"22","0","264","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"23","0","276","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"24","0","288","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"25","0","300","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Active"
"26","0","312","0","84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6","AbandonedMill","Active"
