patch_id,biome_key,biome_display_name,micro_min_x,micro_min_y,micro_max_x,micro_max_y,tile_min_x,tile_min_y,tile_max_x,tile_max_y,area_microchunks,density_profile,owner_state,density_metric_status,density_metric_scope
"07bb62dd35e02986ca9c7adc054ed7e498b77120a5c335122ff756ce09c5ed09","AbandonedMill","Abandoned Mill","13","39","25","51","156","312","311","415","169","Open","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|07bb62dd35e02986ca9c7adc054ed7e498b77120a5c335122ff756ce09c5ed09"
"23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999","MoonDough","Moon Dough","26","13","38","25","312","104","467","207","169","Dense","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999"
"2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Moon Crater","13","0","25","12","156","0","311","103","169","Open","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601"
"47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","MoonCrater","Moon Crater","39","26","51","38","468","208","623","311","169","Open","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719"
"5ae1d578e6708bdf2e7c66ca68b7e766a66d55d50df9aaef5041b46130d9b211","AbandonedMill","Abandoned Mill","0","26","12","38","0","208","155","311","169","Dense","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|5ae1d578e6708bdf2e7c66ca68b7e766a66d55d50df9aaef5041b46130d9b211"
"5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Moon Dough","0","0","12","12","0","0","155","103","169","Open","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45"
"6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","CassiaRoot","Cassia Root","13","13","25","25","156","104","311","207","169","Balanced","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603"
"84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6","AbandonedMill","Abandoned Mill","26","0","38","12","312","0","467","103","169","Balanced","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6"
"8621267aa85d8ec6e58a226ec4fed239684352c23d920e956688e3be4a8b604d","CassiaRoot","Cassia Root","0","39","12","51","0","312","155","415","169","Open","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|8621267aa85d8ec6e58a226ec4fed239684352c23d920e956688e3be4a8b604d"
"95a07b08649ad4e7f5208153569b8d2281ac6efdb1ac2e9bb0d70cb915bedc78","AbandonedMill","Abandoned Mill","39","13","51","25","468","104","623","207","169","Dense","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|95a07b08649ad4e7f5208153569b8d2281ac6efdb1ac2e9bb0d70cb915bedc78"
"9921da5faaece9064d0725530c9060f304a6135090dc121f7530c70e4b473b0d","MoonCrater","Moon Crater","0","13","12","25","0","104","155","207","169","Balanced","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|9921da5faaece9064d0725530c9060f304a6135090dc121f7530c70e4b473b0d"
"9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","MoonDough","Moon Dough","39","39","51","51","468","312","623","415","169","Dense","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137"
"a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","MoonCrater","Moon Crater","26","39","38","51","312","312","467","415","169","Open","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552"
"d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","MoonDough","Moon Dough","13","26","25","38","156","208","311","311","169","Balanced","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946"
"d297e28101bdd0b92cbfe29d186dbee33d13f26d05cfe35b71ae16a99a24dd53","CassiaRoot","Cassia Root","39","0","51","12","468","0","623","103","169","Balanced","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|d297e28101bdd0b92cbfe29d186dbee33d13f26d05cfe35b71ae16a99a24dd53"
"d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","CassiaRoot","Cassia Root","26","26","38","38","312","208","467","311","169","Balanced","Active","PENDING_GEOMETRY","RMAP14_PATCH_SCOPE|d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9"
