patch_id,biome_key,selected_profile,open_weight,balanced_weight,dense_weight,target_min_permille,target_max_permille,metric_scope,measured_density
"07bb62dd35e02986ca9c7adc054ed7e498b77120a5c335122ff756ce09c5ed09","AbandonedMill","Open","2","4","4","400","550","RMAP14_PATCH_SCOPE|07bb62dd35e02986ca9c7adc054ed7e498b77120a5c335122ff756ce09c5ed09","PENDING_GEOMETRY"
"23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999","MoonDough","Dense","4","4","2","650","750","RMAP14_PATCH_SCOPE|23d29e0c365aefa4c3ccbad0fec904f289687f582e7a50b0748662ab32ef4999","PENDING_GEOMETRY"
"2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","MoonCrater","Open","4","4","2","400","550","RMAP14_PATCH_SCOPE|2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","PENDING_GEOMETRY"
"47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","MoonCrater","Open","4","4","2","400","550","RMAP14_PATCH_SCOPE|47d1cee661078f986e21200ecea44a3e33e3e67c859f816d659c0ea3420af719","PENDING_GEOMETRY"
"5ae1d578e6708bdf2e7c66ca68b7e766a66d55d50df9aaef5041b46130d9b211","AbandonedMill","Dense","2","4","4","650","750","RMAP14_PATCH_SCOPE|5ae1d578e6708bdf2e7c66ca68b7e766a66d55d50df9aaef5041b46130d9b211","PENDING_GEOMETRY"
"5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","MoonDough","Open","4","4","2","400","550","RMAP14_PATCH_SCOPE|5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","PENDING_GEOMETRY"
"6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","CassiaRoot","Balanced","3","4","3","550","650","RMAP14_PATCH_SCOPE|6701dc81871b62aa0e5cbe19099af6e97e8b94ba3e6b184e5ff9ac4e0097c603","PENDING_GEOMETRY"
"84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6","AbandonedMill","Balanced","2","4","4","550","650","RMAP14_PATCH_SCOPE|84d336cda898a3e5b69ed7a0a2a5afc9717c612e57d8bf9ed6c8b74ba9b306c6","PENDING_GEOMETRY"
"8621267aa85d8ec6e58a226ec4fed239684352c23d920e956688e3be4a8b604d","CassiaRoot","Open","3","4","3","400","550","RMAP14_PATCH_SCOPE|8621267aa85d8ec6e58a226ec4fed239684352c23d920e956688e3be4a8b604d","PENDING_GEOMETRY"
"95a07b08649ad4e7f5208153569b8d2281ac6efdb1ac2e9bb0d70cb915bedc78","AbandonedMill","Dense","2","4","4","650","750","RMAP14_PATCH_SCOPE|95a07b08649ad4e7f5208153569b8d2281ac6efdb1ac2e9bb0d70cb915bedc78","PENDING_GEOMETRY"
"9921da5faaece9064d0725530c9060f304a6135090dc121f7530c70e4b473b0d","MoonCrater","Balanced","4","4","2","550","650","RMAP14_PATCH_SCOPE|9921da5faaece9064d0725530c9060f304a6135090dc121f7530c70e4b473b0d","PENDING_GEOMETRY"
"9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","MoonDough","Dense","4","4","2","650","750","RMAP14_PATCH_SCOPE|9ac8c2c84e5607b8c54048a1f3567d6b84cd553b2175dd6e226f156eb7a0e137","PENDING_GEOMETRY"
"a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","MoonCrater","Open","4","4","2","400","550","RMAP14_PATCH_SCOPE|a6aedb9044d7971ffd60fe690d6964d5947e9f255ae0b054866bce96f121e552","PENDING_GEOMETRY"
"d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","MoonDough","Balanced","4","4","2","550","650","RMAP14_PATCH_SCOPE|d22d857df17c751bc8be4ab4bb78a267fe7cbd82f1678f94b13a9fcf296d7946","PENDING_GEOMETRY"
"d297e28101bdd0b92cbfe29d186dbee33d13f26d05cfe35b71ae16a99a24dd53","CassiaRoot","Balanced","3","4","3","550","650","RMAP14_PATCH_SCOPE|d297e28101bdd0b92cbfe29d186dbee33d13f26d05cfe35b71ae16a99a24dd53","PENDING_GEOMETRY"
"d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","CassiaRoot","Balanced","3","4","3","550","650","RMAP14_PATCH_SCOPE|d5da5c44c92f08e787f26d89b32ddae72a8961d70ada664250e2ec6d075f45b9","PENDING_GEOMETRY"
