slot_id,site_id,kind,stable_id,local_x,local_y,world_x,world_y,occupancy_width,occupancy_height
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_SLOT_COEFFICIENT_SAP","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Resource","f668a5857d2fd8776d10dd09be01ca6ca1d01ecb8bf8061fc73d8004b4908ef3","4","2","276","162","1","1"
"RMAP15_SITE_DEEPSTARYEAST_SLOT_STAR_YEAST","RMAP15_SITE_DEEPSTARYEAST","Resource","0f4a2b9c58fc314324bc599d7b421cfe6f10c26b244feb0e83763fe2462b8826","4","2","585","329","1","1"
"RMAP15_SITE_EXIT_SLOT_EXIT","RMAP15_SITE_EXIT","Exit","823f21aba751f2af9e0a1a110eca571f5a708341fdcbffe066e23c68603071c9","11","2","361","292","1","1"
"RMAP15_SITE_FORGE_SLOT_FORGE","RMAP15_SITE_FORGE","Forge","aea7c16eaa893b459f781526d18271ce2b5ecf34a19aca63b145bb5a521a6da7","5","2","508","128","1","1"
"RMAP15_SITE_MOONCOREORE_SLOT_MOONCORE_ORE","RMAP15_SITE_MOONCOREORE","Resource","ead1795f9a9fe48e55af7a3c198e42df3063d65497892820cfaabe26d908e68e","4","2","249","26","1","1"
"RMAP15_SITE_SEALBOSS_SLOT_BOSS","RMAP15_SITE_SEALBOSS","Boss","0ce22020687cb832d6e33d88274f4f3654c4b555cc7e096ba8c542bae0a9e7ad","21","4","554","307","1","1"
"RMAP15_SITE_SEALBOSS_SLOT_SEAL","RMAP15_SITE_SEALBOSS","Seal","808b359169ccd2a30800ec63a03b65ca51c0fbf5fb7a1868ac93ea7c715483f1","7","13","540","316","1","1"
"RMAP15_SITE_START_SLOT_SPAWN","RMAP15_SITE_START","Spawn","0354324570f9bf362e6cced10379ae6dc3a02840c9e971ed39c8bf51a669d247","3","2","419","337","1","1"
"RMAP15_SITE_VILLAGE_SLOT_NPC","RMAP15_SITE_VILLAGE","Npc","c3acb444dff6771807640638485877b8cb4674ed609167be3d9f9848141355b6","5","2","497","272","1","1"
"RMAP15_SITE_VILLAGE_SLOT_SHOP","RMAP15_SITE_VILLAGE","Shop","bb2417b442a842a835ac7091acde738820ad6917a149e545e1d0268a858c9f8e","9","2","501","272","1","1"
