micro_x,micro_y,patch_id,state,cluster_id,protected_cell_count,port_type
"0","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","InactiveSolid","","0","INACTIVE_NO_PORT"
"1","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"2","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"3","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"4","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"5","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"6","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"7","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"8","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"9","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"10","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"11","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"12","0","5e82aa367ab79c2f5eef7cdec4c5c77717125efd17c3f201d721034e7fcd5c45","Active","","0","TYPE0_PUBLIC"
"13","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","InactiveSolid","","0","INACTIVE_NO_PORT"
"14","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"15","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"16","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"17","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"18","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"19","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"20","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"21","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"22","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"23","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
"24","0","2d4a1882ef7b3cee9a4474fbb276b5758d3aa83e7860cf7b4de075fd17d01601","Active","","0","TYPE0_PUBLIC"
