port_id,site_id,node_id,side,flow,required,condition,world_x,world_y
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Left","In","True","NONE","272","166"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Left","In","True","NONE","272","167"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Left","In","True","NONE","272","168"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Right","Out","True","NONE","291","166"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Right","Out","True","NONE","291","167"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","Right","Out","True","NONE","291","168"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Left","In","True","NONE","581","333"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Left","In","True","NONE","581","334"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Left","In","True","NONE","581","335"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Right","Out","True","NONE","600","333"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Right","Out","True","NONE","600","334"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","Right","Out","True","NONE","600","335"
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","Left","In","True","BOSS_COMPLETE","350","295"
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","Left","In","True","BOSS_COMPLETE","350","296"
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","Left","In","True","BOSS_COMPLETE","350","297"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Left","In","True","ALL_RESOURCES","503","133"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Left","In","True","ALL_RESOURCES","503","134"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Left","In","True","ALL_RESOURCES","503","135"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Right","Out","True","ALL_RESOURCES","522","133"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Right","Out","True","ALL_RESOURCES","522","134"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","Right","Out","True","ALL_RESOURCES","522","135"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Left","In","True","NONE","245","30"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Left","In","True","NONE","245","31"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Left","In","True","NONE","245","32"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Right","Out","True","NONE","264","30"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Right","Out","True","NONE","264","31"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","Right","Out","True","NONE","264","32"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Left","In","True","ALL_RESOURCES_AND_FORGE","533","311"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Left","In","True","ALL_RESOURCES_AND_FORGE","533","312"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Left","In","True","ALL_RESOURCES_AND_FORGE","533","313"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Right","Out","True","ALL_RESOURCES_AND_FORGE","560","311"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Right","Out","True","ALL_RESOURCES_AND_FORGE","560","312"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","Right","Out","True","ALL_RESOURCES_AND_FORGE","560","313"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Left","Both","True","NONE","416","340"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Left","Both","True","NONE","416","341"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Left","Both","True","NONE","416","342"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Right","Out","True","NONE","431","340"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Right","Out","True","NONE","431","341"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","Right","Out","True","NONE","431","342"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","VILLAGE_OPTIONAL","Left","In","True","OPTIONAL_VILLAGE","492","277"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","VILLAGE_OPTIONAL","Left","In","True","OPTIONAL_VILLAGE","492","278"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","VILLAGE_OPTIONAL","Left","In","True","OPTIONAL_VILLAGE","492","279"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","VILLAGE_OPTIONAL","Right","Out","True","OPTIONAL_VILLAGE","515","277"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","VILLAGE_OPTIONAL","Right","Out","True","OPTIONAL_VILLAGE","515","278"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","VILLAGE_OPTIONAL","Right","Out","True","OPTIONAL_VILLAGE","515","279"
