scope_kind,scope_id,solid,air,one_way,total,density_permille,policy
"WORLD","RMAP16","150064","109420","100","259584","578","S_ALL_BASE_CELLS"
"CHUNK_STATE","InactiveSolid:0,0","96","0","0","96","1000","ALL_SOLID_REQUIRED"
"CHUNK_STATE","Active:1,0","36","60","0","96","375","ACTUAL_S_A_O"
"CHUNK_STATE","Active:2,0","26","70","0","96","270","ACTUAL_S_A_O"
"CHUNK_STATE","Active:3,0","36","60","0","96","375","ACTUAL_S_A_O"
"CHUNK_STATE","Active:4,0","28","68","0","96","291","ACTUAL_S_A_O"
"CHUNK_STATE","Active:5,0","34","62","0","96","354","ACTUAL_S_A_O"
"CHUNK_STATE","Active:6,0","33","63","0","96","343","ACTUAL_S_A_O"
"CHUNK_STATE","Active:7,0","31","65","0","96","322","ACTUAL_S_A_O"
"CHUNK_STATE","Active:8,0","34","62","0","96","354","ACTUAL_S_A_O"
"CHUNK_STATE","Active:9,0","33","63","0","96","343","ACTUAL_S_A_O"
"CHUNK_STATE","Active:10,0","30","66","0","96","312","ACTUAL_S_A_O"
"CHUNK_STATE","Active:11,0","30","66","0","96","312","ACTUAL_S_A_O"
"CHUNK_STATE","Active:12,0","40","56","0","96","416","ACTUAL_S_A_O"
"CHUNK_STATE","InactiveSolid:13,0","96","0","0","96","1000","ALL_SOLID_REQUIRED"
"CHUNK_STATE","Active:14,0","35","61","0","96","364","ACTUAL_S_A_O"
"CHUNK_STATE","Active:15,0","53","43","0","96","552","ACTUAL_S_A_O"
"CHUNK_STATE","Active:16,0","59","37","0","96","614","ACTUAL_S_A_O"
"CHUNK_STATE","Active:17,0","64","32","0","96","666","ACTUAL_S_A_O"
"CHUNK_STATE","Active:18,0","57","39","0","96","593","ACTUAL_S_A_O"
"CHUNK_STATE","Active:19,0","56","40","0","96","583","ACTUAL_S_A_O"
"CHUNK_STATE","Active:20,0","58","38","0","96","604","ACTUAL_S_A_O"
"CHUNK_STATE","Active:21,0","53","43","0","96","552","ACTUAL_S_A_O"
"CHUNK_STATE","Active:22,0","52","44","0","96","541","ACTUAL_S_A_O"
"CHUNK_STATE","Active:23,0","47","49","0","96","489","ACTUAL_S_A_O"
"CHUNK_STATE","Active:24,0","55","41","0","96","572","ACTUAL_S_A_O"
"CHUNK_STATE","Active:25,0","51","45","0","96","531","ACTUAL_S_A_O"
"CHUNK_STATE","InactiveSolid:26,0","96","0","0","96","1000","ALL_SOLID_REQUIRED"
"CHUNK_STATE","Active:27,0","67","29","0","96","697","ACTUAL_S_A_O"
"CHUNK_STATE","Active:28,0","66","30","0","96","687","ACTUAL_S_A_O"
"CHUNK_STATE","Active:29,0","78","18","0","96","812","ACTUAL_S_A_O"
"CHUNK_STATE","Active:30,0","66","30","0","96","687","ACTUAL_S_A_O"
"CHUNK_STATE","Active:31,0","72","24","0","96","750","ACTUAL_S_A_O"
"CHUNK_STATE","Active:32,0","68","28","0","96","708","ACTUAL_S_A_O"
"CHUNK_STATE","Active:33,0","68","28","0","96","708","ACTUAL_S_A_O"
"CHUNK_STATE","Active:34,0","56","40","0","96","583","ACTUAL_S_A_O"
"CHUNK_STATE","Active:35,0","68","28","0","96","708","ACTUAL_S_A_O"
"CHUNK_STATE","Active:36,0","59","37","0","96","614","ACTUAL_S_A_O"
"CHUNK_STATE","Active:37,0","60","36","0","96","625","ACTUAL_S_A_O"
"CHUNK_STATE","Active:38,0","57","39","0","96","593","ACTUAL_S_A_O"
"CHUNK_STATE","InactiveSolid:39,0","96","0","0","96","1000","ALL_SOLID_REQUIRED"
"CHUNK_STATE","Active:40,0","47","49","0","96","489","ACTUAL_S_A_O"
"CHUNK_STATE","Active:41,0","43","53","0","96","447","ACTUAL_S_A_O"
"CHUNK_STATE","Active:42,0","53","43","0","96","552","ACTUAL_S_A_O"
"CHUNK_STATE","Active:43,0","65","31","0","96","677","ACTUAL_S_A_O"
"CHUNK_STATE","Active:44,0","61","35","0","96","635","ACTUAL_S_A_O"
"CHUNK_STATE","Active:45,0","55","41","0","96","572","ACTUAL_S_A_O"
"CHUNK_STATE","Active:46,0","55","41","0","96","572","ACTUAL_S_A_O"
"CHUNK_STATE","Active:47,0","55","41","0","96","572","ACTUAL_S_A_O"
"CHUNK_STATE","Active:48,0","65","31","0","96","677","ACTUAL_S_A_O"
"CHUNK_STATE","Active:49,0","47","49","0","96","489","ACTUAL_S_A_O"
"CHUNK_STATE","Active:50,0","58","38","0","96","604","ACTUAL_S_A_O"
"CHUNK_STATE","Active:51,0","53","43","0","96","552","ACTUAL_S_A_O"
"CHUNK_STATE","Active:0,1","65","31","0","96","677","ACTUAL_S_A_O"
"CHUNK_STATE","Active:1,1","60","36","0","96","625","ACTUAL_S_A_O"
"CHUNK_STATE","Active:2,1","54","42","0","96","562","ACTUAL_S_A_O"
"CHUNK_STATE","Active:3,1","61","35","0","96","635","ACTUAL_S_A_O"
"CHUNK_STATE","Active:4,1","50","46","0","96","520","ACTUAL_S_A_O"
"CHUNK_STATE","Active:5,1","63","33","0","96","656","ACTUAL_S_A_O"
"CHUNK_STATE","Active:6,1","59","37","0","96","614","ACTUAL_S_A_O"
"CHUNK_STATE","Active:7,1","59","37","0","96","614","ACTUAL_S_A_O"
"CHUNK_STATE","Active:8,1","48","48","0","96","500","ACTUAL_S_A_O"
"CHUNK_STATE","Active:9,1","52","44","0","96","541","ACTUAL_S_A_O"
"CHUNK_STATE","Active:10,1","46","50","0","96","479","ACTUAL_S_A_O"
"CHUNK_STATE","Active:11,1","48","48","0","96","500","ACTUAL_S_A_O"
"CHUNK_STATE","Active:12,1","55","41","0","96","572","ACTUAL_S_A_O"
"CHUNK_STATE","Active:13,1","54","42","0","96","562","ACTUAL_S_A_O"
"CHUNK_STATE","Active:14,1","50","46","0","96","520","ACTUAL_S_A_O"
"CHUNK_STATE","Active:15,1","43","53","0","96","447","ACTUAL_S_A_O"
"CHUNK_STATE","Active:16,1","45","51","0","96","468","ACTUAL_S_A_O"
