binding_id,audit_id,consumer_tasks,classification,path_base,source_path,source_sha256,symbol_or_key,signature_or_header,owner,reason,planned_change,evidence_status
BND-01,B01,SV5_04_CORE_RESERVE;SV5_05_ROUTE_STATE;SV5_06_SPACE_GRAPH;SV5_07_DIVERSITY;SV5_08_INFILL;SV5_09_LOOPS;SV5_10_SIDEPATH;SV5_41_COMPOSE;SV5_43_WORLD_BAKE,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/WorldData/RmapWorldDataContract.cs,345458eb9a59a0add84ca15bd3106226ca2b3151c94831d7b6667943ac0b2841,RmapWorldDataGenerator,RmapWorldDataRequest/RmapWorldDefinition/Generate,WorldData,Existing seed version RNG stream and stable ID contract,Recheck current contract before future adapters,SOURCE_READ
BND-02,B02,SV5_04_CORE_RESERVE;SV5_05_ROUTE_STATE;SV5_06_SPACE_GRAPH;SV5_09_LOOPS;SV5_35_CAPSULE;SV5_36_PRISON;SV5_44_WORLD_PLAYER,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/SectorPlanning/RmapWorldGraphPlanner.cs,93a77853b140f5a97aa15056921794e2212d722ebc6184e498e0cb59bc5a7729,RmapWorldGraphPlanner,Plan/Evaluate/RmapWorldGraphExport,WorldGraph,Existing logical progression and return graph,Future Task must preserve distinct graph roles,SOURCE_READ
BND-03,B03,SV5_04_CORE_RESERVE;SV5_06_SPACE_GRAPH;SV5_07_DIVERSITY;SV5_24_CAVE;SV5_25_RATDEN;SV5_26_CANYON;SV5_41_COMPOSE;SV5_42_FINAL_SCAN,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/Biomes/RmapWorldBiomePlanner.cs,36f531e5192da1040da2dffdaf6a440245e3fb97bc4993e8ad225545587158a0,RmapWorldBiomePlanner,Plan/RmapWorldBiomeExport,Biomes,Existing patch ownership density and boundary contract,Future Task may adapt only with current ownership proof,SOURCE_READ
BND-04,B04,SV5_04_CORE_RESERVE;SV5_05_ROUTE_STATE;SV5_06_SPACE_GRAPH;SV5_09_LOOPS;SV5_35_CAPSULE;SV5_36_PRISON;SV5_38_WORKSHOP;SV5_39_RABBIT_VILLAGE;SV5_41_COMPOSE;SV5_42_FINAL_SCAN;SV5_44_WORLD_PLAYER,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/SpecialRegions/RmapSpecialReservationPlanner.cs,e524df90e1ea1744a979f7fdaac8b1b80601407ea07cbce029baabbcc70ed216,RmapSpecialReservationPlanner,Plan/RmapSpecialReservationExport,SpecialRegions,Existing eight-site physical reservation and protection gate,Future Task reads exports before changing terrain,SOURCE_READ
BND-05,B04,SV5_04_CORE_RESERVE;SV5_35_CAPSULE;SV5_36_PRISON;SV5_38_WORKSHOP;SV5_39_RABBIT_VILLAGE,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/SpecialRegions/SpecialRegionSiteBridge.cs,14f80c49d9d739c0e76458db1b44ef67dc6abc08576501727ec175d02c7b4fdb,SpecialRegionSiteBridge,actual existing type,SpecialRegions,Existing site coordinate bridge,Use current bridge instead of example coordinates,SOURCE_READ
BND-06,B04,SV5_04_CORE_RESERVE;SV5_28_HALL;SV5_29_RANCH;SV5_30_LAKE;SV5_31_FARM;SV5_35_CAPSULE;SV5_36_PRISON;SV5_37_PINBALL_SHELL;SV5_38_WORKSHOP;SV5_39_RABBIT_VILLAGE,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/SpecialRegions/SpecialRegionFixedSlotLayers.cs,6b1fe2365514b39ffcf18db77247c74e3ecfd44738cea86eda8dee8f15f84377,SpecialRegionFixedSlotLayers,actual existing type,SpecialRegions,Existing fixed shell and slot separation,Keep slot and collision ownership separate,SOURCE_READ
BND-07,B05,SV5_06_SPACE_GRAPH;SV5_11_HUB_SHELL;SV5_13_JUMP_CONTRACT;SV5_14_JUMP_SOLID;SV5_17_JUMP_RECIPES;SV5_24_CAVE;SV5_25_RATDEN;SV5_26_CANYON;SV5_41_COMPOSE,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/MicroPatterns/RmapPatternCatalog.cs,d4246e170d0f1b59113d8da2bbea2d68e71fc773958c2d46c7a623af034cfbef,RmapPatternCatalog,actual existing type,MicroPatterns,Existing pattern catalog boundary,Future Task owns new SV5 pattern policy only,SOURCE_READ
BND-08,B05,SV5_06_SPACE_GRAPH;SV5_11_HUB_SHELL;SV5_13_JUMP_CONTRACT;SV5_14_JUMP_SOLID;SV5_17_JUMP_RECIPES;SV5_24_CAVE;SV5_25_RATDEN;SV5_26_CANYON;SV5_41_COMPOSE,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/MicroPatterns/RmapPortCatalog.cs,8e83c616f853a14661b72bdaa0db1eb72cfbf3bc3d7b8123f96add065b33626f,RmapPortCatalog,actual existing type,MicroPatterns,Existing port direction catalog,Future Task must validate current port semantics,SOURCE_READ
BND-09,B05,SV5_06_SPACE_GRAPH;SV5_11_HUB_SHELL;SV5_13_JUMP_CONTRACT;SV5_14_JUMP_SOLID;SV5_17_JUMP_RECIPES;SV5_41_COMPOSE,REUSE,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/MicroPatterns/RmapPatternPool500.cs,bee620485368613305a16799afdeeae6aa5cfd157124510da6659dc0a792028a,RmapPatternPool500,actual existing type,MicroPatterns,Existing 500 pattern pool evidence,Do not treat pool evidence as SV5 approval,SOURCE_READ
BND-10,B06,SV5_06_SPACE_GRAPH;SV5_07_DIVERSITY;SV5_08_INFILL;SV5_09_LOOPS;SV5_10_SIDEPATH;SV5_11_HUB_SHELL;SV5_16_JUMP_OUTLINE;SV5_21_LIBRARY;SV5_24_CAVE;SV5_25_RATDEN;SV5_26_CANYON;SV5_27_HOUSING;SV5_28_HALL;SV5_29_RANCH;SV5_30_LAKE;SV5_31_FARM;SV5_39_RABBIT_VILLAGE;SV5_41_COMPOSE;SV5_42_FINAL_SCAN,ADAPT,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/TerrainClusters/RmapClusterAssemblyPlanner.cs,48bc1b2664034beb923427c037a0b0b2d18f7a8c11d1705e9fce432a37324bab,RmapClusterAssemblyPlanner,actual existing type,TerrainClusters,Existing cluster assembly is a real extension boundary,PROPOSED future SV5 space recipe adaptation,SOURCE_READ
