schema_id,path_base,source_path,source_sha256,format,header_or_type,key_fields,coordinate_frame,producer_binding,consumer_bindings,authority,notes
SCH-01,PROJECT,Assets/_Game/Map/Runtime/WorldGeneration/WorldData/RmapWorldDataContract.cs,345458eb9a59a0add84ca15bd3106226ca2b3151c94831d7b6667943ac0b2841,CSharp,RmapWorldDataRequest|RmapWorldDefinition,seed|contentVersion|generatorVersion|stableId,world tile 624x416,BND-01,BND-01;BND-02,WorldData,Existing immutable world request and stable ID contract
SCH-02,MAPDESIGN,MCP/GENERATED/RMAP13/rmap13_nodes.csv,08a47f772b89a224b41be46c684e49d40266d7ecb48c4ad604d472b8b676b392,CSV,node_id|role|anchor_stable_id|verification_level,node_id,logical graph,BND-02,BND-02;BND-04,WorldGraph,Existing logical role nodes
SCH-03,MAPDESIGN,MCP/GENERATED/RMAP13/rmap13_edges.csv,e40863a241769ed47c4db7532c77115d6d5ed9ec49b051c7f8caaf53068c474a,CSV,edge_id|source_node_id|target_node_id|direction|condition,edge_id|source_node_id|target_node_id,logical graph,BND-02,BND-02;BND-04,WorldGraph,Existing directed condition graph
SCH-04,MAPDESIGN,MCP/GENERATED/RMAP14/rmap14_patches.csv,1ca573a626f6885ba5553901525d771e6cb91ff92ab2832a5014e449e904ff26,CSV,patch_id|biome_key|micro_min_x|tile_min_x|density_profile,patch_id,microchunk and world tile,BND-03,BND-03;BND-04,Biomes,Existing patch ownership and density source
SCH-05,MAPDESIGN,MCP/GENERATED/RMAP14/rmap14_boundaries.csv,228d6c9b2bc63bb5e7baaf37157e378664edff95daee0a10f549be354116cf82,CSV,boundary_id|source_patch_id|target_patch_id|direction|tool_requirement,boundary_id,world microchunk,BND-03,BND-03;BND-10,Biomes,Existing boundary candidate source
SCH-06,MAPDESIGN,MCP/GENERATED/RMAP15/rmap15_sites.csv,c88d1190130a828a28d6b4de9c863e66d6ee461926243e7088fb4fc3ae8f99aa,CSV,site_id|role|stable_id|origin_x|origin_y|width_tiles|height_tiles,site_id,world tile,BND-04,BND-04;BND-05;BND-06,SpecialRegions,Physical site index only
SCH-07,MAPDESIGN,MCP/GENERATED/RMAP15/rmap15_fixed_cells.csv,d3226621678103b5aa108e4647e9443b5f6b7ac1804f854494db3b2d55fd5dfc,CSV,site_id|local_x|local_y|world_x|world_y|protection,site_id|world_x|world_y,world tile,BND-04,BND-04;BND-11,SpecialRegions,Fixed collision and protected-air source
SCH-08,MAPDESIGN,MCP/GENERATED/RMAP15/rmap15_access.csv,3be49c114ec044cf4ec44c8f99ad04e03267ecc2424500e4448cf7bb51fabf6f,CSV,access_id|site_id|side|flow|required|condition,access_id|site_id|world_x|world_y,world tile,BND-04,BND-02;BND-04,SpecialRegions,Physical port and condition source
SCH-09,MAPDESIGN,MCP/GENERATED/RMAP15/rmap15_slots.csv,0f83262b35db042522c3fed675ae384d7be0e4374e885d720667bd9b7b787537,CSV,slot_id|site_id|kind|world_x|world_y,slot_id,world tile,BND-06,BND-06;BND-16,SpecialRegions,Slot index is separate from fixed geometry
SCH-10,MAPDESIGN,MCP/GENERATED/RMAP15/rmap15_state_geometry.csv,587d15a07246987c38c552bff4d6d8dd38a3502768d2e768af822abddb60c18d,CSV,site_id|state|world_x|world_y|base,site_id|state|world_x|world_y,world tile,BND-04,BND-02;BND-04,SpecialRegions,SealBoss open and sealed geometry source
SCH-11,MAPDESIGN,MCP/GENERATED/RMAP16/rmap16_cells.csv,1f074823557f6bd4e9dd48cd9eb1ca939a910fa525baeb89b91335f1950b7d9d,CSV,world_x|world_y|base|source_kind|source_id,world_x|world_y,world tile,BND-10,BND-11,FinalCells,Existing final-cell provenance source
SCH-12,MAPDESIGN,MCP/GENERATED/RMAP17/rmap17_bake_manifest.json,7a8c59d5220b0938692413b0101ec9e0a3ee9715464320183b03d1fcdc3b9e4a,JSON,scene_path|world_tiles|base_cells|overlay_cells|player_start,scene_path,world tile scene,BND-11,BND-11;BND-12;BND-14,Baking,Static bake evidence not a new runtime schema
