access_id,site_id,side,flow,required,condition,source_node_id,open_cells,route_ids,status
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Left","In","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","272,166|272,167|272,168","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT","RMAP15_SITE_CONDENSEDCOEFFICIENTSAP","Right","Out","True","NONE","4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707","291,166|291,167|291,168","16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY","RMAP15_SITE_DEEPSTARYEAST","Left","In","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","581,333|581,334|581,335","93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT","RMAP15_SITE_DEEPSTARYEAST","Right","Out","True","NONE","13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5","600,333|600,334|600,335","be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","Left","In","True","BOSS_COMPLETE","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","350,295|350,296|350,297","74004c50147eb4af54c7c3beb9c82282fb0d23628aa3c2e2a588301c04e965f4","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","Left","In","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","503,133|503,134|503,135","a98881f4240397805efa4bd7a49fec0d564a271544864f5fdd66657aed45cdff","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","Right","Out","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","522,133|522,134|522,135","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3|29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","Left","In","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","245,30|245,31|245,32","fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","Right","Out","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","264,30|264,31|264,32","21e6a90771dd0ec3a5924c7bed7cedd6df7b87118024ccd550005017a8e7ebd0","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","Left","In","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","533,311|533,312|533,313","29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa|88ee0ec82e323424ac35c6a0686f4ad0fe97710744d3eba9277c1b5343f18ac2","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","Right","Out","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","560,311|560,312|560,313","74004c50147eb4af54c7c3beb9c82282fb0d23628aa3c2e2a588301c04e965f4|88ee0ec82e323424ac35c6a0686f4ad0fe97710744d3eba9277c1b5343f18ac2","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","Left","Both","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","416,340|416,341|416,342","0fc428a59647d62495d286c4c25fd66afac209842182354729188041dc5796e3|16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998|21e6a90771dd0ec3a5924c7bed7cedd6df7b87118024ccd550005017a8e7ebd0|93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f|a98881f4240397805efa4bd7a49fec0d564a271544864f5fdd66657aed45cdff|b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","GRAPH_ROUTE_BOUND"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","Right","Out","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","431,340|431,341|431,342","","PRESERVED_NOT_SELECTED_BY_CURRENT_ROUTE_PLAN"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","Left","In","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","492,277|492,278|492,279","","PRESERVED_NO_GRAPH_RESERVATION"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","Right","Out","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","515,277|515,278|515,279","","PRESERVED_NO_GRAPH_RESERVATION"
