contact_id,kind,first_x,first_y,second_x,second_y,direction,route_a,route_b,first_kinds,second_kinds,split_node_id,crossing,predicate,logical_state_transition_checked,geometry_state,player_state,detail,plan_digest
FACE_176_78_177_78_4c81ed057097,FACE,176,78,177,78,RIGHT,SV5_OPTIONAL_07,SV5_OPTIONAL_08,Passage,Passage,SV5_CONTACT_NODE_FACE_176_78_177_78_4c81ed057097,Join,"2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0 || d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_177_77_177_78_4c81ed057097,FACE,177,77,177,78,UP,SV5_OPTIONAL_07,SV5_OPTIONAL_08,Passage,Passage,SV5_CONTACT_NODE_FACE_177_77_177_78_4c81ed057097,Join,"2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0 || d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_177_78_177_79_4c81ed057097,FACE,177,78,177,79,UP,SV5_OPTIONAL_07,SV5_OPTIONAL_08,Passage,Passage,SV5_CONTACT_NODE_FACE_177_78_177_79_4c81ed057097,Join,"2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0 || d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_177_78_178_78_4c81ed057097,FACE,177,78,178,78,RIGHT,SV5_OPTIONAL_07,SV5_OPTIONAL_08,Passage,Passage,SV5_CONTACT_NODE_FACE_177_78_178_78_4c81ed057097,Join,"2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0 || d68e8b7e181ba852cd9e34f439cdc95f7316c923a7da07c0424656adb6002424:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_220_105_221_105_5865cce4515f,FACE,220,105,221,105,RIGHT,SV5_OPTIONAL_06,SV5_OPTIONAL_07,Passage,Passage,SV5_CONTACT_NODE_FACE_220_105_221_105_5865cce4515f,Join,"fea1a37e720a34ea7faad69ab1902b21bc3d607fb89cd595c4aa0af51ef83f60:mask=0,forge=0,seal=0,boss=0 || 2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_221_104_221_105_5865cce4515f,FACE,221,104,221,105,UP,SV5_OPTIONAL_06,SV5_OPTIONAL_07,Passage,Passage,SV5_CONTACT_NODE_FACE_221_104_221_105_5865cce4515f,Join,"fea1a37e720a34ea7faad69ab1902b21bc3d607fb89cd595c4aa0af51ef83f60:mask=0,forge=0,seal=0,boss=0 || 2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_221_105_221_106_5865cce4515f,FACE,221,105,221,106,UP,SV5_OPTIONAL_06,SV5_OPTIONAL_07,Passage,Passage,SV5_CONTACT_NODE_FACE_221_105_221_106_5865cce4515f,Join,"fea1a37e720a34ea7faad69ab1902b21bc3d607fb89cd595c4aa0af51ef83f60:mask=0,forge=0,seal=0,boss=0 || 2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_221_105_222_105_5865cce4515f,FACE,221,105,222,105,RIGHT,SV5_OPTIONAL_06,SV5_OPTIONAL_07,Passage,Passage,SV5_CONTACT_NODE_FACE_221_105_222_105_5865cce4515f,Join,"fea1a37e720a34ea7faad69ab1902b21bc3d607fb89cd595c4aa0af51ef83f60:mask=0,forge=0,seal=0,boss=0 || 2842faa7933650605e4a69b9b55bf7bd8fbaab69484cac67a63b2d3c1fc8adfa:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_270_341_271_341_9df9696f99b8,FACE,270,341,271,341,RIGHT,b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b,fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2,Passage,Passage|Clearance,SV5_CONTACT_NODE_FACE_270_341_271_341_9df9696f99b8,Join,"b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:mask=0,forge=0,seal=0,boss=0 || fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
FACE_270_342_271_342_9df9696f99b8,FACE,270,342,271,342,RIGHT,b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b,fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2,Clearance,Clearance,SV5_CONTACT_NODE_FACE_270_342_271_342_9df9696f99b8,Join,"b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:mask=0,forge=0,seal=0,boss=0 || fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:mask=0,forge=0,seal=0,boss=0",true,PLANNED_RESERVATION,PENDING,The complete pair is a shared split node evaluated by RMAP13; every outgoing segment repeats its source predicate.,fbbc847599b34b8b4695628d6e4970d0669938e04e35eb4b08220ef78d31cf84
