proof_id,ordinal,action,state_before,state_after,predicate_passed
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","0","MOVE|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|0|0|0|0|0","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|0|0|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","1","ACQUIRE|MooncoreOre","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|0|0|0|0|0","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|1|1|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","2","MOVE|21e6a90771dd0ec3a5924c7bed7cedd6df7b87118024ccd550005017a8e7ebd0","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|1|1|0|0|0","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|1|1|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","3","MOVE|93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|1|1|0|0|0","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|1|1|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","4","ACQUIRE|DeepStarYeast","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|1|1|0|0|0","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|5|2|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","5","MOVE|be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|5|2|0|0|0","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|5|2|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","6","MOVE|b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|5|2|0|0|0","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|5|2|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","7","ACQUIRE|CondensedCoefficientSap","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|5|2|0|0|0","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|7|3|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","8","MOVE|16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|7|3|0|0|0","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|7|3|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","9","MOVE|a98881f4240397805efa4bd7a49fec0d564a271544864f5fdd66657aed45cdff","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|7|3|0|0|0","SV5_TRACE_RMAP13|25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c|7|3|0|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","10","FORGE|MAKE_SEAL","SV5_TRACE_RMAP13|25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c|7|3|0|0|0","SV5_TRACE_RMAP13|25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c|7|3|1|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","11","MOVE|29dc755094886d48300e9f8cf0fb0e54f09125a29c2fac78855bda7885f7dbaa","SV5_TRACE_RMAP13|25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c|7|3|1|0|0","SV5_TRACE_RMAP13|3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|7|3|1|0|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","12","SEAL|OPEN","SV5_TRACE_RMAP13|3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|7|3|1|0|0","SV5_TRACE_RMAP13|3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|7|3|1|1|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","13","MOVE|88ee0ec82e323424ac35c6a0686f4ad0fe97710744d3eba9277c1b5343f18ac2","SV5_TRACE_RMAP13|3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|7|3|1|1|0","SV5_TRACE_RMAP13|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105|7|3|1|1|0","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","14","BOSS|PLANNED_COMPLETION_EVENT","SV5_TRACE_RMAP13|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105|7|3|1|1|0","SV5_TRACE_RMAP13|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105|7|3|1|1|1","True"
"2f522cddc03c97a5c5f97d10f7f432041fca0063479774597767b77f7bba0993","15","MOVE|74004c50147eb4af54c7c3beb9c82282fb0d23628aa3c2e2a588301c04e965f4","SV5_TRACE_RMAP13|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105|7|3|1|1|1","SV5_TRACE_RMAP13|27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67|7|3|1|1|1","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","0","MOVE|93f752cf7b8f813c7187a636bc069c5d6f346ab0cc35ccae94931bdb9059f48f","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|0|0|0|0|0","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|0|0|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","1","ACQUIRE|DeepStarYeast","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|0|0|0|0|0","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|4|1|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","2","MOVE|be0aa26aa7cc3b03c3fcd8635bf07caf7940fd71048ae99a89807ebb540d3f29","SV5_TRACE_RMAP13|13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5|4|1|0|0|0","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|4|1|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","3","MOVE|b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|4|1|0|0|0","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|4|1|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","4","ACQUIRE|CondensedCoefficientSap","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|4|1|0|0|0","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|6|2|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","5","MOVE|16f8c96de43cf0ec7882d78bdcae5b4cc79a1e08fd38fcfbbb7e90b19bfc8998","SV5_TRACE_RMAP13|4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707|6|2|0|0|0","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|6|2|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","6","MOVE|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SV5_TRACE_RMAP13|9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47|6|2|0|0|0","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|6|2|0|0|0","True"
"45be9bd042b48bb559ece2a33a80ffc9bde9c12e26ef5456a0429a70368109aa","7","ACQUIRE|MooncoreOre","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|6|2|0|0|0","SV5_TRACE_RMAP13|074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2|7|3|0|0|0","True"
