contact_id,kind,world_x,world_y,route_ids,classification,required_predicate,logical_state_transition_checked,detail,geometry_state,player_state
"AIR_WITNESS_109_EDGE","RAW_AIR_WITNESS","416","340","","STATIC_AIR_CONTACT_GEOMETRY_PENDING","CARDINAL_CONTIGUOUS && FIXED_AIR && EXCLUDES_SEALED","False","Raw 4-neighbour fixed-AIR witness is diagnostic only; it is not Player proof.","Pending","PENDING"
"FACE_270_341_271_341_9df9696f99b8","FACE","270","341","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_270_342_271_342_9df9696f99b8","FACE","270","342","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_271_340_271_341_9df9696f99b8","FACE","271","340","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_271_341_271_342_9df9696f99b8","FACE","271","341","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_271_341_272_341_9df9696f99b8","FACE","271","341","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_271_342_272_342_9df9696f99b8","FACE","271","342","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_272_341_272_342_9df9696f99b8","FACE","272","341","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_272_341_273_341_9df9696f99b8","FACE","272","341","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
"FACE_272_342_273_342_9df9696f99b8","FACE","272","342","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b|fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2","SAME_STAGE_MERGE_GEOMETRY_PENDING","b7862f4e818afdb3c6c2b8d27942bbf40c3a9aa2cfa146360ab9ab3fe2e29b0b:0/-/-/- && fec566f68036a383c202d5789b32adf6291c3329d4ef7c871c4d6c22a16238b2:0/-/-/-","False","Pair was completely enumerated; a split-node transition still requires the shared FSM evaluation.","Pending","PENDING"
