world_x,world_y,reservation_kind,owner_id,semantics,micro_chunk_x,micro_chunk_y,pattern_x,pattern_y,is_final_tile,plan_digest
560,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
561,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
562,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
563,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
564,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
565,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
566,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
567,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
568,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
569,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
570,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
571,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
572,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
573,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
574,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
575,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
576,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
577,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
578,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
579,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
560,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
561,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,79447cbf21957effa060878c3618d3f831a383e151422458c1c214e27869e4bd
