case,seed,request_id,formation_id,family_key,x,y,width,height,sector,sector_offset,rank,neighbor_ids,neighbor_count,weight,roll,decision,fallback,policy_digest,diversity_digest,plan_digest
default/OFF,1304,SV5_REQUEST_00,SV5_PLACE_00_CD742119708C091F,CAVE_BAND,64,272,60,24,8,0,8412228629648612121,,0,100,1,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_01,SV5_PLACE_01_90434AD281C2436C,LIBRARY_STACK,172,228,36,32,9,0,7685083107190752486,,0,100,35,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_02,SV5_PLACE_02_248027C6A8E3699F,CANYON_SHAFT,440,264,24,32,10,0,6804234655232296739,,0,100,38,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_03,SV5_PLACE_03_0F8471A53F911F6D,HIGH_HALL,584,212,36,16,11,0,7022378861779095100,,0,100,72,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_04,SV5_PLACE_04_CB2B17D440D58981,FARM_TERRACE,44,384,36,24,12,0,10927898040193554089,,0,100,71,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_05,SV5_PLACE_05_D9CF52573FB5C952,RANCH_YARD,248,388,24,24,13,0,10354033234771057542,,0,100,48,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_06,SV5_PLACE_06_26E6723B2540BBB9,LAKE_CHAMBER,388,384,36,24,14,0,9840835082934620731,,0,100,77,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_07,SV5_PLACE_07_5EB723EDC1DC3862,JUMP_RESERVE,532,348,24,32,15,0,8588835485830679124,,0,100,51,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_08,SV5_PLACE_08_3479F08218885852,ORDINARY_ROOM,136,80,12,8,0,0,3350244220463286393,,0,100,87,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,SV5_REQUEST_09,SV5_PLACE_09_0BAFE3A7FA93D31C,ORDINARY_ROOM,180,68,16,8,1,0,2990106883336570470,SV5_PLACE_08_3479F08218885852,1,100,70,POLICY_OFF_FIRST_LEGAL,false,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,d9f0f53bddeffd062ab3f74978a0d3de18005576172c8186e7fa5ea56f7a115d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
