case,seed,family_key,first_formation,second_formation,first_bounds,second_bounds,gap,near,eligible_near,exclusion,policy_digest,plan_digest
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_08_3479F08218885852,SV5_PLACE_09_0BAFE3A7FA93D31C,"136,80,12,8","180,68,16,8",36,true,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_08_3479F08218885852,SV5_PLACE_10_F83FE72914C9299C,"136,80,12,8","352,16,12,12",256,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_08_3479F08218885852,SV5_PLACE_11_E64745F7462770DD,"136,80,12,8","560,4,20,8",480,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_08_3479F08218885852,SV5_PLACE_12_391D0CF7A4422180,"136,80,12,8","132,192,12,8",104,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_08_3479F08218885852,SV5_PLACE_13_97A1D09E3197EA92,"136,80,12,8","224,108,16,12",96,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_09_0BAFE3A7FA93D31C,SV5_PLACE_10_F83FE72914C9299C,"180,68,16,8","352,16,12,12",196,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_09_0BAFE3A7FA93D31C,SV5_PLACE_11_E64745F7462770DD,"180,68,16,8","560,4,20,8",420,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_09_0BAFE3A7FA93D31C,SV5_PLACE_12_391D0CF7A4422180,"180,68,16,8","132,192,12,8",152,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_09_0BAFE3A7FA93D31C,SV5_PLACE_13_97A1D09E3197EA92,"180,68,16,8","224,108,16,12",60,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_10_F83FE72914C9299C,SV5_PLACE_11_E64745F7462770DD,"352,16,12,12","560,4,20,8",200,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_10_F83FE72914C9299C,SV5_PLACE_12_391D0CF7A4422180,"352,16,12,12","132,192,12,8",372,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_10_F83FE72914C9299C,SV5_PLACE_13_97A1D09E3197EA92,"352,16,12,12","224,108,16,12",192,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
default/OFF,1304,ORDINARY_ROOM,SV5_PLACE_11_E64745F7462770DD,SV5_PLACE_12_391D0CF7A4422180,"560,4,20,8","132,192,12,8",596,false,false,ORDINARY_CONNECTION_SPACE,359432d9e27ab7683923e363268896c1b77cbc8628ef187c3ea5485e7a9de23d,6ee60821aba144aaf21e2d5539dfe30745ce044379c349d414b8d279389abe3d
