place_id,family,kind,x,y,width,height,max_x_exclusive,max_y_exclusive,core_site_id,future_owner,distribution_sector,readiness,plan_digest
RMAP15_SITE_CONDENSEDCOEFFICIENTSAP,SAP_RESOURCE_SHELL,Core,272,160,20,14,292,174,RMAP15_SITE_CONDENSEDCOEFFICIENTSAP,PRESERVED_RMAP15,5,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_DEEPSTARYEAST,YEAST_RESOURCE_SHELL,Core,581,327,20,14,601,341,RMAP15_SITE_DEEPSTARYEAST,PRESERVED_RMAP15,15,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_EXIT,EXIT_SHELL,Core,350,290,16,12,366,302,RMAP15_SITE_EXIT,PRESERVED_RMAP15,10,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_FORGE,FORGE_SHELL,Core,503,126,20,16,523,142,RMAP15_SITE_FORGE,PRESERVED_RMAP15,7,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_MOONCOREORE,MOONCORE_RESOURCE_SHELL,Core,245,24,20,14,265,38,RMAP15_SITE_MOONCOREORE,PRESERVED_RMAP15,1,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_SEALBOSS,SEAL_BOSS_BOUNDARY_SHELL,Core,533,303,28,18,561,321,RMAP15_SITE_SEALBOSS,PRESERVED_RMAP15,15,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_START,START_SHELL,Core,416,335,16,12,432,347,RMAP15_SITE_START,PRESERVED_RMAP15,14,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
RMAP15_SITE_VILLAGE,VILLAGE_SHELL,Core,492,270,24,16,516,286,RMAP15_SITE_VILLAGE,PRESERVED_RMAP15,11,PRESERVED_CORE,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_00_CD742119708C091F,CAVE_BAND,Large,64,272,60,24,124,296,,SV5_24_CAVE,8,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_01_90434AD281C2436C,LIBRARY_STACK,Large,172,228,36,32,208,260,,SV5_21_LIBRARY,9,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_02_248027C6A8E3699F,CANYON_SHAFT,Large,440,264,24,32,464,296,,SV5_26_CANYON,10,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_03_0F8471A53F911F6D,HIGH_HALL,Large,584,212,36,16,620,228,,SV5_28_HALL,11,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_04_CB2B17D440D58981,FARM_TERRACE,Large,44,384,36,24,80,408,,SV5_31_FARM,12,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_05_D9CF52573FB5C952,RANCH_YARD,Large,248,388,24,24,272,412,,SV5_29_RANCH,13,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_06_26E6723B2540BBB9,LAKE_CHAMBER,Large,388,384,36,24,424,408,,SV5_30_LAKE,14,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_07_5EB723EDC1DC3862,JUMP_RESERVE,Large,532,348,24,32,556,380,,SV5_13_JUMP_CONTRACT,15,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
SV5_PLACE_08_3479F08218885852,ORDINARY_ROOM_A,Ordinary,136,80,12,8,148,88,,SV5_08_INFILL,0,PLANNED_SHELL,94c9f3a353e39984633a755af7842e87989e86dc97c3545ce87a4ac4da4397b7
