world_x,world_y,base,owner,recipe,parent,host,shared,pattern_x,pattern_y,pattern_index,plan_digest
"584","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","12","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"585","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","13","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"586","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","14","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"587","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","15","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"588","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","12","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"589","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","13","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"590","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","14","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"591","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","15","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"592","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","12","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"593","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","13","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
