pattern_id,origin_x,origin_y,room_id,formation_id,recipe,parent,host,mirror,plan_digest
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","124","336","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_a6d4c9157cc6395648b9400ed38a66a076f4bbb8140f2895db4a7deda4f3ea5f","128","336","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","132","336","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","136","336","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_28e720f400600ea91bbbe744faf5164b035ae8148582a2aa955fe68f57f2e3cf","124","340","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_713c7c5b501b1888bbd077195a620d5d58961e60fe1ea75d4abcafa51d17f6c0","128","340","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_5fe406ba200513f7918028729f2ce8485682a22450e1585e7662cc746dfdff14","132","340","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_b19fc4e8361ee3dfb0802b94c47921ba968d95ff40d4ff7b0574a6d7e47f12d4","136","340","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_36257805d99b30af29a6eeeac3714747288dcbe834da7f450f129540341df871","124","344","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","128","344","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","132","344","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_9eecb911113e8cc6a7594a5ca41b1827d6a143c698187e2b92360358eca38130","136","344","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_8afeba3712a0a029edaff8d07a02d8cebd5051ddfe392034f6c43b45942d0741","124","348","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_d912cd5dd053890d9db3b0dbda3f4c8d0cd103f4cd3ab0c11da57faae96dbc8b","128","348","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_d912cd5dd053890d9db3b0dbda3f4c8d0cd103f4cd3ab0c11da57faae96dbc8b","132","348","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_cacd867bb3745143874973759cab4001e11e4cda0aeb0ced4f613a1bd109683a","136","348","SV5_INFILL_ROOM_0005fbce5c22d57786f0","SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","False","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_8c29a7fde431bb0cf9794cf40bdb6d4e1776fdccab3db380f02e43f13a7dd4f3","12","176","SV5_INFILL_ROOM_0011e72c7b31be6472c3","SV5_INFILL_ROOM_0011e72c7b31be6472c3","EMPTY_ROOM","SV5_INFILL_ROOM_007d4b680e990cd2b2e3","SV5_OPTIONAL_09","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","16","176","SV5_INFILL_ROOM_0011e72c7b31be6472c3","SV5_INFILL_ROOM_0011e72c7b31be6472c3","EMPTY_ROOM","SV5_INFILL_ROOM_007d4b680e990cd2b2e3","SV5_OPTIONAL_09","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","20","176","SV5_INFILL_ROOM_0011e72c7b31be6472c3","SV5_INFILL_ROOM_0011e72c7b31be6472c3","EMPTY_ROOM","SV5_INFILL_ROOM_007d4b680e990cd2b2e3","SV5_OPTIONAL_09","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
