pattern_id,write_mask,cells_row_major_16,semantic_hash,plan_digest
"INFILL_05ce7efb330bbda5a8d235633aea7116362fecb8b0630847e43bdd20e7f49441","3311","Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Unknown|Unknown","05ce7efb330bbda5a8d235633aea7116362fecb8b0630847e43bdd20e7f49441","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_07e90a33c25525b19f4a212739a7e070a0d13c6b5e2f259e51312a41ae238483","32767","Air|Air|Air|Air|Solid|Solid|Solid|Air|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Unknown","07e90a33c25525b19f4a212739a7e070a0d13c6b5e2f259e51312a41ae238483","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_0e76a2a8a9d45bfdf42e3e2c99097cc1d0da86aac36ac079c1b88afee43a2e82","32767","Solid|Air|Air|Solid|Air|Air|Solid|Solid|Air|Solid|Solid|Solid|Solid|Solid|Solid|Unknown","0e76a2a8a9d45bfdf42e3e2c99097cc1d0da86aac36ac079c1b88afee43a2e82","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_0f10fc61839273c6d1ad25ee4335685430c330401d54d72b5a879f6e345d3873","311","Solid|Solid|Solid|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","0f10fc61839273c6d1ad25ee4335685430c330401d54d72b5a879f6e345d3873","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_0f56946dcf310c4f6831b3bd7b4e6aa679f9bbd17cd0cec18b6bee603998d66f","3822","Unknown|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Unknown|Unknown|Unknown","0f56946dcf310c4f6831b3bd7b4e6aa679f9bbd17cd0cec18b6bee603998d66f","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_106352048cae243e28dd98d02ef3735ce56faea8e4333f7e939e3c7dde4bd30a","4913","Air|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown","106352048cae243e28dd98d02ef3735ce56faea8e4333f7e939e3c7dde4bd30a","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_10c69c218d3145f95fc57a9cfc79da9d7c5f22263622faf98cc6b042fecb9041","8191","Solid|Solid|Air|Air|Solid|Air|Air|Solid|Air|Air|Solid|Solid|Air|Unknown|Unknown|Unknown","10c69c218d3145f95fc57a9cfc79da9d7c5f22263622faf98cc6b042fecb9041","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_129a508ede2181672cc7683ac54418b51488aeca18dacbd247ab97ca2b2c274e","4991","Air|Solid|Solid|Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown","129a508ede2181672cc7683ac54418b51488aeca18dacbd247ab97ca2b2c274e","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_138047f51416338703566342ac562db8d66f819361776fd616aeea960fe48955","12561","Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Air|Air|Unknown|Unknown","138047f51416338703566342ac562db8d66f819361776fd616aeea960fe48955","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_157700068d86385bd74ff8ce747d914f27f45796e99c4a1131c96e8cd6851bf5","65534","Unknown|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Air|Air|Air","157700068d86385bd74ff8ce747d914f27f45796e99c4a1131c96e8cd6851bf5","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_16a344c29cfc7715ef8dc7016a328c0fd23d30ca83b4de45749e0112db3acd6e","65520","Unknown|Unknown|Unknown|Unknown|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid","16a344c29cfc7715ef8dc7016a328c0fd23d30ca83b4de45749e0112db3acd6e","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_19d1e291c783552aaab0835c1e0e9e86219ab64e386e0629203ca065e731ea13","239","Solid|Solid|Solid|Air|Unknown|Solid|Solid|Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","19d1e291c783552aaab0835c1e0e9e86219ab64e386e0629203ca065e731ea13","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"INFILL_2119aca2e134bc10f64977d0fcadc677edd5d93647d71e84c01962a1263b0499","1","Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","2119aca2e134bc10f64977d0fcadc677edd5d93647d71e84c01962a1263b0499","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
