room_id,recipe,bounds,parent,host,depth,entry,deep,air,solid,legacy,reward,static_success,plan_digest
"SV5_INFILL_ROOM_0005fbce5c22d57786f0","LANDING","124,336,16,16","SV5_INFILL_ROOM_02899850f5524189590b","SV5_OPTIONAL_12","4","124,339","136,341","98","158","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_0011e72c7b31be6472c3","EMPTY_ROOM","12,176,16,12","SV5_INFILL_ROOM_007d4b680e990cd2b2e3","SV5_OPTIONAL_09","4","27,179","15,179","66","126","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_0017240d31ed187f15e4","DEAD_END","68,232,16,12","SV5_INFILL_ROOM_00855457512d1a974c7d","SV5_OPTIONAL_10","4","83,235","71,235","69","123","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_001fbc81fb72bc0c659e","SMALL_CAVE","588,388,20,12","SV5_INFILL_ROOM_0446d8ee63eecabdb00b","SV5_OPTIONAL_01","5","588,391","604,391","91","149","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_00214737a7823549ff84","SMALL_CAVE","8,292,20,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","27,295","11,295","91","149","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_0024793eb465e7cf43f8","DEAD_END","164,12,16,12","SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb","SV5_OPTIONAL_06","2","179,15","167,15","69","123","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_002847beba22c27fafc7","LANDING","404,352,16,16","SV5_OPTIONAL_00","SV5_OPTIONAL_00","1","404,355","416,357","98","158","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SMALL_CAVE","560,20,20,12","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","560,23","576,23","97","143","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_002d50d3e085b1033ac2","SMALL_CAVE","480,80,20,12","SV5_INFILL_ROOM_01d7ff7bb18fc9fc6231","SV5_OPTIONAL_04","3","499,83","483,83","97","143","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_0033f24aa202678fd527","EMPTY_ROOM","176,208,16,12","SV5_OPTIONAL_10","SV5_OPTIONAL_10","1","176,211","188,211","72","120","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
"SV5_INFILL_ROOM_0036192e65ffed678614","EMPTY_ROOM","12,396,16,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","27,399","15,399","66","126","False","NONE","True","ec2e35e4ffb165bdd113c03108582c40d55bf1104b554fc339a8a251385dc465"
