world_x,world_y,base,owner,recipe,parent,host,shared,pattern_x,pattern_y,pattern_index,plan_digest
"584","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","12","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"585","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","13","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"586","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","14","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"587","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","15","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"588","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","12","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"589","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","13","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"590","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","14","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"591","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","15","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"592","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","12","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"593","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","13","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"594","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","14","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"595","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","15","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"4","4","Solid","SV5_INFILL_ROOM_10c3fb6870215244584a","DEAD_END","SV5_INFILL_ROOM_01f0cdc1039548013f6c","SV5_OPTIONAL_06","False","4","4","0","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"5","4","Solid","SV5_INFILL_ROOM_10c3fb6870215244584a","DEAD_END","SV5_INFILL_ROOM_01f0cdc1039548013f6c","SV5_OPTIONAL_06","False","4","4","1","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"6","4","Solid","SV5_INFILL_ROOM_10c3fb6870215244584a","DEAD_END","SV5_INFILL_ROOM_01f0cdc1039548013f6c","SV5_OPTIONAL_06","False","4","4","2","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
