pattern_id,origin_x,origin_y,room_id,formation_id,recipe,parent,host,mirror,plan_digest
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","68","336","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","72","336","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","76","336","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","80","336","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_28e720f400600ea91bbbe744faf5164b035ae8148582a2aa955fe68f57f2e3cf","68","340","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","72","340","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","76","340","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_61c7eb05d56dd7588194269e26c5ed9bf8e4b11bccc99278756b558050bf75d0","80","340","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_8afeba3712a0a029edaff8d07a02d8cebd5051ddfe392034f6c43b45942d0741","68","344","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"INFILL_d912cd5dd053890d9db3b0dbda3f4c8d0cd103f4cd3ab0c11da57faae96dbc8b","72","344","SV5_INFILL_ROOM_0009256b2ee54633b586","SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","SV5_OPTIONAL_14","SV5_OPTIONAL_14","False","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
