room_id,recipe,bounds,parent,host,depth,entry,deep,air,solid,legacy,reward,static_success,plan_digest
"SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","68,336,16,12","SV5_OPTIONAL_14","SV5_OPTIONAL_14","1","68,339","80,339","69","123","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_000c3495817d6dc43df6","SMALL_CAVE","92,388,20,12","SV5_OPTIONAL_14","SV5_OPTIONAL_14","1","92,391","108,391","97","143","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0011e72c7b31be6472c3","EMPTY_ROOM","12,176,16,12","SV5_INFILL_ROOM_007d4b680e990cd2b2e3","SV5_OPTIONAL_09","4","27,179","15,179","66","126","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_001fbc81fb72bc0c659e","SMALL_CAVE","588,388,20,12","SV5_INFILL_ROOM_0446d8ee63eecabdb00b","SV5_OPTIONAL_01","5","588,391","604,391","91","149","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0024793eb465e7cf43f8","DEAD_END","164,12,16,12","SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb","SV5_OPTIONAL_06","2","179,15","167,15","69","123","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0026720c34abcbf94ac5","DEAD_END","296,388,16,12","SV5_INFILL_ROOM_035798141bd571f529ac","SV5_OPTIONAL_00","3","311,391","299,391","69","123","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_002847beba22c27fafc7","LANDING","404,352,16,16","SV5_OPTIONAL_00","SV5_OPTIONAL_00","1","404,355","416,357","98","158","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SMALL_CAVE","560,20,20,12","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","560,23","576,23","97","143","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_002d50d3e085b1033ac2","SMALL_CAVE","480,80,20,12","SV5_INFILL_ROOM_01d7ff7bb18fc9fc6231","SV5_OPTIONAL_04","3","499,83","483,83","97","143","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0033f24aa202678fd527","EMPTY_ROOM","176,208,16,12","SV5_OPTIONAL_10","SV5_OPTIONAL_10","1","176,211","188,211","72","120","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0037657b0551ee1b06a5","SMALL_CAVE","16,236,20,12","SV5_OPTIONAL_15","SV5_OPTIONAL_15","1","35,239","19,239","91","149","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_003c64be23db80287d41","DEAD_END","600,20,16,12","SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SV5_OPTIONAL_04","2","600,23","612,23","63","129","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0042f49ea66c74b34fe7","SMALL_CAVE","108,208,20,12","SV5_INFILL_ROOM_0e7232f551c998f79b45","SV5_OPTIONAL_10","2","127,211","111,211","97","143","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0051000692d8e452ab1f","SMALL_CAVE","380,244,20,12","SV5_INFILL_ROOM_04e7f66dbff892010bd0","SV5_OPTIONAL_TO_VILLAGE","2","380,247","396,247","91","149","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_00567d25c8515283ea43","DEAD_END","24,256,16,12","SV5_OPTIONAL_15","SV5_OPTIONAL_15","1","39,259","27,259","69","123","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_0056e97b4d1cbbcc6c74","SMALL_CAVE","468,48,20,12","SV5_INFILL_ROOM_0a3edb35f0471f0ffe49","SV5_OPTIONAL_04","3","487,51","471,51","97","143","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
"SV5_INFILL_ROOM_005a04bda9ede05b1190","DEAD_END","92,128,16,12","SV5_OPTIONAL_09","SV5_OPTIONAL_09","1","107,131","95,131","69","123","False","NONE","True","82c31034ea601389a257e773caf96fe146abde1b3016018ff3aeae60115f73eb"
