window_x,window_y,before_known,after_known,reserved,new_owned,pending_cells,new_rooms,leaf_rooms,static_failures,plan_digest
"0","0","0","320","0","320","1216","1","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"1","0","0","678","0","678","858","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"2","0","0","707","0","707","829","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"3","0","0","862","0","862","674","3","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"4","0","0","679","116","670","857","2","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"5","0","181","277","352","96","1259","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"6","0","48","528","240","480","1008","2","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"7","0","48","282","441","88","1254","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"8","0","32","32","208","0","1504","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"9","0","0","286","144","286","1250","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"10","0","0","400","144","400","1136","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"11","0","0","604","338","472","932","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"12","0","0","735","77","699","801","2","2","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"0","1","0","448","0","448","1088","1","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"1","1","0","789","0","789","747","3","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"2","1","0","797","0","797","739","3","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"3","1","0","754","0","754","782","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"4","1","0","680","96","676","856","3","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"5","1","120","120","268","0","1416","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"6","1","0","0","48","0","1536","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"7","1","0","0","48","0","1536","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"8","1","0","448","63","448","1088","2","2","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"9","1","0","786","0","786","750","3","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"10","1","0","560","0","560","976","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"11","1","0","492","96","488","1044","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"12","1","0","480","0","480","1056","2","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"0","2","0","688","0","688","848","2","2","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"1","2","0","1013","0","1013","523","5","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"2","2","0","834","185","765","702","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"3","2","0","708","388","574","828","2","2","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"4","2","0","434","173","400","1102","2","2","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"5","2","0","0","128","0","1536","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"6","2","0","0","0","0","1536","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"7","2","0","0","0","0","1536","0","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"8","2","0","144","32","144","1392","1","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"9","2","0","528","0","528","1008","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"10","2","0","627","0","627","909","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"11","2","0","741","96","733","795","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"12","2","0","591","0","591","945","2","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"0","3","0","336","0","336","1200","1","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"1","3","0","698","0","698","838","2","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"2","3","0","444","96","440","1092","1","0","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"3","3","0","826","71","824","710","3","2","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"4","3","0","474","387","280","1062","1","1","0","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
