window_x,window_y,before_known,after_known,reserved,new_owned,pending_cells,new_rooms,leaf_rooms,static_failures,plan_digest
"0","0","0","320","0","320","1216","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","0","0","678","0","678","858","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","0","0","707","0","707","829","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","0","0","862","0","862","674","3","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","0","0","679","116","670","857","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","0","181","277","352","96","1259","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","0","48","528","240","480","1008","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","0","48","282","441","88","1254","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","0","32","32","208","0","1504","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","0","0","286","144","286","1250","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","0","0","400","144","400","1136","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","0","0","604","338","472","932","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","0","0","735","77","699","801","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","1","0","448","0","448","1088","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","1","0","789","0","789","747","3","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","1","0","797","0","797","739","3","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","1","0","754","0","754","782","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","1","0","680","96","676","856","3","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","1","120","120","268","0","1416","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","1","0","0","48","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","1","0","0","48","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","1","0","448","63","448","1088","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","1","0","786","0","786","750","3","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","1","0","560","0","560","976","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","1","0","492","96","488","1044","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
