edge_id,from_vertex,to_vertex,kind,loop_id
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_07af10cb4acde894de2d","INFILL_PARENT",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_0017896242681bbba695","SV5_INFILL_ROOM_0017896242681bbba695","SV5_INFILL_ROOM_00e883e8005721574f5b","INFILL_PARENT",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_00214737a7823549ff84","SV5_INFILL_ROOM_00214737a7823549ff84","SV5_OPTIONAL_12","INFILL_HOST",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_0024793eb465e7cf43f8","SV5_INFILL_ROOM_0024793eb465e7cf43f8","SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb","INFILL_PARENT",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_002847beba22c27fafc7","SV5_INFILL_ROOM_002847beba22c27fafc7","SV5_OPTIONAL_00","INFILL_HOST",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SV5_OPTIONAL_04","INFILL_HOST",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_0033f24aa202678fd527","SV5_INFILL_ROOM_0033f24aa202678fd527","SV5_OPTIONAL_10","INFILL_HOST",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_0036192e65ffed678614","SV5_INFILL_ROOM_0036192e65ffed678614","SV5_OPTIONAL_12","INFILL_HOST",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_0038cd07afe0acfefffa","SV5_INFILL_ROOM_0038cd07afe0acfefffa","SV5_INFILL_ROOM_018765724e6a988ed29c","INFILL_PARENT",""
"SV5_INFILL_EDGE_SV5_INFILL_ROOM_003c64be23db80287d41","SV5_INFILL_ROOM_003c64be23db80287d41","SV5_INFILL_ROOM_002b1fdb38d3b5d62912","INFILL_PARENT",""
