pattern_id,write_mask,cells_row_major_16,semantic_hash,variants,actual_cell_digest,plan_digest
"INFILL_0a82fc510438c0df6e143ed41e3d787ab33fbbfab790db579d8f9b620f97a85c","12800","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Solid|Air|Unknown|Unknown","0a82fc510438c0df6e143ed41e3d787ab33fbbfab790db579d8f9b620f97a85c","LOOP_SCALLOP","ab2e430fde0785028d2ee55f661cc4d7d8e5fb0db8393c01e33785f0b78c4821","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_0b0700d16004ed4b0db1c9cda4821782976038246f3a083e329d30caba8e2ae8","61427","Solid|Solid|Unknown|Unknown|Air|Air|Solid|Solid|Air|Air|Air|Air|Unknown|Air|Air|Air","0b0700d16004ed4b0db1c9cda4821782976038246f3a083e329d30caba8e2ae8","LOOP_SHELF","22ca5f81e48ec7af523f64b16d64e6968c89465ed71eaa2f620c50ecc358fd9d","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_0c3dfdfed4547280023a7fe6e2bd42d62042ba17827a884fe2c405a68849d091","61427","Air|Solid|Unknown|Unknown|Air|Air|Solid|Solid|Air|Air|Air|Air|Unknown|Air|Air|Air","0c3dfdfed4547280023a7fe6e2bd42d62042ba17827a884fe2c405a68849d091","LOOP_SHELF","5cfe848584532d04373f693b00ac41ec83d17d5394886c012473652e1f23a535","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_0ed147e2252c04fe9d5b3de53122e592618c8bd9803f53b71d1a43d9e70a19a5","51","Air|Air|Unknown|Unknown|Air|Air|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","0ed147e2252c04fe9d5b3de53122e592618c8bd9803f53b71d1a43d9e70a19a5","LOOP_SCALLOP|LOOP_SHELF","6502642b209d623c1e3c185538c386927256f1157cf2c144bf3d8611c86c6846","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_15a422edb2b985b72792e8e9dc3e7f273b06a893c72f4d2011ca17f0777a32d7","61152","Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Solid|Solid|Unknown|Air|Air|Air|Unknown|Air|Air|Air","15a422edb2b985b72792e8e9dc3e7f273b06a893c72f4d2011ca17f0777a32d7","LOOP_SCALLOP","c12a343892d46ed1634ab3f91dc5d86b53fa9d00bc3782743dad53ec943aba64","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","52352","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Solid|Air|Unknown|Unknown|Air|Air","1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","LOOP_SCALLOP","25a0f3f146daa1348e699f91a1fa3f3895433d8b898ffb3be59bec2fe5e93d8d","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_20478c53e02489e6ade03f1f38f0ca918d010e582d01e1467ee252b10441bb81","19","Air|Air|Unknown|Unknown|Air|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","20478c53e02489e6ade03f1f38f0ca918d010e582d01e1467ee252b10441bb81","LOOP_SCALLOP","ab2e430fde0785028d2ee55f661cc4d7d8e5fb0db8393c01e33785f0b78c4821","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_20ecb2556e8547d321d37cb1edbed49b7440bbc146287fb9dbb309304c000b1b","61128","Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Solid|Air|Unknown|Solid|Air|Air|Unknown|Air|Air|Air","20ecb2556e8547d321d37cb1edbed49b7440bbc146287fb9dbb309304c000b1b","LOOP_SCALLOP","26d4c3812690fe04b681ed660f50181f38b4bcd71da5c9c8f6f54379bcc9ffcc","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_23d630b69e0e4d2ecec39f0a6585165f6c20c38e776710e57b4600365efcfe83","12288","Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Unknown","23d630b69e0e4d2ecec39f0a6585165f6c20c38e776710e57b4600365efcfe83","LOOP_SCALLOP","9131406c67c675a6ce2a35c0cc7ca596a1ad73926f5c5f196e9ed65831e561d3","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
"INFILL_29fc3e28971eb4fa23f518ae6c192034c52947bab9f8e2a5435909b905f77149","32748","Unknown|Unknown|Solid|Air|Unknown|Solid|Air|Air|Solid|Air|Air|Air|Air|Air|Air|Unknown","29fc3e28971eb4fa23f518ae6c192034c52947bab9f8e2a5435909b905f77149","LOOP_SCALLOP","a8ce220b2bdb9334eb4a2feccd0281eb6db1f94e7039b8d1a997deb9e7fda54e","2b2307b6d1f1dce9674ad4ea486c455914cccce77110b48aef337689644251c8"
