contact_id,kind,first_x,first_y,second_x,second_y,direction,route_a,route_a_x,route_a_y,route_a_kinds,route_b,route_b_x,route_b_y,route_b_kinds,first_kinds,second_kinds,split_node_id,crossing,predicate,boundary_id,coverage_checked,logical_state_transition_checked,geometry_state,player_state,detail,plan_digest
FACE_131_196_132_196_5e1bf6cdabef,FACE,131,196,132,196,RIGHT,SV5_OPTIONAL_09,131,196,Passage,SV5_OPTIONAL_10,132,196,Passage,Passage,Passage,SV5_CONTACT_NODE_1F40CFEC62BD6BD13EF3,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_132_195_132_196_5e1bf6cdabef,FACE,132,195,132,196,UP,SV5_OPTIONAL_09,132,195,Passage,SV5_OPTIONAL_10,132,196,Passage,Passage,Passage,SV5_CONTACT_NODE_5F03CEC797CB13A297B8,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_132_195_133_195_5e1bf6cdabef,FACE,132,195,133,195,RIGHT,SV5_OPTIONAL_09,132,195,Passage,SV5_OPTIONAL_10,133,195,Passage,Passage,Passage,SV5_CONTACT_NODE_64A48EEB9701C9F4342B,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_132_196_133_196_5e1bf6cdabef,FACE,132,196,133,196,RIGHT,SV5_OPTIONAL_09,132,196,Passage,SV5_OPTIONAL_10,133,196,Passage,Passage,Passage,SV5_CONTACT_NODE_AFFA785F0C1B3BB8B6CB,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_133_195_133_196_5e1bf6cdabef,FACE,133,195,133,196,UP,SV5_OPTIONAL_09,133,195,Passage,SV5_OPTIONAL_10,133,196,Passage,Passage,Passage,SV5_CONTACT_NODE_2525B8AD49B1A74A11DA,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_133_195_134_195_5e1bf6cdabef,FACE,133,195,134,195,RIGHT,SV5_OPTIONAL_09,133,195,Passage,SV5_OPTIONAL_10,134,195,Passage,Passage,Passage,SV5_CONTACT_NODE_7BE82D446926B1A10624,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_133_196_134_196_5e1bf6cdabef,FACE,133,196,134,196,RIGHT,SV5_OPTIONAL_09,133,196,Passage,SV5_OPTIONAL_10,134,196,Passage,Passage,Passage,SV5_CONTACT_NODE_A83ED70AD9C55BDE023E,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_134_195_134_196_5e1bf6cdabef,FACE,134,195,134,196,UP,SV5_OPTIONAL_09,134,195,Passage,SV5_OPTIONAL_10,134,196,Passage,Passage,Passage,SV5_CONTACT_NODE_BD968B80A0323085A2F5,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_134_195_135_195_5e1bf6cdabef,FACE,134,195,135,195,RIGHT,SV5_OPTIONAL_09,134,195,Passage,SV5_OPTIONAL_10,135,195,Passage,Passage,Passage,SV5_CONTACT_NODE_1FE3CB25AB251DEE953F,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
FACE_134_196_135_196_5e1bf6cdabef,FACE,134,196,135,196,RIGHT,SV5_OPTIONAL_09,134,196,Passage,SV5_OPTIONAL_10,135,196,Passage,Passage,Passage,SV5_CONTACT_NODE_8BA0D8CCC976CAF8AAA0,Join,ACTIONLESS|ACTIONLESS,,true,true,PLANNED_RESERVATION,PENDING,GLOBAL_COORDINATE_JOIN;PREDICATE_APPLIES_AT_PORTAL_ONLY;CLEARANCE_IS_NOT_PASSAGE,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
