room_id,recipe,bounds,parent,host,depth,entry,deep,air,solid,legacy,reward,static_success,plan_digest
"SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","96,48,16,16","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","4","111,51","99,53","98","158","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_0017896242681bbba695","SMALL_CAVE","148,336,20,12","SV5_INFILL_ROOM_00e883e8005721574f5b","SV5_OPTIONAL_12","5","148,339","164,339","97","143","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_00214737a7823549ff84","SMALL_CAVE","8,292,20,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","27,295","11,295","91","149","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_0024793eb465e7cf43f8","DEAD_END","164,12,16,12","SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb","SV5_OPTIONAL_06","2","179,15","167,15","69","123","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_002847beba22c27fafc7","LANDING","404,352,16,16","SV5_OPTIONAL_00","SV5_OPTIONAL_00","1","404,355","416,357","98","158","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SMALL_CAVE","560,20,20,12","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","560,23","576,23","97","143","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_0033f24aa202678fd527","EMPTY_ROOM","176,208,16,12","SV5_OPTIONAL_10","SV5_OPTIONAL_10","1","176,211","188,211","72","120","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_0036192e65ffed678614","EMPTY_ROOM","12,396,16,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","27,399","15,399","66","126","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_0038cd07afe0acfefffa","EMPTY_ROOM","548,388,16,12","SV5_INFILL_ROOM_018765724e6a988ed29c","SV5_OPTIONAL_01","5","548,391","560,391","72","120","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_003c64be23db80287d41","DEAD_END","600,20,16,12","SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SV5_OPTIONAL_04","2","600,23","612,23","63","129","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_00473322334dddb23100","EMPTY_ROOM","8,328,16,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","23,331","11,331","66","126","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_INFILL_ROOM_004a21fe679a80497ef7","SMALL_CAVE","296,368,20,12","SV5_INFILL_ROOM_0315a5303806deccb68e","SV5_OPTIONAL_TO_VILLAGE","2","315,371","299,371","97","143","False","NONE","True","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
