pattern_id,origin_x,origin_y,loop_id,recipe,host,mirror,write_mask,actual_cell_digest,plan_digest
"INFILL_20ecb2556e8547d321d37cb1edbed49b7440bbc146287fb9dbb309304c000b1b","380","364","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","61128","1968fe8998504a5d4d0c1d85880e625260b8ff60c7526f24ebbe1aa9808d09f1","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_2b440639a529eaec94f40a6a4cfcc23ea5bc36048c8d94b477fc587a7feccc23","384","364","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","30480","fe3515373061aad152013b45cddd3da563a7edf4191b85fac0ba3a050a6dde09","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_3448a24c1fad72cc815561fd8de3c9b68d38c2590e4c6f44addb43b186bfe1ba","380","368","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","6","a0a1afddd5917ee5aa2ffec708903410ca3bf8effa82015e10db06af367da8cb","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_aa3d5bcb526e1e3a6077242c4dcb7c79021437c2eea82f2e88d67078fea54f7b","384","368","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","7","0decafd7ebd457a9bbd3aa4434a6bef50591bd052559b67e9983e98976cbba33","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_db0f25949fc8fa2c8dbba0b6c4acb79d574c4d77f4903b0bfb5257a57a114410","548","40","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","60544","ece9e4705481fbc1363fb2d46aa31492098c30f472af79363cb992caeac752c6","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_f2adc4566fa9c2c908709c9a4299530af7607d336a5e88142d637e5508cce5a6","552","40","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","65520","9ae897a8ddfd1aff02c0b1b18fd7513e58d3c3be908d08933c05ce873da2f572","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_d6b3660a12b91105ff19b349547963d39bfd18cd964156fdc184372a7b879b14","556","40","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","30512","16e7e17f93c71d2f325d3ffd160d17bd7c04b8bc1ecc859304fd082d55ae1583","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","544","44","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","52352","d827b39ecd95b704c13800fa4dab31ecd64a856fe9ebc96f828850ac0cd9af95","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_af76a0b450602d286f7bd488535e6c9e63b200486e7c094c2a40426216ac5e50","548","44","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","4991","979480386a029fb0ec466e08706bc85ce6a974c01885d114b47a92358736a192","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_3448a24c1fad72cc815561fd8de3c9b68d38c2590e4c6f44addb43b186bfe1ba","556","44","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","6","826e33bf9dd2a3856cbaed505d10dd9994d7589f86db4d11fec0bd30622704fa","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_310bedad7a44f66ad15986d2540d55c08138f5985a2d900243d5b00ff9c87722","544","48","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","12","a857c6fdf5bd667e178f19b20e5dc7bec6eb8b94031d198e4e70124bae413c32","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_df412e390b45860f56c7d70378768101f6318a86aa45d2f77982bad689b87410","216","20","SV5_LOOP_1281c3906dc018977fba","LOOP_SHELF","SV5_OPTIONAL_06","False","52224","d31365ad03911090ad5736d39f36951ea74fb962a85e3479a8fddd13f06338b7","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_9f2580f6b27a05745a23d609322016e7a01b3f851053a94297d7517887976e08","220","20","SV5_LOOP_1281c3906dc018977fba","LOOP_SHELF","SV5_OPTIONAL_06","False","65394","f6948aabb37b3b733d8139a3565b3b9856b7de3a7c0a5a5730fa9e95cf9bc3da","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_310bedad7a44f66ad15986d2540d55c08138f5985a2d900243d5b00ff9c87722","216","24","SV5_LOOP_1281c3906dc018977fba","LOOP_SHELF","SV5_OPTIONAL_06","False","12","e87b6ebc0f1d34b5d108ae7a7e2197b76f470d662186e2939bb2adc87b7226fe","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_7950b8d86ee0cb9ecb7eccf97a424b59ca9ac21dc99d64e7a1ee1d95234f876b","220","24","SV5_LOOP_1281c3906dc018977fba","LOOP_SHELF","SV5_OPTIONAL_06","False","13","90893fa7c109a9b8cc5ee49243e5be4c767e772e075ee10c37cf208963238f17","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_df412e390b45860f56c7d70378768101f6318a86aa45d2f77982bad689b87410","172","84","SV5_LOOP_37aa0a8b0a8bb032caab","LOOP_SCALLOP","SV5_OPTIONAL_07","False","52224","741bbfcde7df0bd649e40c53eeefb3e974f2e4a371c478e9dd786721fcb3a369","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_9f2580f6b27a05745a23d609322016e7a01b3f851053a94297d7517887976e08","176","84","SV5_LOOP_37aa0a8b0a8bb032caab","LOOP_SCALLOP","SV5_OPTIONAL_07","False","65394","5dffd9a8ce9027147d34f05afe33f67389c54bfb1679bdcdec493bb56fa6c739","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_310bedad7a44f66ad15986d2540d55c08138f5985a2d900243d5b00ff9c87722","172","88","SV5_LOOP_37aa0a8b0a8bb032caab","LOOP_SCALLOP","SV5_OPTIONAL_07","False","12","67ed7e06097ced905450a611cee9d71812e63b7e8eb838446b4586820e707578","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_7950b8d86ee0cb9ecb7eccf97a424b59ca9ac21dc99d64e7a1ee1d95234f876b","176","88","SV5_LOOP_37aa0a8b0a8bb032caab","LOOP_SCALLOP","SV5_OPTIONAL_07","False","13","33af2983507cc85f724f3228ad519c64167c33b8d3da423e276ede000ac433ad","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"INFILL_3a5f6927e82db9b284c2754adc6e838528fca039839c0af9c66f9af46bf7e79e","124","156","SV5_LOOP_3fe1045da779334f44ca","LOOP_SCALLOP","SV5_OPTIONAL_09","False","32768","bf8d8652c8a03c33c02652da972ffaa7fc144239866ac50808ceadd8f1f95a66","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
