loop_id,type,sector_id,from_room,to_room,from_aperture_owner,to_aperture_owner,from_x,from_y,to_x,to_y,host,length,baseline_cost,new_cost,reduction,reduction_percent,significant,alternate_path_exists,cycle_delta,bypass_count,resource_orders,legal_states,contour_variant,ordered_foot_path,from_approach,to_approach,ordered_centerline,plan_digest
"SV5_LOOP_06fc027033fc57bcac46","LOOP","S11_07","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4","SV5_INFILL_ROOM_1a82971bf4756de9b6e1","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SV5_INFILL_ROOM_1a82971bf4756de9b6e1_LINK","381","367","386","367","SV5_OPTIONAL_00","6","6","6","0","0","False","True","1","0","6","9","SCALLOP","381:367|382:366|383:365|384:366|385:367|386:367","","","381,367|382,367|382,366|383,366|383,365|383,366|384,366|384,367|385,367|386,367","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_123419daedcf7f24c5e3","LOOP","S01_11","SV5_INFILL_ROOM_00b4a4fe56b192880b8c","SV5_INFILL_ROOM_06221a856d3548df6440","SV5_INFILL_ROOM_00b4a4fe56b192880b8c_LINK","SV5_INFILL_ROOM_06221a856d3548df6440","558","43","546","47","SV5_OPTIONAL_04","13","13","13","0","0","False","True","1","0","6","9","SCALLOP","558:43|557:42|556:42|555:42|554:42|553:42|552:42|551:42|550:43|549:44|548:45|547:46|546:47","561:46|560:45|559:44","545:47","558,43|557,43|557,42|556,42|555,42|554,42|553,42|552,42|551,42|551,43|550,43|550,44|549,44|549,45|548,45|548,46|547,46|547,47|546,47","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_1281c3906dc018977fba","LOOP","S00_04","SV5_INFILL_ROOM_00d2b967a3d3b2f6b4b1","SV5_INFILL_ROOM_01ab4f357f1a1a51e05d","SV5_INFILL_ROOM_00d2b967a3d3b2f6b4b1_LINK","SV5_INFILL_ROOM_01ab4f357f1a1a51e05d_LINK","218","23","223","23","SV5_OPTIONAL_06","6","6","6","0","0","False","True","1","0","6","9","SHELF","218:23|219:23|220:22|221:21|222:22|223:23","","","218,23|219,23|220,23|220,22|221,22|221,21|221,22|222,22|222,23|223,23","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_37aa0a8b0a8bb032caab","LOOP","S02_03","SV5_INFILL_ROOM_04458846b0c9a081817d","SV5_INFILL_ROOM_41bfb11db98643b33449","SV5_INFILL_ROOM_04458846b0c9a081817d_LINK","SV5_INFILL_ROOM_41bfb11db98643b33449_LINK","179","87","174","87","SV5_OPTIONAL_07","6","6","6","0","0","False","True","1","0","6","9","SCALLOP","179:87|178:86|177:85|176:86|175:87|174:87","","","179,87|178,87|178,86|177,86|177,85|177,86|176,86|176,87|175,87|174,87","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_3fe1045da779334f44ca","LOOP","S05_02","SV5_INFILL_ROOM_0172fae7eed3ae487f8f","SV5_INFILL_ROOM_01ba3c3a3c17419084a1","SV5_INFILL_ROOM_0172fae7eed3ae487f8f_LINK","SV5_INFILL_ROOM_01ba3c3a3c17419084a1_LINK","129","160","124","163","SV5_OPTIONAL_09","6","6","6","0","0","False","True","1","0","6","9","SCALLOP","129:160|128:160|127:160|126:161|125:162|124:163","","","129,160|128,160|127,160|127,161|126,161|126,162|125,162|125,163|124,163","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_4c04d12617aa1a8f3175","LOOP","S01_04","SV5_INFILL_ROOM_0211dda6690845617294","SV5_INFILL_ROOM_03bff8d63e21cbc62be9","SV5_INFILL_ROOM_0211dda6690845617294_LINK","SV5_INFILL_ROOM_03bff8d63e21cbc62be9_LINK","218","51","223","51","SV5_OPTIONAL_06","6","6","6","0","0","False","True","1","0","6","9","SHELF","218:51|219:51|220:50|221:49|222:50|223:51","217:52","","218,51|219,51|220,51|220,50|221,50|221,49|221,50|222,50|222,51|223,51","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_58dc2747530fe8ca6ce9","LOOP","S11_00","SV5_INFILL_ROOM_033878718f1e33807663","SV5_INFILL_ROOM_03b08efc4624bc79bd40","SV5_INFILL_ROOM_033878718f1e33807663_LINK","SV5_INFILL_ROOM_03b08efc4624bc79bd40_LINK","43","371","38","371","SV5_OPTIONAL_12","6","6","6","0","0","False","True","1","0","6","9","SHELF","43:371|42:370|41:369|40:370|39:371|38:371","","37:372","43,371|42,371|42,370|41,370|41,369|41,370|40,370|40,371|39,371|38,371","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_6929a82a67d46d6c056d","LOOP","S10_08","SV5_INFILL_ROOM_0097a6b558d6e61e58f5","SV5_INFILL_ROOM_0f17f69a0304b7b0be0e","SV5_INFILL_ROOM_0097a6b558d6e61e58f5_LINK","SV5_INFILL_ROOM_0f17f69a0304b7b0be0e_LINK","377","318","389","324","SV5_OPTIONAL_RETURN_TO_START","13","13","13","0","0","False","True","1","0","6","9","SCALLOP","377:318|378:318|379:318|380:318|381:318|382:318|383:319|384:320|385:321|386:322|387:323|388:324|389:324","373:322|374:321|375:320|376:319","","377,318|378,318|379,318|380,318|381,318|382,318|382,319|383,319|383,320|384,320|384,321|385,321|385,322|386,322|386,323|387,323|387,324|388,324|389,324","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_7f418ee6fc496dbbba70","LOOP","S11_01","SV5_INFILL_ROOM_02284733d117494c6d27","SV5_INFILL_ROOM_030a02d7aa5a692e4bf7","SV5_INFILL_ROOM_02284733d117494c6d27","SV5_INFILL_ROOM_030a02d7aa5a692e4bf7_LINK","55","351","38","355","SV5_OPTIONAL_12","18","18","18","0","0","False","True","1","0","6","9","SHELF","55:351|54:352|53:353|52:354|51:355|50:356|49:356|48:356|47:356|46:356|45:356|44:356|43:356|42:356|41:356|40:356|39:356|38:355","","","55,351|55,352|54,352|54,353|53,353|53,354|52,354|52,355|51,355|51,356|50,356|49,356|48,356|47,356|46,356|45,356|44,356|43,356|42,356|41,356|40,356|39,356|38,356|38,355","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
"SV5_LOOP_80b17b5cc39800ee6af9","LOOP","S06_03","SV5_INFILL_ROOM_0033f24aa202678fd527","SV5_INFILL_ROOM_0555f7159cc5807eccd0","SV5_INFILL_ROOM_0033f24aa202678fd527_LINK","SV5_INFILL_ROOM_0555f7159cc5807eccd0_LINK","174","210","167","204","SV5_OPTIONAL_10","8","8","8","0","0","False","True","1","0","6","9","SHELF","174:210|173:209|172:208|171:207|170:206|169:205|168:204|167:204","","","174,210|173,210|173,209|172,209|172,208|171,208|171,207|170,207|170,206|169,206|169,205|168,205|168,204|167,204","a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c"
