world_x,world_y,reservation_kind,owner_id,semantics,micro_chunk_x,micro_chunk_y,pattern_x,pattern_y,is_final_tile,plan_digest
560,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
561,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
562,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
563,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
564,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
565,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
566,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
567,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
568,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
569,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
570,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
571,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,142,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
572,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
573,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
574,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
575,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,143,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
576,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
577,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
578,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
579,4,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,48,0,144,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
560,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
561,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
562,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
563,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,46,0,140,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
564,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
565,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
566,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
567,5,PlannedFootprint,SV5_PLACE_11_E64745F7462770DD,PLANNED_SHELL_NOT_FINAL_TILE,47,0,141,1,false,a51a5b66818d2195c9dceb3d6ae9c50550802d9bef95db3cb9d03bfe86afd22c
