x,y
"362","3"
"363","3"
"364","3"
"365","3"
"366","3"
"367","3"
"368","3"
"369","3"
"370","3"
"371","3"
"372","3"
"373","3"
"374","3"
"375","3"
"376","3"
"377","3"
"378","3"
"379","3"
"380","3"
"381","3"
"382","3"
"383","3"
"384","3"
"385","3"
"386","3"
"387","3"
"388","3"
"389","3"
"390","3"
"391","3"
"392","3"
"393","3"
"394","3"
"395","3"
"396","3"
"397","3"
"398","3"
"399","3"
"400","3"
"401","3"
"402","3"
"403","3"
"404","3"
"405","3"
"406","3"
"407","3"
"408","3"
"409","3"
"410","3"
"411","3"
"412","3"
"413","3"
"414","3"
"415","3"
"416","3"
"417","3"
"418","3"
"419","3"
"420","3"
"421","3"
"422","3"
"423","3"
"424","3"
"425","3"
"426","3"
"427","3"
"428","3"
"429","3"
"430","3"
"431","3"
"432","3"
"433","3"
"434","3"
"435","3"
"436","3"
"437","3"
"438","3"
"439","3"
"440","3"
"441","3"
"442","3"
"443","3"
"444","3"
"445","3"
"446","3"
"447","3"
"448","3"
"449","3"
"450","3"
"451","3"
"452","3"
"453","3"
"454","3"
"455","3"
"456","3"
"457","3"
"458","3"
"459","3"
"460","3"
"461","3"
"462","3"
"463","3"
"464","3"
"465","3"
"466","3"
"467","3"
"468","3"
"469","3"
"470","3"
"471","3"
"472","3"
"473","3"
"474","3"
"475","3"
"476","3"
"477","3"
"478","3"
"479","3"
"480","3"
"481","3"
"482","3"
"483","3"
"484","3"
"485","3"
"486","3"
"487","3"
"488","3"
"489","3"
"490","3"
"491","3"
"492","3"
"493","3"
"494","3"
"495","3"
"496","3"
"497","3"
"498","3"
"499","3"
"500","3"
"501","3"
"502","3"
"503","3"
"504","3"
"505","3"
"506","3"
"507","3"
"508","3"
"509","3"
"510","3"
"511","3"
"512","3"
"513","3"
"514","3"
"515","3"
"516","3"
"517","3"
"518","3"
"519","3"
"520","3"
"521","3"
"522","3"
"523","3"
"524","3"
"525","3"
"526","3"
"527","3"
"528","3"
"529","3"
"530","3"
"531","3"
"532","3"
"533","3"
"534","3"
"535","3"
"536","3"
"537","3"
"538","3"
"539","3"
"540","3"
"541","3"
"542","3"
"543","3"
"544","3"
"545","3"
"546","3"
"547","3"
"548","3"
"549","3"
"550","3"
"551","3"
"552","3"
"553","3"
"554","3"
"555","3"
"556","3"
"557","3"
"558","3"
"559","3"
"560","3"
"561","3"
"562","3"
"563","3"
"564","3"
"565","3"
"566","3"
"567","3"
"568","3"
"569","3"
"570","3"
"571","3"
"572","3"
"573","3"
"574","3"
"575","3"
"576","3"
"577","3"
"361","4"
"578","4"
"360","5"
"579","5"
"359","6"
"580","6"
"584","6"
"585","6"
"586","6"
"587","6"
"588","6"
"589","6"
"590","6"
"591","6"
"592","6"
"593","6"
"594","6"
"595","6"
"100","7"
"101","7"
"102","7"
"103","7"
"104","7"
"105","7"
"106","7"
"107","7"
"108","7"
"109","7"
"110","7"
"111","7"
"112","7"
"113","7"
"114","7"
"115","7"
"116","7"
"117","7"
"118","7"
"119","7"
"120","7"
"121","7"
"122","7"
"123","7"
"124","7"
"125","7"
"126","7"
"127","7"
"128","7"
"129","7"
"130","7"
"131","7"
"132","7"
"133","7"
"134","7"
"135","7"
"136","7"
"137","7"
"138","7"
"151","7"
"152","7"
"153","7"
"154","7"
"155","7"
"156","7"
"358","7"
"560","7"
"561","7"
"562","7"
"563","7"
"564","7"
"565","7"
"566","7"
"567","7"
"568","7"
"569","7"
"570","7"
"571","7"
"572","7"
"573","7"
"574","7"
"575","7"
"576","7"
"577","7"
"578","7"
"581","7"
"582","7"
"583","7"
"596","7"
"597","7"
"598","7"
"599","7"
"600","7"
"601","7"
"602","7"
"603","7"
"604","7"
"605","7"
"606","7"
"607","7"
"608","7"
"99","8"
"139","8"
"149","8"
"150","8"
"157","8"
"357","8"
"98","9"
"140","9"
"141","9"
"142","9"
"143","9"
"144","9"
"145","9"
"146","9"
"147","9"
"148","9"
"158","9"
"356","9"
"97","10"
"159","10"
"355","10"
"96","11"
"160","11"
"184","11"
"185","11"
"186","11"
"187","11"
"188","11"
"189","11"
"190","11"
"191","11"
"192","11"
"193","11"
"194","11"
"195","11"
"196","11"
"197","11"
"198","11"
"199","11"
"200","11"
"201","11"
"202","11"
"203","11"
"204","11"
"205","11"
"206","11"
"207","11"
"208","11"
"209","11"
"210","11"
"211","11"
"212","11"
"213","11"
"214","11"
"216","11"
"217","11"
"218","11"
"219","11"
"220","11"
"221","11"
"354","11"
"95","12"
"161","12"
"183","12"
"353","12"
"94","13"
"162","13"
"182","13"
"352","13"
"92","14"
"93","14"
"163","14"
"180","14"
"181","14"
"351","14"
"76","15"
"77","15"
"78","15"
"79","15"
"80","15"
"81","15"
"82","15"
"83","15"
"84","15"
"85","15"
"86","15"
"87","15"
"88","15"
"89","15"
"90","15"
"91","15"
"164","15"
"165","15"
"166","15"
"167","15"
"168","15"
"169","15"
"170","15"
"171","15"
"172","15"
"173","15"
"174","15"
"175","15"
"176","15"
"177","15"
"178","15"
"179","15"
"350","15"
"75","16"
"349","16"
"74","17"
"348","17"
"68","18"
"69","18"
"70","18"
"71","18"
"72","18"
"73","18"
"347","18"
"63","19"
"64","19"
"65","19"
"66","19"
"67","19"
"214","19"
"283","19"
"284","19"
"285","19"
"286","19"
"287","19"
"288","19"
"289","19"
"290","19"
"291","19"
"292","19"
"293","19"
"294","19"
"295","19"
"296","19"
"297","19"
"298","19"
"299","19"
"300","19"
"301","19"
"302","19"
"303","19"
"304","19"
"305","19"
"306","19"
"307","19"
"308","19"
"309","19"
"310","19"
"311","19"
"312","19"
"313","19"
"314","19"
"315","19"
"316","19"
"317","19"
"318","19"
"319","19"
"320","19"
"321","19"
"322","19"
"323","19"
"324","19"
"325","19"
"326","19"
"327","19"
"328","19"
"329","19"
"330","19"
"331","19"
"332","19"
"333","19"
"334","19"
"335","19"
"336","19"
"337","19"
"338","19"
"339","19"
"340","19"
"341","19"
"342","19"
"343","19"
"344","19"
"345","19"
"346","19"
"357","19"
"358","19"
"61","20"
"62","20"
"215","20"
"356","20"
"359","20"
"556","20"
"52","21"
"53","21"
"54","21"
"55","21"
"56","21"
"57","21"
"58","21"
"59","21"
"60","21"
"216","21"
"221","21"
"352","21"
"353","21"
"354","21"
"355","21"
"360","21"
"361","21"
"362","21"
"363","21"
"555","21"
"557","21"
"32","22"
"33","22"
"34","22"
"35","22"
"36","22"
"37","22"
"38","22"
"39","22"
"40","22"
"41","22"
"42","22"
"43","22"
"44","22"
"45","22"
"46","22"
"47","22"
"48","22"
"49","22"
"50","22"
"51","22"
"217","22"
"220","22"
"222","22"
"554","22"
"558","22"
"19","23"
"20","23"
"21","23"
"22","23"
"23","23"
"24","23"
"25","23"
"26","23"
"27","23"
"28","23"
"29","23"
"30","23"
"31","23"
"218","23"
"219","23"
"223","23"
"224","23"
"225","23"
"226","23"
"227","23"
"228","23"
"229","23"
"230","23"
"231","23"
"232","23"
"233","23"
"234","23"
"235","23"
"236","23"
"524","23"
"525","23"
"526","23"
"527","23"
"528","23"
"529","23"
"530","23"
"531","23"
"532","23"
"533","23"
"534","23"
"535","23"
"536","23"
"537","23"
"538","23"
"539","23"
"540","23"
"541","23"
"542","23"
"543","23"
"544","23"
"545","23"
"546","23"
"547","23"
"548","23"
"549","23"
"550","23"
"551","23"
"552","23"
"553","23"
"559","23"
"560","23"
"561","23"
"562","23"
"563","23"
"564","23"
"565","23"
"566","23"
"567","23"
"568","23"
"569","23"
"570","23"
"571","23"
