world_x,world_y,base,owner,recipe,parent,host,shared,pattern_x,pattern_y,pattern_index,plan_digest
"584","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","12","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"585","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","13","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"586","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","14","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"587","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","15","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"588","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","12","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"589","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","13","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"590","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","14","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"591","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","15","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"592","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","12","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"593","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","13","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"594","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","14","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"595","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","15","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"100","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","100","4","0","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"101","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","100","4","1","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"102","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","100","4","2","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"103","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","100","4","3","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"104","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","104","4","0","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"105","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","104","4","1","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"106","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","104","4","2","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
