pattern_id,origin_x,origin_y,loop_id,recipe,host,mirror,write_mask,actual_cell_digest,plan_digest
"INFILL_20ecb2556e8547d321d37cb1edbed49b7440bbc146287fb9dbb309304c000b1b","380","364","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","61128","1968fe8998504a5d4d0c1d85880e625260b8ff60c7526f24ebbe1aa9808d09f1","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_2b440639a529eaec94f40a6a4cfcc23ea5bc36048c8d94b477fc587a7feccc23","384","364","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","30480","fe3515373061aad152013b45cddd3da563a7edf4191b85fac0ba3a050a6dde09","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_3448a24c1fad72cc815561fd8de3c9b68d38c2590e4c6f44addb43b186bfe1ba","380","368","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","6","a0a1afddd5917ee5aa2ffec708903410ca3bf8effa82015e10db06af367da8cb","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_aa3d5bcb526e1e3a6077242c4dcb7c79021437c2eea82f2e88d67078fea54f7b","384","368","SV5_LOOP_06fc027033fc57bcac46","LOOP_SCALLOP","SV5_OPTIONAL_00","False","7","0decafd7ebd457a9bbd3aa4434a6bef50591bd052559b67e9983e98976cbba33","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_db0f25949fc8fa2c8dbba0b6c4acb79d574c4d77f4903b0bfb5257a57a114410","548","40","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","60544","ece9e4705481fbc1363fb2d46aa31492098c30f472af79363cb992caeac752c6","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_f2adc4566fa9c2c908709c9a4299530af7607d336a5e88142d637e5508cce5a6","552","40","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","65520","9ae897a8ddfd1aff02c0b1b18fd7513e58d3c3be908d08933c05ce873da2f572","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_d6b3660a12b91105ff19b349547963d39bfd18cd964156fdc184372a7b879b14","556","40","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","30512","16e7e17f93c71d2f325d3ffd160d17bd7c04b8bc1ecc859304fd082d55ae1583","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","544","44","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","52352","d827b39ecd95b704c13800fa4dab31ecd64a856fe9ebc96f828850ac0cd9af95","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_af76a0b450602d286f7bd488535e6c9e63b200486e7c094c2a40426216ac5e50","548","44","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","4991","979480386a029fb0ec466e08706bc85ce6a974c01885d114b47a92358736a192","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
"INFILL_3448a24c1fad72cc815561fd8de3c9b68d38c2590e4c6f44addb43b186bfe1ba","556","44","SV5_LOOP_123419daedcf7f24c5e3","LOOP_SCALLOP","SV5_OPTIONAL_04","False","6","826e33bf9dd2a3856cbaed505d10dd9994d7589f86db4d11fec0bd30622704fa","d381ea7f0f21f05701140f12f3d305a8dc506a576371888395da9c021b1352d5"
