loop_id,type,sector_id,from_room,to_room,from_aperture_owner,to_aperture_owner,from_x,from_y,to_x,to_y,host,length,baseline_cost,new_cost,reduction,reduction_percent,significant,alternate_path_exists,cycle_delta,bypass_count,resource_orders,legal_states,contour_variant,ordered_foot_path,from_approach,to_approach,ordered_centerline,plan_digest
"SV5_LOOP_06fc027033fc57bcac46","LOOP","S11_07","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4","SV5_INFILL_ROOM_1a82971bf4756de9b6e1","SV5_INFILL_ROOM_088f25cbc663d6d3b7a4_LINK","SV5_INFILL_ROOM_1a82971bf4756de9b6e1_LINK","381","367","386","367","SV5_OPTIONAL_00","6","6","6","0","0","False","True","1","0","6","9","SCALLOP","381:367|382:366|383:365|384:366|385:367|386:367","","","381,367|382,367|382,366|383,366|383,365|383,366|384,366|384,367|385,367|386,367","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_123419daedcf7f24c5e3","LOOP","S01_11","SV5_INFILL_ROOM_00b4a4fe56b192880b8c","SV5_INFILL_ROOM_06221a856d3548df6440","SV5_INFILL_ROOM_00b4a4fe56b192880b8c_LINK","SV5_INFILL_ROOM_06221a856d3548df6440","558","43","546","47","SV5_OPTIONAL_04","13","13","13","0","0","False","True","1","0","6","9","SCALLOP","558:43|557:42|556:42|555:42|554:42|553:42|552:42|551:42|550:43|549:44|548:45|547:46|546:47","561:46|560:45|559:44","545:47","558,43|557,43|557,42|556,42|555,42|554,42|553,42|552,42|551,42|551,43|550,43|550,44|549,44|549,45|548,45|548,46|547,46|547,47|546,47","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_1281c3906dc018977fba","LOOP","S00_04","SV5_INFILL_ROOM_00d2b967a3d3b2f6b4b1","SV5_INFILL_ROOM_01ab4f357f1a1a51e05d","SV5_INFILL_ROOM_00d2b967a3d3b2f6b4b1_LINK","SV5_INFILL_ROOM_01ab4f357f1a1a51e05d_LINK","218","23","223","23","SV5_OPTIONAL_06","6","6","6","0","0","False","True","1","0","6","9","SHELF","218:23|219:23|220:22|221:21|222:22|223:23","","","218,23|219,23|220,23|220,22|221,22|221,21|221,22|222,22|222,23|223,23","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_15b12e0598a00bda5c3a","LOOP","S11_01","SV5_INFILL_ROOM_0336ae99bc580abe01f7","SV5_INFILL_ROOM_0496c8692f6450167db1","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","56","359","63","359","SV5_OPTIONAL_14","8","8","8","0","0","False","True","1","0","6","9","SCALLOP","56:359|57:358|58:357|59:357|60:356|61:357|62:358|63:359","","","56,359|57,359|57,358|58,358|58,357|59,357|60,357|60,356|60,357|61,357|61,358|62,358|62,359|63,359","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_37aa0a8b0a8bb032caab","LOOP","S02_03","SV5_INFILL_ROOM_04458846b0c9a081817d","SV5_INFILL_ROOM_41bfb11db98643b33449","SV5_INFILL_ROOM_04458846b0c9a081817d_LINK","SV5_INFILL_ROOM_41bfb11db98643b33449_LINK","179","87","174","87","SV5_OPTIONAL_07","6","6","6","0","0","False","True","1","0","6","9","SCALLOP","179:87|178:86|177:85|176:86|175:87|174:87","","","179,87|178,87|178,86|177,86|177,85|177,86|176,86|176,87|175,87|174,87","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_3fe1045da779334f44ca","LOOP","S05_02","SV5_INFILL_ROOM_0172fae7eed3ae487f8f","SV5_INFILL_ROOM_01ba3c3a3c17419084a1","SV5_INFILL_ROOM_0172fae7eed3ae487f8f_LINK","SV5_INFILL_ROOM_01ba3c3a3c17419084a1_LINK","129","160","124","163","SV5_OPTIONAL_09","6","6","6","0","0","False","True","1","0","6","9","SHELF","129:160|128:160|127:160|126:161|125:162|124:163","","","129,160|128,160|127,160|127,161|126,161|126,162|125,162|125,163|124,163","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_474fe2f08ca9c07027ea","LOOP","S09_01","SV5_INFILL_ROOM_02eb000c5def9fe17f6c","SV5_INFILL_ROOM_0302951adf56016fc5e5","SV5_INFILL_ROOM_02eb000c5def9fe17f6c_LINK","SV5_INFILL_ROOM_0302951adf56016fc5e5_LINK","56","305","63","311","SV5_OPTIONAL_14","8","8","8","0","0","False","True","1","0","6","9","SHELF","56:305|57:305|58:306|59:307|60:308|61:309|62:310|63:311","","","56,305|57,305|57,306|58,306|58,307|59,307|59,308|60,308|60,309|61,309|61,310|62,310|62,311|63,311","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_4b27c8b056ed499c41ff","LOOP","S11_05","SV5_INFILL_ROOM_00d2455ea8bdf900b553","SV5_INFILL_ROOM_04258432ab0f33139931","SV5_INFILL_ROOM_00d2455ea8bdf900b553_LINK","SV5_INFILL_ROOM_04258432ab0f33139931_LINK","250","362","243","356","SV5_OPTIONAL_12","8","8","8","0","0","False","True","1","0","6","9","SHELF","250:362|249:361|248:360|247:359|246:358|245:357|244:356|243:356","","","250,362|249,362|249,361|248,361|248,360|247,360|247,359|246,359|246,358|245,358|245,357|244,357|244,356|243,356","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_4c04d12617aa1a8f3175","LOOP","S01_04","SV5_INFILL_ROOM_0211dda6690845617294","SV5_INFILL_ROOM_03bff8d63e21cbc62be9","SV5_INFILL_ROOM_0211dda6690845617294_LINK","SV5_INFILL_ROOM_03bff8d63e21cbc62be9_LINK","218","51","223","51","SV5_OPTIONAL_06","6","6","6","0","0","False","True","1","0","6","9","SHELF","218:51|219:51|220:50|221:49|222:50|223:51","217:52","","218,51|219,51|220,51|220,50|221,50|221,49|221,50|222,50|222,51|223,51","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_6929a82a67d46d6c056d","LOOP","S10_08","SV5_INFILL_ROOM_0097a6b558d6e61e58f5","SV5_INFILL_ROOM_0f17f69a0304b7b0be0e","SV5_INFILL_ROOM_0097a6b558d6e61e58f5_LINK","SV5_INFILL_ROOM_0f17f69a0304b7b0be0e_LINK","377","318","389","324","SV5_OPTIONAL_RETURN_TO_START","13","13","13","0","0","False","True","1","0","6","9","SHELF","377:318|378:318|379:318|380:318|381:318|382:318|383:319|384:320|385:321|386:322|387:323|388:324|389:324","373:322|374:321|375:320|376:319","","377,318|378,318|379,318|380,318|381,318|382,318|382,319|383,319|383,320|384,320|384,321|385,321|385,322|386,322|386,323|387,323|387,324|388,324|389,324","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_80b17b5cc39800ee6af9","LOOP","S06_03","SV5_INFILL_ROOM_0033f24aa202678fd527","SV5_INFILL_ROOM_0555f7159cc5807eccd0","SV5_INFILL_ROOM_0033f24aa202678fd527_LINK","SV5_INFILL_ROOM_0555f7159cc5807eccd0_LINK","174","210","167","204","SV5_OPTIONAL_10","8","8","8","0","0","False","True","1","0","6","9","SCALLOP","174:210|173:209|172:208|171:207|170:206|169:205|168:204|167:204","","","174,210|173,210|173,209|172,209|172,208|171,208|171,207|170,207|170,206|169,206|169,205|168,205|168,204|167,204","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_9492f4349c7e4bd51f26","LOOP","S02_11","SV5_INFILL_ROOM_00e5c1799c48f53348c3","SV5_INFILL_ROOM_00fe6dfb4eef486a889c","SV5_INFILL_ROOM_00e5c1799c48f53348c3","SV5_INFILL_ROOM_00fe6dfb4eef486a889c_LINK","543","91","557","88","SV5_OPTIONAL_04","15","15","15","0","0","False","True","1","0","6","9","SHELF","543:91|544:90|545:89|546:88|547:87|548:86|549:86|550:85|551:85|552:85|553:85|554:86|555:86|556:87|557:88","542:91","","543,91|544,91|544,90|545,90|545,89|546,89|546,88|547,88|547,87|548,87|548,86|549,86|550,86|550,85|551,85|552,85|553,85|553,86|554,86|555,86|555,87|556,87|556,88|557,88","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_ab5d9d9cf6ac6b1b9b52","LOOP","S04_11","SV5_INFILL_ROOM_07fb3ac254e765673737","SV5_INFILL_ROOM_0f5736599d7acc3ea0a8","SV5_INFILL_ROOM_07fb3ac254e765673737_LINK","SV5_INFILL_ROOM_0f5736599d7acc3ea0a8","558","127","547","123","SV5_OPTIONAL_04","12","12","12","0","0","False","True","1","0","6","9","SCALLOP","558:127|557:128|556:129|555:130|554:130|553:129|552:128|551:127|550:126|549:125|548:124|547:123","","","558,127|558,128|557,128|557,129|556,129|556,130|555,130|554,130|553,130|553,129|552,129|552,128|551,128|551,127|550,127|550,126|549,126|549,125|548,125|548,124|547,124|547,123","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_b17964bd145f9fce1631","LOOP","S02_02","SV5_INFILL_ROOM_05ca1ce41aa5fccf5e3e","SV5_INFILL_ROOM_2089d42e9ee8a59ad22d","SV5_INFILL_ROOM_05ca1ce41aa5fccf5e3e_LINK","SV5_INFILL_ROOM_2089d42e9ee8a59ad22d_LINK","126","82","135","75","SV5_OPTIONAL_08","10","10","10","0","0","False","True","1","0","6","9","SHELF","126:82|127:81|128:80|129:79|130:78|131:77|132:78|133:77|134:76|135:75","","","126,82|127,82|127,81|128,81|128,80|129,80|129,79|130,79|130,78|131,78|131,77|131,78|132,78|133,78|133,77|134,77|134,76|135,76|135,75","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_b3601cfa83c8816bdce6","LOOP","S10_07","SV5_INFILL_ROOM_032723ec76224555dc3f","SV5_INFILL_ROOM_3c929c46695361d1801a","SV5_INFILL_ROOM_032723ec76224555dc3f_LINK","SV5_INFILL_ROOM_3c929c46695361d1801a","360","348","369","351","SV5_OPTIONAL_01","10","10","10","0","0","False","True","1","0","6","9","SCALLOP","360:348|361:347|362:346|363:346|364:346|365:347|366:348|367:349|368:350|369:351","","","360,348|361,348|361,347|362,347|362,346|363,346|364,346|364,347|365,347|365,348|366,348|366,349|367,349|367,350|368,350|368,351|369,351","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
"SV5_LOOP_dfe99021151b44591328","LOOP","S00_11","SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e","SV5_INFILL_ROOM_002b1fdb38d3b5d62912_LINK","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e_LINK","559","23","553","23","SV5_OPTIONAL_04","7","7","7","0","0","False","True","1","0","6","9","SCALLOP","559:23|558:22|557:21|556:20|555:21|554:22|553:23","","","559,23|558,23|558,22|557,22|557,21|556,21|556,20|556,21|555,21|555,22|554,22|554,23|553,23","ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b"
