port_id,place_id,boundary_cells,anchor_x,anchor_y,direction,flow,clearance,condition,source_access_id,source_node_id,status,plan_digest
RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY,RMAP15_SITE_CONDENSEDCOEFFICIENTSAP,272:166|272:167|272:168,272,167,Left,IN,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_ENTRY,4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT,RMAP15_SITE_CONDENSEDCOEFFICIENTSAP,291:166|291:167|291:168,291,167,Right,OUT,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_CONDENSEDCOEFFICIENTSAP_PORT_EXIT,4d2f3947cda6d83ffe46e375d247485ed93f8716ccee3e585ff055ea8ce50707,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY,RMAP15_SITE_DEEPSTARYEAST,581:333|581:334|581:335,581,334,Left,IN,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_DEEPSTARYEAST_PORT_ENTRY,13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT,RMAP15_SITE_DEEPSTARYEAST,600:333|600:334|600:335,600,334,Right,OUT,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_DEEPSTARYEAST_PORT_EXIT,13933f09ce4b0d3a0dc80937a24466faed6d3870661471ec7c307af7e78a40c5,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_EXIT_PORT_ENTRY,RMAP15_SITE_EXIT,350:295|350:296|350:297,350,296,Left,IN,ONE_TILE_ENVELOPE,BOSS_COMPLETE,RMAP15_SITE_EXIT_PORT_ENTRY,27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_FORGE_PORT_ENTRY,RMAP15_SITE_FORGE,503:133|503:134|503:135,503,134,Left,IN,ONE_TILE_ENVELOPE,ALL_RESOURCES,RMAP15_SITE_FORGE_PORT_ENTRY,25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_FORGE_PORT_EXIT,RMAP15_SITE_FORGE,522:133|522:134|522:135,522,134,Right,OUT,ONE_TILE_ENVELOPE,ALL_RESOURCES,RMAP15_SITE_FORGE_PORT_EXIT,25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_MOONCOREORE_PORT_ENTRY,RMAP15_SITE_MOONCOREORE,245:30|245:31|245:32,245,31,Left,IN,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_MOONCOREORE_PORT_ENTRY,074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_MOONCOREORE_PORT_EXIT,RMAP15_SITE_MOONCOREORE,264:30|264:31|264:32,264,31,Right,OUT,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_MOONCOREORE_PORT_EXIT,074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_SEALBOSS_PORT_ENTRY,RMAP15_SITE_SEALBOSS,533:311|533:312|533:313,533,312,Left,IN,ONE_TILE_ENVELOPE,ALL_RESOURCES_AND_FORGE,RMAP15_SITE_SEALBOSS_PORT_ENTRY,3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
