pattern_id,origin_x,origin_y,loop_id,recipe,host,mirror,write_mask,actual_cell_digest,plan_digest
"INFILL_881709de701aa8d4556d9e57d1dd4ed7da49f0531cdb0852adbee75c299dbec7","124","144","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","57344","04cab36dba848446d6571b219b437bed5b9af14e82bcedaf4a9e32c610009de4","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_cf9f6ef10dc9309dbe6cd9a78b89da52064671cc60e99a185279a93285f856a9","128","144","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","30464","0cfcffce926941aa8c673e448249209097914ebc1e16d45c204e572d37d60f26","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","116","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","52352","6dbccbf8dc79ebad90dafeef32e4977645e3e0233f07e0878b9cee647205854e","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_780895d140120c6d544a5a4d1a14c315726ba9b4e3d31b46ed1f8d4249105c97","120","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","32764","02cc035423bf73f43cee69cf405f2b2a714674d9525f4f909ce578eb7af86152","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_9f69e14ce569e0271a771501fffaae495bd5fd14dfe9e0a1db62992aedcf88ea","124","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","1023","921b6826bffb3811c15b01147ee6f8bcdf0dc7a474c3512e398a8fae6b6d12c4","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_2c585caebd07cf85df6418eab01f3323e96d3dda90372e346a07349c0462c833","128","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","23","45ae0b34f974034d1ef52677bbe2f45a6804ae5c80745248415ade9430560d18","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_310bedad7a44f66ad15986d2540d55c08138f5985a2d900243d5b00ff9c87722","116","152","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","12","a4f2f1e438cf88e6075c9c25b8c15d512b57fac75b53607ef4d7de1160c338ff","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_a067a75b4a15890d60cf4f68438025be0639bc703426eacedaea8d0f3d780c5b","552","20","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SCALLOP","SV5_OPTIONAL_04","False","60928","ed7e77081e12158c1631753f80af6ae9968ebfb8a0fc659a41c3be3a239c5565","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_e186cc2427b7c6001b9e8d7f09f2dbafb6526a9d450e0b7adb906ecfaa0785a5","556","20","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SCALLOP","SV5_OPTIONAL_04","False","65280","de0a0429abf6494d52b304e225b9ccaed74535b1b6dccac12a77bbf0df0cb0b6","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_7a894dadcca7ad58ffa33571f5eaa386ef45137da55a54ae941c05485c9e10f3","552","24","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SCALLOP","SV5_OPTIONAL_04","False","14","33f2bef1b215b17adf4b4539dfefa731fa6fed6cf9f7df9ccef8612f8a450ffc","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_91d2595d3afc0345156f47f1aef2190dd8df38bc35661f0c67ffd47e13a05b8f","556","24","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SCALLOP","SV5_OPTIONAL_04","False","15","d9256bc66ae55ce563eb3da633319c1ae1f91efb528decf072e94613a9fc24f6","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_f26912a5d505a18ef137125cc7e9c3c002fd26d2bd590589c1fcff7fe899df9a","552","68","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SHELF","SV5_OPTIONAL_04","False","49152","5b3274e5b5c611f77d992d942a5dc8ce995bf90081b44163b8258a53481e2bc1","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_cf9f6ef10dc9309dbe6cd9a78b89da52064671cc60e99a185279a93285f856a9","556","68","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SHELF","SV5_OPTIONAL_04","False","30464","577ea7c91e724e036cb981ec10ef9c8205374509c00ada84ec39f432773bcc17","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_0c0b1ba6722dd6d3ef113e9ae80c232e1dc787ae0cb249b9f81e174e6368ad05","548","72","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SHELF","SV5_OPTIONAL_04","False","61120","a9988bc88588982746ee7782a555016672e70b720527c51cf01673aa93ece657","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_61ae1e9b0c350576c855e873783d7c03356cfcf00d7734c02bd86766cd3651e6","552","72","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SHELF","SV5_OPTIONAL_04","False","6143","f7a847380c313baefcae39bfe56f5db2e0105e845305825e661aa5f72f9fea3b","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_2c585caebd07cf85df6418eab01f3323e96d3dda90372e346a07349c0462c833","556","72","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SHELF","SV5_OPTIONAL_04","False","23","5e2697920b97c718ad8e1ae8270829457dd3e0a3b65f0d9530a534eff66970dd","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_3448a24c1fad72cc815561fd8de3c9b68d38c2590e4c6f44addb43b186bfe1ba","548","76","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SHELF","SV5_OPTIONAL_04","False","6","d827368e14778f62ac7f36ce2319f0412ce28a034b21b0f12369f6ee02192f57","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"INFILL_df412e390b45860f56c7d70378768101f6318a86aa45d2f77982bad689b87410","124","148","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SHELF","SV5_OPTIONAL_09","False","52224","6d44aef45fa531efb9cec44a781b449988c2a8e1621b0e3ff1537848699ec930","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
