candidate_id,stable_rank,stable_hash,status,reason,eligible,from_room,to_room,host,sector_id,baseline_cost,new_cost,ordered_path,plan_digest
"SV5_LOOP_CAND_008d739fd13c25dc4f45","39815101963576796","008d739fd13c25dc4f4552a1eec3d06abe33a8adcfa7248436816b2639a0602d","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_002b1fdb38d3b5d62912_LINK","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e_LINK","SV5_OPTIONAL_04","S00_11","7","7","558,23|557,23|556,23|555,23|554,23|553,23|552,23","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_00b258af492738402346","50200055724324928","00b258af492738402346bc8494de00e38860f4c5853ac42707d37556b9011f45","ACCEPTED","PASS","True","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","S04_02","17","17","118,151|119,151|119,150|120,150|121,150|122,150|122,149|123,149|124,149|125,149|125,148|126,148|127,148|128,148|128,147|129,147|130,147","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_0124835be90349812042","82335123974080897","0124835be90349812042b5ee3a2f70ad381c1e6b7bc6f5f339706320bbdca938","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","S04_02","17","17","119,151|120,151|120,150|121,150|122,150|123,150|123,149|124,149|125,149|126,149|126,148|127,148|128,148|129,148|129,147|130,147|131,147","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_013d46150350f6403141","89304623681173056","013d46150350f6403141c35b8f547d07d4eb7255814ec3517088eece660628fa","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","S04_02","11","11","124,151|125,151|125,150|126,150|126,149|127,149|128,149|128,148|129,148|129,147|130,147","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_03fe7a598edff0914206","287801951266009233","03fe7a598edff0914206260be42e248ccc1fd5763222ab89564feb41e2aec864","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_04458846b0c9a081817d_LINK","SV5_INFILL_ROOM_41bfb11db98643b33449_LINK","SV5_OPTIONAL_07","S02_03","13","13","185,87|184,87|183,87|182,87|181,87|180,87|179,87|178,87|177,87|176,87|175,87|174,87|173,87","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_04909d2d0771f8c70c71","328935589522045127","04909d2d0771f8c70c71ead2b2c2af0f11bf33dcd423dcb0e699e105d9966f17","ACCEPTED","PASS","True","SV5_INFILL_ROOM_002b1fdb38d3b5d62912_LINK","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e_LINK","SV5_OPTIONAL_04","S00_11","7","7","559,23|558,23|557,23|556,23|555,23|554,23|553,23","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_049296994097ede4d6c9","329491307709328868","049296994097ede4d6c9458a3cb68f6b7d744e9b9ef721441dc947a652581dac","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_02284733d117494c6d27_LINK","SV5_INFILL_ROOM_030a02d7aa5a692e4bf7_LINK","SV5_OPTIONAL_12","S11_00","18","18","42,351|41,351|41,352|40,352|40,353|39,353|38,353|38,354|37,354|37,355|36,355|35,355|35,356|34,356|34,357|33,357|33,358|32,358","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_062c7d9480067977d4e9","444868539959376247","062c7d9480067977d4e96d2689994ee648a897a1550c15bf97b359ba843003c5","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0033f24aa202678fd527_LINK","SV5_INFILL_ROOM_0555f7159cc5807eccd0_LINK","SV5_OPTIONAL_10","S06_03","16","16","174,210|173,210|173,209|172,209|172,208|171,208|171,207|170,207|170,206|169,206|169,205|168,205|168,204|167,204|167,203|166,203","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_0774810409c3e334dbf1","537196109907616564","0774810409c3e334dbf143bad2cc3d10066075b652ccfb377b2b7cf662e10e3a","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_005a04bda9ede05b1190_LINK","SV5_INFILL_ROOM_1c4c6b34887f12eefac3_LINK","SV5_OPTIONAL_09","S04_02","21","21","125,131|126,131|127,131|128,131|128,132|129,132|130,132|131,132|132,132|132,133|133,133|134,133|135,133|136,133|136,134|137,134|138,134|139,134|140,134|140,135|141,135","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_CAND_088b2a228b27cd7341bd","615632101918100851","088b2a228b27cd7341bd7b56590d9bd06b7dae50dd0dcfbb34a46802ddd84b8a","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_005a04bda9ede05b1190_LINK","SV5_INFILL_ROOM_1c4c6b34887f12eefac3_LINK","SV5_OPTIONAL_09","S04_02","13","13","126,131|127,131|127,132|128,132|129,132|129,133|130,133|131,133|131,134|132,134|133,134|133,135|134,135","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
