pattern_id,origin_x,origin_y,room_id,formation_id,recipe,parent,host,mirror,plan_digest
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","496","52","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","500","52","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","504","52","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","508","52","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_28e720f400600ea91bbbe744faf5164b035ae8148582a2aa955fe68f57f2e3cf","496","56","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","500","56","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","504","56","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_61c7eb05d56dd7588194269e26c5ed9bf8e4b11bccc99278756b558050bf75d0","508","56","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_8afeba3712a0a029edaff8d07a02d8cebd5051ddfe392034f6c43b45942d0741","496","60","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_d912cd5dd053890d9db3b0dbda3f4c8d0cd103f4cd3ab0c11da57faae96dbc8b","500","60","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_d912cd5dd053890d9db3b0dbda3f4c8d0cd103f4cd3ab0c11da57faae96dbc8b","504","60","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","508","60","SV5_INFILL_ROOM_000106f4f4b0dc58e089","SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","False","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","60","16","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","64","16","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_8c29a7fde431bb0cf9794cf40bdb6d4e1776fdccab3db380f02e43f13a7dd4f3","68","16","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","72","16","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_63c395d7966368f6814d793ca7b6430c30f5621f51015e601f93a30b9c736b58","60","20","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_5fe406ba200513f7918028729f2ce8485682a22450e1585e7662cc746dfdff14","64","20","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_d38c9a2e5a7889147a14516a1f456a94ad3235f855b15a1611a85765be0f90c1","68","20","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_49dd4a135c40ba75bc6e103ec696ed1a8f263bb7837364166b12e6f07b33e7c1","72","20","SV5_INFILL_ROOM_0003e28fa62282ce606c","SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
