pattern_id,write_mask,cells_row_major_16,semantic_hash,plan_digest
"INFILL_05ce7efb330bbda5a8d235633aea7116362fecb8b0630847e43bdd20e7f49441","3311","Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Solid|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Unknown|Unknown","05ce7efb330bbda5a8d235633aea7116362fecb8b0630847e43bdd20e7f49441","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_0cbb9a7a66b0c318b71fcbcab084f521f8fd785d8ba062e75646ac2ce769edf6","17","Air|Unknown|Unknown|Unknown|Air|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","0cbb9a7a66b0c318b71fcbcab084f521f8fd785d8ba062e75646ac2ce769edf6","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_0e76a2a8a9d45bfdf42e3e2c99097cc1d0da86aac36ac079c1b88afee43a2e82","32767","Solid|Air|Air|Solid|Air|Air|Solid|Solid|Air|Solid|Solid|Solid|Solid|Solid|Solid|Unknown","0e76a2a8a9d45bfdf42e3e2c99097cc1d0da86aac36ac079c1b88afee43a2e82","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_0f10fc61839273c6d1ad25ee4335685430c330401d54d72b5a879f6e345d3873","311","Solid|Solid|Solid|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","0f10fc61839273c6d1ad25ee4335685430c330401d54d72b5a879f6e345d3873","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_106352048cae243e28dd98d02ef3735ce56faea8e4333f7e939e3c7dde4bd30a","4913","Air|Unknown|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown","106352048cae243e28dd98d02ef3735ce56faea8e4333f7e939e3c7dde4bd30a","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_129a508ede2181672cc7683ac54418b51488aeca18dacbd247ab97ca2b2c274e","4991","Air|Solid|Solid|Solid|Solid|Solid|Solid|Unknown|Solid|Solid|Unknown|Unknown|Solid|Unknown|Unknown|Unknown","129a508ede2181672cc7683ac54418b51488aeca18dacbd247ab97ca2b2c274e","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_138047f51416338703566342ac562db8d66f819361776fd616aeea960fe48955","12561","Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Solid|Unknown|Unknown|Unknown|Air|Air|Unknown|Unknown","138047f51416338703566342ac562db8d66f819361776fd616aeea960fe48955","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_157700068d86385bd74ff8ce747d914f27f45796e99c4a1131c96e8cd6851bf5","65534","Unknown|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Solid|Air|Air|Air","157700068d86385bd74ff8ce747d914f27f45796e99c4a1131c96e8cd6851bf5","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_174ac4fa57458cfa29d21aaa058b55e76927500dc5b12a3595c64444c4e33328","32776","Unknown|Unknown|Unknown|Air|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Solid","174ac4fa57458cfa29d21aaa058b55e76927500dc5b12a3595c64444c4e33328","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"INFILL_19d1e291c783552aaab0835c1e0e9e86219ab64e386e0629203ca065e731ea13","239","Solid|Solid|Solid|Air|Unknown|Solid|Solid|Solid|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown","19d1e291c783552aaab0835c1e0e9e86219ab64e386e0629203ca065e731ea13","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
