room_id,recipe,bounds,parent,host,depth,entry,deep,air,solid,legacy,reward,static_success,plan_digest
"SV5_INFILL_ROOM_000106f4f4b0dc58e089","DEAD_END","496,52,16,12","SV5_INFILL_ROOM_0498d8fea33d6f472e60","SV5_OPTIONAL_TO_VILLAGE","3","496,55","508,55","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0003e28fa62282ce606c","LANDING","60,16,16,16","SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","SV5_OPTIONAL_12","2","75,19","63,21","98","158","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_000634f7130733af9e07","SMALL_CAVE","324,360,20,12","SV5_INFILL_ROOM_012cbb67dcf0ba845436","SV5_OPTIONAL_07","2","343,363","327,363","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_000bf1077d38bb6e1062","SMALL_CAVE","492,304,20,12","SV5_OPTIONAL_06","SV5_OPTIONAL_06","1","511,307","495,307","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_000d6362df52ad0a0290","SMALL_CAVE","352,240,20,12","SV5_INFILL_ROOM_494a9abe349ea3dbd98f","SV5_OPTIONAL_04","3","371,243","355,243","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_000f660c294c6ea071cf","DEAD_END","384,252,16,12","SV5_INFILL_ROOM_0011da57e2d359797aba","SV5_OPTIONAL_04","2","399,255","387,255","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0011da57e2d359797aba","SMALL_CAVE","412,260,20,12","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","431,263","415,263","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_00176ac6891ee00e4fb3","LANDING","448,252,16,16","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","448,255","460,257","98","158","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_001fd9ca8b4d40ac9ecc","DEAD_END","80,12,16,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","95,15","83,15","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0024686cefa403f18c14","SMALL_CAVE","216,356,20,12","SV5_INFILL_ROOM_002ddafb2fdf0e2b0f50","SV5_OPTIONAL_07","6","235,359","219,359","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0024ec8c22b451b5adc3","DEAD_END","500,336,16,12","SV5_OPTIONAL_06","SV5_OPTIONAL_06","1","515,339","503,339","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_002ddafb2fdf0e2b0f50","LANDING","244,356,16,16","SV5_INFILL_ROOM_00d887c8e4157e099e0b","SV5_OPTIONAL_07","5","259,359","247,361","98","158","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_00334d27f65120460e23","DEAD_END","12,196,16,12","SV5_OPTIONAL_11","SV5_OPTIONAL_11","1","27,199","15,199","63","129","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0033917af8228270a97a","SMALL_CAVE","572,48,20,12","SV5_INFILL_ROOM_02856ed59d5d9cc224d2","SV5_OPTIONAL_TO_VILLAGE","6","572,51","588,51","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_00346ccd442e7261f894","LANDING","508,360,16,16","SV5_INFILL_ROOM_0b8e926caf59c7b534f1","SV5_OPTIONAL_07","5","508,363","520,365","98","158","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_003687ea5241ae3b6162","SMALL_CAVE","60,108,20,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","79,111","63,111","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_003c7cd3e44a890ebf53","DEAD_END","488,132,16,12","SV5_INFILL_ROOM_015c98281530c4e233cd","SV5_OPTIONAL_TO_VILLAGE","3","488,135","500,135","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_003d0fe3baefe63d8536","DEAD_END","480,276,16,12","SV5_OPTIONAL_05","SV5_OPTIONAL_05","1","480,279","492,279","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0046a0deba57bde4e2b8","DEAD_END","536,220,16,12","SV5_INFILL_ROOM_04f068a99e8db94e3631","SV5_OPTIONAL_04","4","536,223","548,223","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0049c0c22cb475645017","LANDING","476,396,16,16","SV5_INFILL_ROOM_0acb2679696a2446a6d7","SV5_OPTIONAL_08","2","476,399","488,401","98","158","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_004e90c63d4ebabff0dd","SMALL_CAVE","336,4,20,12","SV5_INFILL_ROOM_07b377e6e57b14c86440","SV5_OPTIONAL_13","3","355,7","339,7","91","149","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0050f1be6df2fb7aa11f","SMALL_CAVE","72,240,20,12","SV5_OPTIONAL_RETURN_TO_START","SV5_OPTIONAL_RETURN_TO_START","1","91,243","75,243","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0059a48fab79faf79c27","SMALL_CAVE","512,256,20,12","SV5_INFILL_ROOM_031c2a9a96404fecec33","SV5_OPTIONAL_04","3","512,259","528,259","97","143","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_005b9e55a92ceb7c95e3","EMPTY_ROOM","548,100,16,12","SV5_INFILL_ROOM_0c6bf507ece10915c3e6","SV5_OPTIONAL_TO_VILLAGE","5","548,103","560,103","72","120","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_0063fcd345b7d81e9446","EMPTY_ROOM","32,168,16,12","SV5_INFILL_ROOM_0092b0508296d8c7fc76","SV5_OPTIONAL_12","2","47,171","35,171","72","120","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_00689141207248119f2a","DEAD_END","192,360,16,12","SV5_INFILL_ROOM_0024686cefa403f18c14","SV5_OPTIONAL_07","7","207,363","195,363","63","129","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_006c50fdc2aa46265d07","DEAD_END","492,380,16,12","SV5_INFILL_ROOM_012481f70d2e7bdd5057","SV5_OPTIONAL_08","3","492,383","504,383","69","123","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_007bda4a6ad389d4c379","LANDING","16,308,16,16","SV5_OPTIONAL_10","SV5_OPTIONAL_10","1","31,311","19,313","92","164","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_007f87752d70c58c6bc3","LANDING","600,248,16,16","SV5_INFILL_ROOM_03a6d8ed5c31889dd657","SV5_OPTIONAL_04","6","600,251","612,253","92","164","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"SV5_INFILL_ROOM_00861f5ab5bdc016b664","EMPTY_ROOM","356,376,16,12","SV5_OPTIONAL_07","SV5_OPTIONAL_07","1","371,379","359,379","72","120","False","NONE","True","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
