window_x,window_y,before_known,after_known,reserved,new_owned,pending_cells,new_rooms,leaf_rooms,static_failures,plan_digest
"0","0","0","480","0","480","1056","2","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"1","0","0","656","0","656","880","2","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"2","0","142","506","302","359","1030","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"3","0","0","334","144","328","1202","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"4","0","0","287","144","284","1249","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"5","0","0","287","144","284","1249","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"6","0","0","335","144","332","1201","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"7","0","0","672","242","528","864","2","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"8","0","0","398","144","392","1138","1","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"9","0","0","471","144","468","1065","2","2","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"10","0","199","759","398","557","777","2","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"11","0","0","128","388","0","1408","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"12","0","0","378","77","344","1158","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"0","1","0","378","0","378","1158","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"1","1","0","832","0","832","704","3","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"2","1","152","275","591","117","1261","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"3","1","144","228","432","84","1308","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"4","1","143","143","453","0","1393","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"5","1","265","265","644","0","1271","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"6","1","133","133","343","0","1403","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"7","1","96","96","288","0","1440","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"8","1","95","363","391","264","1173","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"9","1","96","624","336","528","912","2","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"10","1","165","679","367","512","857","2","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"11","1","0","1024","0","1024","512","2","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"12","1","0","864","0","864","672","4","2","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"0","2","0","966","0","966","570","4","2","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"1","2","0","960","0","960","576","4","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"2","2","0","695","290","625","841","2","2","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"3","2","0","332","247","204","1204","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"4","2","0","492","176","456","1044","2","2","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"5","2","96","192","193","96","1344","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"6","2","24","24","25","0","1512","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"7","2","0","0","0","0","1536","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"8","2","0","536","128","528","1000","2","2","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"9","2","0","733","0","733","803","3","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"10","2","0","480","0","480","1056","1","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"11","2","0","544","0","544","992","2","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"12","2","0","352","0","352","1184","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"0","3","0","496","0","496","1040","2","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"1","3","0","540","0","540","996","1","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"2","3","40","629","394","586","907","2","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"3","3","48","780","288","729","756","2","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"4","3","47","683","546","440","853","1","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"5","3","47","303","270","256","1233","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"6","3","48","48","144","0","1488","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"7","3","48","48","144","0","1488","0","0","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
"8","3","37","385","238","344","1151","1","1","0","f326683633fe684671994db9b68d41fffe29838c79b93034d8c957916c766933"
