pattern_id,origin_x,origin_y,room_id,formation_id,recipe,parent,host,mirror,plan_digest
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","96","48","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_4491c516337769a5cc13fafb8c2303a43f0140b8c17ab788f8446cb84f2fff33","100","48","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_8c29a7fde431bb0cf9794cf40bdb6d4e1776fdccab3db380f02e43f13a7dd4f3","104","48","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_4084945bc73a54c8707ac2d5c1401ff0866a22663f5f09dc1f447397368d3b02","108","48","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_63c395d7966368f6814d793ca7b6430c30f5621f51015e601f93a30b9c736b58","96","52","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_5fe406ba200513f7918028729f2ce8485682a22450e1585e7662cc746dfdff14","100","52","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_d38c9a2e5a7889147a14516a1f456a94ad3235f855b15a1611a85765be0f90c1","104","52","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_49dd4a135c40ba75bc6e103ec696ed1a8f263bb7837364166b12e6f07b33e7c1","108","52","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_36257805d99b30af29a6eeeac3714747288dcbe834da7f450f129540341df871","96","56","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
"INFILL_6db2bee9ab12f198785acfcae420cf45168f68eebe1a13147f3232a8aa1955ba","100","56","SV5_INFILL_ROOM_0004120110f44eef5c72","SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","True","04f47c94883ccec465d891d500841a5bc4f811d5299cae2562d4e19ca2c10d5f"
