room_id,recipe,bounds,parent,host,depth,entry,deep,air,solid,legacy,reward,static_success,plan_digest
"SV5_INFILL_ROOM_0004120110f44eef5c72","LANDING","96,48,16,16","SV5_INFILL_ROOM_07af10cb4acde894de2d","SV5_OPTIONAL_06","4","111,51","99,53","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0009256b2ee54633b586","DEAD_END","68,336,16,12","SV5_OPTIONAL_14","SV5_OPTIONAL_14","1","68,339","80,339","69","123","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_000c3495817d6dc43df6","SMALL_CAVE","92,388,20,12","SV5_OPTIONAL_14","SV5_OPTIONAL_14","1","92,391","108,391","91","149","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0024793eb465e7cf43f8","DEAD_END","164,12,16,12","SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb","SV5_OPTIONAL_06","2","179,15","167,15","69","123","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_002847beba22c27fafc7","LANDING","404,352,16,16","SV5_OPTIONAL_00","SV5_OPTIONAL_00","1","404,355","416,357","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SMALL_CAVE","560,20,20,12","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","560,23","576,23","97","143","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_002d3e65ad37c08fccde","EMPTY_ROOM","24,192,16,12","SV5_INFILL_ROOM_09edbb024af8e2bb536d","SV5_OPTIONAL_09","4","39,195","27,195","72","120","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0033f24aa202678fd527","EMPTY_ROOM","176,208,16,12","SV5_OPTIONAL_10","SV5_OPTIONAL_10","1","176,211","188,211","72","120","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0038cd07afe0acfefffa","EMPTY_ROOM","548,388,16,12","SV5_INFILL_ROOM_018765724e6a988ed29c","SV5_OPTIONAL_01","5","548,391","560,391","72","120","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_003c64be23db80287d41","DEAD_END","600,20,16,12","SV5_INFILL_ROOM_002b1fdb38d3b5d62912","SV5_OPTIONAL_04","2","600,23","612,23","63","129","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0051000692d8e452ab1f","SMALL_CAVE","380,244,20,12","SV5_INFILL_ROOM_04e7f66dbff892010bd0","SV5_OPTIONAL_TO_VILLAGE","2","380,247","396,247","91","149","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00567d25c8515283ea43","DEAD_END","24,256,16,12","SV5_OPTIONAL_15","SV5_OPTIONAL_15","1","39,259","27,259","69","123","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0058509cbbf5ecd5a28e","EMPTY_ROOM","604,388,16,12","SV5_INFILL_ROOM_062bdedbace97bb71fc4","SV5_OPTIONAL_01","7","604,391","616,391","66","126","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_005a04bda9ede05b1190","DEAD_END","92,128,16,12","SV5_OPTIONAL_09","SV5_OPTIONAL_09","1","107,131","95,131","69","123","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00636997b68d562b57db","SMALL_CAVE","148,100,20,12","SV5_OPTIONAL_07","SV5_OPTIONAL_07","1","167,103","151,103","91","149","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_006e09773eb20b7351b0","DEAD_END","192,108,16,12","SV5_OPTIONAL_06","SV5_OPTIONAL_06","1","207,111","195,111","63","129","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_007c17890d68e31350a9","EMPTY_ROOM","112,28,16,12","SV5_INFILL_ROOM_00e46d5d0ba666a9579a","SV5_OPTIONAL_06","4","127,31","115,31","72","120","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0081ac017846ab0e0d78","LANDING","472,68,16,16","SV5_INFILL_ROOM_0d6757c798ece8ef8ef4","SV5_OPTIONAL_04","3","487,71","475,73","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_008612738e348fea12fd","LANDING","36,368,16,16","SV5_OPTIONAL_14","SV5_OPTIONAL_14","1","51,371","39,373","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_008784ed882cfab2d029","LANDING","340,364,16,16","SV5_OPTIONAL_01","SV5_OPTIONAL_01","1","355,367","343,369","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00882305a20f8d480cad","LANDING","128,348,16,16","SV5_INFILL_ROOM_06398b49b858f203e93f","SV5_OPTIONAL_14","3","128,351","140,353","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_008dd29754a6056014e3","DEAD_END","288,296,16,12","SV5_INFILL_ROOM_057bf90d15626a0398cb","SV5_OPTIONAL_01","3","303,299","291,299","63","129","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0093829c5033366c54f2","SMALL_CAVE","24,332,20,12","SV5_OPTIONAL_14","SV5_OPTIONAL_14","1","43,335","27,335","97","143","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0096ec3a665cb4efc92b","EMPTY_ROOM","172,188,16,12","SV5_OPTIONAL_10","SV5_OPTIONAL_10","1","172,191","184,191","72","120","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_0097a6b558d6e61e58f5","DEAD_END","356,320,16,12","SV5_OPTIONAL_RETURN_TO_START","SV5_OPTIONAL_RETURN_TO_START","1","371,323","359,323","63","129","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_009ef3f64388d61dce55","LANDING","468,384,16,16","SV5_INFILL_ROOM_0233efc146f9a48950d8","SV5_OPTIONAL_01","2","468,387","480,389","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00b4a4fe56b192880b8c","LANDING","568,48,16,16","SV5_OPTIONAL_04","SV5_OPTIONAL_04","1","568,51","580,53","98","158","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00c18a953b0a68c4097f","DEAD_END","596,272,16,12","SV5_OPTIONAL_02","SV5_OPTIONAL_02","1","596,275","608,275","63","129","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00cf93b8e5daaa4b04e1","SMALL_CAVE","104,100,20,12","SV5_OPTIONAL_09","SV5_OPTIONAL_09","1","123,103","107,103","97","143","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"SV5_INFILL_ROOM_00d2455ea8bdf900b553","EMPTY_ROOM","252,360,16,12","SV5_OPTIONAL_12","SV5_OPTIONAL_12","1","252,363","264,363","66","126","False","NONE","True","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
