loop_id,type,sector_id,from_room,to_room,host,length,baseline_cost,new_cost,reduction,reduction_percent,significant,alternate_path_exists,cycle_delta,bypass_count,resource_orders,legal_states,contour_variant,ordered_centerline,plan_digest
"SV5_LOOP_00b258af492738402346","LOOP","S04_02","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","17","17","17","0","0","False","True","1","0","6","9","SHELF","118,151|119,151|119,150|120,150|121,150|122,150|122,149|123,149|124,149|125,149|125,148|126,148|127,148|128,148|128,147|129,147|130,147","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_04909d2d0771f8c70c71","LOOP","S00_11","SV5_INFILL_ROOM_002b1fdb38d3b5d62912_LINK","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e_LINK","SV5_OPTIONAL_04","7","7","7","0","0","False","True","1","0","6","9","SCALLOP","559,23|558,23|557,23|556,23|555,23|554,23|553,23","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_09639e7ac88f0bb14df6","LOOP","S02_11","SV5_INFILL_ROOM_046863d4c69cd86e081e_LINK","SV5_INFILL_ROOM_050904725fdcd82ff28e_LINK","SV5_OPTIONAL_04","14","14","14","0","0","False","True","1","0","6","9","SHELF","549,75|550,75|550,74|551,74|552,74|552,73|553,73|554,73|554,72|555,72|556,72|556,71|557,71|558,71","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_0e2e3d15796340638ca3","LOOP","S04_02","SV5_INFILL_ROOM_0172fae7eed3ae487f8f_LINK","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_OPTIONAL_09","24","24","24","0","0","False","True","1","0","6","9","SHELF","138,162|137,162|137,161|136,161|136,160|135,160|135,159|134,159|134,158|133,158|133,157|132,157|132,156|131,156|131,155|130,155|130,154|129,154|129,153|128,153|128,152|127,152|127,151|126,151","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_0e3b06df3260f35d7e43","LOOP","S03_11","SV5_INFILL_ROOM_16de283f3026f06e031f_LINK","SV5_INFILL_ROOM_1ea3a9898e39ffe90dff_LINK","SV5_OPTIONAL_04","21","21","21","0","0","False","True","1","0","6","9","SCALLOP","570,110|569,110|569,109|568,109|567,109|566,109|565,109|564,109|564,108|563,108|562,108|561,108|560,108|559,108|558,108|558,107|557,107|556,107|555,107|554,107|553,107","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_10679894a03f8e8ab078","LOOP","S03_11","SV5_INFILL_ROOM_07fb3ac254e765673737_LINK","SV5_INFILL_ROOM_0f5736599d7acc3ea0a8_LINK","SV5_OPTIONAL_04","19","19","19","0","0","False","True","1","0","6","9","SCALLOP","567,127|566,127|566,126|565,126|564,126|563,126|563,125|562,125|561,125|560,125|559,125|559,124|558,124|557,124|556,124|556,123|555,123|554,123|553,123","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_1f1ca272324cf9b734a9","LOOP","S01_04","SV5_INFILL_ROOM_0211dda6690845617294_LINK","SV5_INFILL_ROOM_03bff8d63e21cbc62be9_LINK","SV5_OPTIONAL_06","8","8","8","0","0","False","True","1","0","6","9","SHELF","217,52|218,52|218,51|219,51|220,51|221,51|222,51|223,51","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_227af2366de6e32a442d","LOOP","S11_00","SV5_INFILL_ROOM_02284733d117494c6d27_LINK","SV5_INFILL_ROOM_030a02d7aa5a692e4bf7_LINK","SV5_OPTIONAL_12","20","20","20","0","0","False","True","1","0","6","9","SCALLOP","42,351|41,351|41,352|40,352|39,352|39,353|38,353|37,353|37,354|36,354|36,355|35,355|34,355|34,356|33,356|32,356|32,357|31,357|31,358|30,358","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_3b220c34633ec13aee21","LOOP","S04_02","SV5_INFILL_ROOM_005a04bda9ede05b1190_LINK","SV5_INFILL_ROOM_1c4c6b34887f12eefac3_LINK","SV5_OPTIONAL_09","20","20","20","0","0","False","True","1","0","6","9","SHELF","126,131|127,131|128,131|129,131|129,132|130,132|131,132|132,132|133,132|133,133|134,133|135,133|136,133|137,133|137,134|138,134|139,134|140,134|140,135|141,135","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
"SV5_LOOP_4d5d6c75a5c069443883","LOOP","S09_00","SV5_INFILL_ROOM_0b825bde62b1eee79257_LINK","SV5_INFILL_ROOM_0d8cf875280fe40a6142_LINK","SV5_OPTIONAL_12","9","9","9","0","0","False","True","1","0","6","9","SHELF","38,307|39,307|40,307|41,307|42,307|43,307|44,307|45,307|46,307","208044b6478412daf2bad89002ce662f66af6b2f7a9c907a0071786d735e4e4d"
