world_x,world_y,base,owner,recipe,parent,host,shared,pattern_x,pattern_y,pattern_index,plan_digest
"584","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","12","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"585","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","13","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"586","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","14","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"587","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","584","0","15","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"588","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","12","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"589","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","13","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"590","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","14","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"591","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","588","0","15","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"592","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","12","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"593","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","13","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"594","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","14","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"595","3","Solid","SV5_INFILL_ROOM_0d63595f6cd949c1a932_LINK","CONNECTOR","SV5_OPTIONAL_05","SV5_OPTIONAL_05","False","592","0","15","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"100","4","Solid","SV5_INFILL_ROOM_0348461d960659e46de4","SMALL_CAVE","SV5_INFILL_ROOM_02131663b956c4b63225","SV5_OPTIONAL_06","False","100","4","0","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
