candidate_id,stable_rank,stable_hash,status,reason,eligible,from_room,to_room,host,sector_id,baseline_cost,new_cost,ordered_path,plan_digest
"SV5_LOOP_CAND_008d739fd13c25dc4f45","39815101963576796","008d739fd13c25dc4f4552a1eec3d06abe33a8adcfa7248436816b2639a0602d","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_002b1fdb38d3b5d62912_LINK","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e_LINK","SV5_OPTIONAL_04","S00_11","7","7","558,23|557,23|556,23|555,23|554,23|553,23|552,23","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_00b258af492738402346","50200055724324928","00b258af492738402346bc8494de00e38860f4c5853ac42707d37556b9011f45","ACCEPTED","PASS","True","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","S04_02","17","17","118,151|119,151|119,150|120,150|121,150|122,150|122,149|123,149|124,149|125,149|125,148|126,148|127,148|128,148|128,147|129,147|130,147","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_00e2221202de97cd28d0","63650805489506253","00e2221202de97cd28d0ae9190b3ad9c8256ac86d12bb16e3d45ceb281e7c256","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","23","23","45,359|46,359|47,359|48,359|49,359|50,359|51,359|52,359|53,359|54,359|55,359|56,359|57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359|65,359|66,359|67,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0124835be90349812042","82335123974080897","0124835be90349812042b5ee3a2f70ad381c1e6b7bc6f5f339706320bbdca938","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","S04_02","17","17","119,151|120,151|120,150|121,150|122,150|123,150|123,149|124,149|125,149|126,149|126,148|127,148|128,148|129,148|129,147|130,147|131,147","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_013d46150350f6403141","89304623681173056","013d46150350f6403141c35b8f547d07d4eb7255814ec3517088eece660628fa","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0274815fcd6818f05a6a_LINK","SV5_INFILL_ROOM_136a2d749c8d7eddcf7e_LINK","SV5_OPTIONAL_09","S04_02","11","11","124,151|125,151|125,150|126,150|126,149|127,149|128,149|128,148|129,148|129,147|130,147","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_033cc1aaf3efb26c1624","233274220697596524","033cc1aaf3efb26c1624c0a9108c63d4cccbf3a269b4ae10e86233a0dd1196f4","ACCEPTED","PASS","True","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","14","14","52,359|53,359|54,359|55,359|56,359|57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359|65,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_03e2386464fce9e7a9c5","279848130692573671","03e2386464fce9e7a9c512b28b73c21b2568156fe773d6b9eb43b93c5c0944cb","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","17","17","48,359|49,359|50,359|51,359|52,359|53,359|54,359|55,359|56,359|57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_03fe7a598edff0914206","287801951266009233","03fe7a598edff0914206260be42e248ccc1fd5763222ab89564feb41e2aec864","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_04458846b0c9a081817d_LINK","SV5_INFILL_ROOM_41bfb11db98643b33449_LINK","SV5_OPTIONAL_07","S02_03","13","13","185,87|184,87|183,87|182,87|181,87|180,87|179,87|178,87|177,87|176,87|175,87|174,87|173,87","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_04909d2d0771f8c70c71","328935589522045127","04909d2d0771f8c70c71ead2b2c2af0f11bf33dcd423dcb0e699e105d9966f17","ACCEPTED","PASS","True","SV5_INFILL_ROOM_002b1fdb38d3b5d62912_LINK","SV5_INFILL_ROOM_04b3ee2d2f798b163c8e_LINK","SV5_OPTIONAL_04","S00_11","7","7","559,23|558,23|557,23|556,23|555,23|554,23|553,23","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_053f9f21393af9d401a1","378195858765314516","053f9f21393af9d401a13f87e57f8765fdc72daa160167efc71da770e7305876","REJECTED","DUPLICATE_ENDPOINT_PAIR","True","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","24","24","55,359|56,359|57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359|65,359|66,359|67,359|68,359|69,359|70,359|71,359|72,359|73,359|74,359|75,359|76,359|77,359|78,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0576a04c2ab72b6deb17","393678266436103021","0576a04c2ab72b6deb17a32725cf3a807cac0a7dadd0c8afe91e964f5e1342b8","REJECTED","DUPLICATE_ENDPOINT_PAIR","True","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","6","6","58,359|59,359|60,359|61,359|62,359|63,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_062c7d9480067977d4e9","444868539959376247","062c7d9480067977d4e96d2689994ee648a897a1550c15bf97b359ba843003c5","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0033f24aa202678fd527_LINK","SV5_INFILL_ROOM_0555f7159cc5807eccd0_LINK","SV5_OPTIONAL_10","S06_03","16","16","174,210|173,210|173,209|172,209|172,208|171,208|171,207|170,207|170,206|169,206|169,205|168,205|168,204|167,204|167,203|166,203","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0774810409c3e334dbf1","537196109907616564","0774810409c3e334dbf143bad2cc3d10066075b652ccfb377b2b7cf662e10e3a","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_005a04bda9ede05b1190_LINK","SV5_INFILL_ROOM_1c4c6b34887f12eefac3_LINK","SV5_OPTIONAL_09","S04_02","21","21","125,131|126,131|127,131|128,131|128,132|129,132|130,132|131,132|132,132|132,133|133,133|134,133|135,133|136,133|136,134|137,134|138,134|139,134|140,134|140,135|141,135","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_088b2a228b27cd7341bd","615632101918100851","088b2a228b27cd7341bd7b56590d9bd06b7dae50dd0dcfbb34a46802ddd84b8a","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_005a04bda9ede05b1190_LINK","SV5_INFILL_ROOM_1c4c6b34887f12eefac3_LINK","SV5_OPTIONAL_09","S04_02","13","13","126,131|127,131|127,132|128,132|129,132|129,133|130,133|131,133|131,134|132,134|133,134|133,135|134,135","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_09639e7ac88f0bb14df6","676558619223722929","09639e7ac88f0bb14df64651443f19ce268f4862cc6a0e868f799f27f0977f49","ACCEPTED","PASS","True","SV5_INFILL_ROOM_046863d4c69cd86e081e_LINK","SV5_INFILL_ROOM_050904725fdcd82ff28e_LINK","SV5_OPTIONAL_04","S02_11","14","14","549,75|550,75|550,74|551,74|552,74|552,73|553,73|554,73|554,72|555,72|556,72|556,71|557,71|558,71","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0a4cc7d94fd6a42abf55","742187774770586666","0a4cc7d94fd6a42abf55e079827c3c2f7d73e052a0a409a5c6caab4229be4279","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_07fb3ac254e765673737_LINK","SV5_INFILL_ROOM_0f5736599d7acc3ea0a8_LINK","SV5_OPTIONAL_04","S03_11","11","11","560,127|559,127|559,126|558,126|558,125|557,125|556,125|556,124|555,124|555,123|554,123","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0a8d6eea254d105d1a1b","760385864022691933","0a8d6eea254d105d1a1bfabfac0696791dfbd9c23836436ba5f17afd80e9b7f5","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","8","8","57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0bf70e51404f7024e00a","862173595798827044","0bf70e51404f7024e00a06b3bf915a4654d73da255d46095df1809220cfba493","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_00b4a4fe56b192880b8c_LINK","SV5_INFILL_ROOM_06221a856d3548df6440_LINK","SV5_OPTIONAL_04","S01_11","11","11","558,43|557,43|557,44|556,44|556,45|555,45|554,45|554,46|553,46|553,47|552,47","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0bfa71a9a80bbe03c9f8","863127252077624835","0bfa71a9a80bbe03c9f891d69d9fd6728ab1e6a00a74d95f0b4b2cb63fba3c14","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","12","12","55,359|56,359|57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359|65,359|66,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"SV5_LOOP_CAND_0c1036b59cb17d107ae5","869254881728363792","0c1036b59cb17d107ae51ee828657a98581b5ced3b045aeaa7c213072b7777c3","REJECTED","INELIGIBLE_HASH","False","SV5_INFILL_ROOM_0336ae99bc580abe01f7_LINK","SV5_INFILL_ROOM_0496c8692f6450167db1_LINK","SV5_OPTIONAL_14","S11_01","22","22","48,359|49,359|50,359|51,359|52,359|53,359|54,359|55,359|56,359|57,359|58,359|59,359|60,359|61,359|62,359|63,359|64,359|65,359|66,359|67,359|68,359|69,359","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
