pattern_id,origin_x,origin_y,loop_id,recipe,host,mirror,write_mask,actual_cell_digest,plan_digest
"INFILL_881709de701aa8d4556d9e57d1dd4ed7da49f0531cdb0852adbee75c299dbec7","124","144","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","57344","04cab36dba848446d6571b219b437bed5b9af14e82bcedaf4a9e32c610009de4","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_cf9f6ef10dc9309dbe6cd9a78b89da52064671cc60e99a185279a93285f856a9","128","144","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","30464","0cfcffce926941aa8c673e448249209097914ebc1e16d45c204e572d37d60f26","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_1af92f90d0e8927133b73d0eec6adebacdbb2a655b55c4066b4e8eea841497ac","116","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","52352","6dbccbf8dc79ebad90dafeef32e4977645e3e0233f07e0878b9cee647205854e","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_780895d140120c6d544a5a4d1a14c315726ba9b4e3d31b46ed1f8d4249105c97","120","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","32764","02cc035423bf73f43cee69cf405f2b2a714674d9525f4f909ce578eb7af86152","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_9f69e14ce569e0271a771501fffaae495bd5fd14dfe9e0a1db62992aedcf88ea","124","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","1023","921b6826bffb3811c15b01147ee6f8bcdf0dc7a474c3512e398a8fae6b6d12c4","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_2c585caebd07cf85df6418eab01f3323e96d3dda90372e346a07349c0462c833","128","148","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","23","45ae0b34f974034d1ef52677bbe2f45a6804ae5c80745248415ade9430560d18","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_310bedad7a44f66ad15986d2540d55c08138f5985a2d900243d5b00ff9c87722","116","152","SV5_LOOP_00b258af492738402346","LOOP_SHELF","SV5_OPTIONAL_09","False","12","a4f2f1e438cf88e6075c9c25b8c15d512b57fac75b53607ef4d7de1160c338ff","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_e186cc2427b7c6001b9e8d7f09f2dbafb6526a9d450e0b7adb906ecfaa0785a5","52","356","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","65280","60fcecb512fcbbab83e22c09578b659fb70fe6b6962852152c980a5af47ba87f","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_e186cc2427b7c6001b9e8d7f09f2dbafb6526a9d450e0b7adb906ecfaa0785a5","56","356","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","65280","b1c369dec6f7d3c337ab91e468b3379802fd70edf362c26cdf7fa0aa2bfbaaee","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_e186cc2427b7c6001b9e8d7f09f2dbafb6526a9d450e0b7adb906ecfaa0785a5","60","356","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","65280","87a3fbde6a01875d52ee065c1917c3f0529ed546a4d4b0c0685d919624690fb1","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_3b2b3381187cb24f38b5992949d4e2a7553b93cd1a672227341544b17fdc3ad2","64","356","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","13056","54585cbbd6ccc27e6a9b1d4f0ed20453a86b4488a77c22bd9cc1be49c23bce12","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_91d2595d3afc0345156f47f1aef2190dd8df38bc35661f0c67ffd47e13a05b8f","52","360","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","15","01800f32c65286e70b0c5b8fc2b908e4b613ac08be34684a919059a54ef71d12","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_91d2595d3afc0345156f47f1aef2190dd8df38bc35661f0c67ffd47e13a05b8f","56","360","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","15","5197d5616131224e74bae4ee133329f708e8a7907de2527d51e6ce54cfbf8fc4","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_91d2595d3afc0345156f47f1aef2190dd8df38bc35661f0c67ffd47e13a05b8f","60","360","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","15","68253e3f96ad021dc21f855e51f9c21e282273ae62461381920d35fa61624346","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_5dc75e889cc946cb000344c25dbda1f39635c9818e4a434ce7592a7a827099c8","64","360","SV5_LOOP_033cc1aaf3efb26c1624","LOOP_SCALLOP","SV5_OPTIONAL_14","False","3","0c1e270e46a22a65fdf54f361b66f7113f53c966a40012fbe5764b375f7af49b","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_a067a75b4a15890d60cf4f68438025be0639bc703426eacedaea8d0f3d780c5b","552","20","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SHELF","SV5_OPTIONAL_04","False","60928","e37c7bc2ea4311de049ca588bc1bd297f88c38615704943260411deb4b3cbd59","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_e186cc2427b7c6001b9e8d7f09f2dbafb6526a9d450e0b7adb906ecfaa0785a5","556","20","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SHELF","SV5_OPTIONAL_04","False","65280","758a07669256fa389b8ead8c17bb79a85aeb72bc7aae6bf6718d5cc6c26d0b9e","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_7a894dadcca7ad58ffa33571f5eaa386ef45137da55a54ae941c05485c9e10f3","552","24","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SHELF","SV5_OPTIONAL_04","False","14","b7dc93ce507f579aec2987d988265b846d1694ed71b7a46ffc432993aed1cdfa","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_91d2595d3afc0345156f47f1aef2190dd8df38bc35661f0c67ffd47e13a05b8f","556","24","SV5_LOOP_04909d2d0771f8c70c71","LOOP_SHELF","SV5_OPTIONAL_04","False","15","bfaf4a905a7437036833bafdab8b9e56ecab2a7c658f81150c60faa4e06dc853","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_f26912a5d505a18ef137125cc7e9c3c002fd26d2bd590589c1fcff7fe899df9a","552","68","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SCALLOP","SV5_OPTIONAL_04","False","49152","cf5d30d2a3fec6a0dc16157e907920c0daf81f0e3b7806c4f3407545b7592ed8","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_cf9f6ef10dc9309dbe6cd9a78b89da52064671cc60e99a185279a93285f856a9","556","68","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SCALLOP","SV5_OPTIONAL_04","False","30464","62700bd80fdad2ca4a7955f3ba20403bee48d5fb86ff63b8d9e8fdd24a27ddf6","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_0c0b1ba6722dd6d3ef113e9ae80c232e1dc787ae0cb249b9f81e174e6368ad05","548","72","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SCALLOP","SV5_OPTIONAL_04","False","61120","7ee98c7a43b5100f16030edb906f5b043c96e047f575f0cdf853f01228ad190b","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_61ae1e9b0c350576c855e873783d7c03356cfcf00d7734c02bd86766cd3651e6","552","72","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SCALLOP","SV5_OPTIONAL_04","False","6143","cff1841a90ddf85e7b52290d9baf36a388a8c1855086cfc8c2d4e40618deee99","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_2c585caebd07cf85df6418eab01f3323e96d3dda90372e346a07349c0462c833","556","72","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SCALLOP","SV5_OPTIONAL_04","False","23","740bdc36dfeff8aefb2235d5f56f84ce6b26443b5e4be51cb0abdefc3de52e31","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_3448a24c1fad72cc815561fd8de3c9b68d38c2590e4c6f44addb43b186bfe1ba","548","76","SV5_LOOP_09639e7ac88f0bb14df6","LOOP_SCALLOP","SV5_OPTIONAL_04","False","6","af64dc0c73311841e8763430c7413c6ac0e57313e6e6c6150eeee3fe68504f01","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_df412e390b45860f56c7d70378768101f6318a86aa45d2f77982bad689b87410","124","148","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","52224","f87c543d7165a44a7157d42de81bbaa81072f9345bc9ecd3a96204ff0325eb6a","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_83b424097a8ba926c2f48b0d05f68fbf31b6c5dcd0b75fc874d4f24e1d87acdd","128","148","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","4096","d8b5edfe60ec86b6283b55fd561d52146b72893bb2e92a8d6baaf5bb055a2e9c","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_94e9562c0d11c0cc1e09ab3208124dc37c8a7b74016af3c8ddf7a494b44774b3","124","152","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","140","042b81fe28e9cfce8df387c187dbf25c1542039d22b2e66ec70fcc6918e838f0","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_95b823976eae6bf077d1d75cf3cc7d6c65449d888d448aea6debe656bd40795f","128","152","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","61299","61680ef7d647628a36ec2b9a437f09b153a3162ebb615e1c3c37bae8f1819349","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_83b424097a8ba926c2f48b0d05f68fbf31b6c5dcd0b75fc874d4f24e1d87acdd","132","152","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","4096","e8c08f913a1b238d0b52e3377b44edb2d72f2cc34ff6c55b17b29154d5981504","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_94e9562c0d11c0cc1e09ab3208124dc37c8a7b74016af3c8ddf7a494b44774b3","128","156","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","140","c7c6a54d6f5574fd7749633a6cc7dddb20ddb3757114bac1163ebff835225ee7","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_95b823976eae6bf077d1d75cf3cc7d6c65449d888d448aea6debe656bd40795f","132","156","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","61299","f18ceb74bb37d3204200b887095f6e5e050f6adc584a5f8cdd584755b717e39e","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_83b424097a8ba926c2f48b0d05f68fbf31b6c5dcd0b75fc874d4f24e1d87acdd","136","156","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","4096","6a8ae6f8555397ce43798219290ba328436cc060cf5ac71dacfb510b224c19bd","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_94e9562c0d11c0cc1e09ab3208124dc37c8a7b74016af3c8ddf7a494b44774b3","132","160","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","140","f86e525a33ccc22b12bdf95b4cf9996952aadfe8de83320663e75a9e1ad7c81e","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
"INFILL_a05485471eb21c7249bd72985e930f86f59cd09c539bd1c313bbce3329b3d94a","136","160","SV5_LOOP_0e2e3d15796340638ca3","LOOP_SCALLOP","SV5_OPTIONAL_09","False","26483","756681d8e3cdcb9220b51281b8f4e33deaef6bab490edb6d45a1f1f867d76e7f","1e6b72cdd899037faa6eca523eb247245b83a2238d7e72a8406e27f2fad5c603"
