pair_key,sector_a,sector_b,lower_bound,endpoint_pairs,plan_digest
S00_00|S00_00,S00_00,S00_00,0,1,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_00|S00_01,S00_00,S00_01,1,6,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_00|S00_02,S00_00,S00_02,33,6,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_00|S01_00,S00_00,S01_00,1,10,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_00|S01_01,S00_00,S01_01,2,15,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_00|S01_02,S00_00,S01_02,34,12,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_00|S02_00,S00_00,S02_00,49,17,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S00_01,S00_01,S00_01,0,36,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S00_02,S00_01,S00_02,1,36,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S00_03,S00_01,S00_03,33,36,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S01_00,S01_00,S00_01,2,60,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S01_01,S00_01,S01_01,1,90,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S01_02,S00_01,S01_02,2,72,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
S00_01|S01_03,S00_01,S01_03,34,42,1e798ad29680791af17a09e8267e77a7dbb90010fa78f743eb1d57a81cd80d03
