pair_key,sector_a,sector_b,lower_bound,endpoint_pairs,plan_digest
S00_00|S00_00,S00_00,S00_00,0,1,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_00|S00_01,S00_00,S00_01,1,6,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_00|S00_02,S00_00,S00_02,33,6,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_00|S01_00,S00_00,S01_00,1,10,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_00|S01_01,S00_00,S01_01,2,15,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_00|S01_02,S00_00,S01_02,34,12,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_00|S02_00,S00_00,S02_00,49,17,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S00_01,S00_01,S00_01,0,36,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S00_02,S00_01,S00_02,1,36,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S00_03,S00_01,S00_03,33,36,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S01_00,S01_00,S00_01,2,60,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S01_01,S00_01,S01_01,1,90,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S01_02,S00_01,S01_02,2,72,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S01_03,S00_01,S01_03,34,42,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_01|S02_01,S00_01,S02_01,49,6,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S00_02,S00_02,S00_02,0,36,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S00_03,S00_02,S00_03,1,36,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S00_04,S00_02,S00_04,33,78,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S01_00,S01_00,S00_02,34,60,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S01_01,S01_01,S00_02,2,90,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S01_02,S00_02,S01_02,1,72,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S01_03,S00_02,S01_03,2,42,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S01_04,S00_02,S01_04,34,126,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_02|S02_02,S00_02,S02_02,49,96,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S00_03,S00_03,S00_03,0,36,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S00_04,S00_03,S00_04,1,78,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S00_05,S00_03,S00_05,33,42,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S01_01,S01_01,S00_03,34,90,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S01_02,S01_02,S00_03,2,72,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S01_03,S00_03,S01_03,1,42,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S01_04,S00_03,S01_04,2,126,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S01_05,S00_03,S01_05,34,78,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_03|S02_03,S00_03,S02_03,49,72,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_04|S00_04,S00_04,S00_04,0,169,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
S00_04|S00_05,S00_04,S00_05,1,91,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
