sidepath_id,sequence,x,y,source_value,final_value,head_value,support_value,movement_role,plan_digest
SV5_SIDE_02c4e18b92e81a5973d2,0,73,108,AIR,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,1,74,108,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,2,75,108,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,3,76,108,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,4,77,108,SOLID,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,5,77,109,SOLID,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,6,78,109,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,7,79,109,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,8,80,109,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,9,81,109,SOLID,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,10,81,108,SOLID,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,11,82,108,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,12,83,108,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,13,84,108,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,14,85,108,SOLID,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,15,85,107,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,16,86,107,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,17,87,107,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,18,88,107,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,19,89,107,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,20,89,106,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,21,90,106,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,22,91,106,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,23,92,106,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,24,92,105,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,25,93,105,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,26,94,105,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,27,95,105,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,28,96,105,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,29,96,104,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,30,97,104,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,31,98,104,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,32,99,104,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,33,100,104,SOLID,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,34,100,103,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,35,101,103,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,36,102,103,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,37,103,103,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_02c4e18b92e81a5973d2,38,104,103,AIR,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,0,50,165,AIR,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,1,51,165,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,2,52,165,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,3,53,165,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,4,54,165,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,5,55,165,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,6,55,164,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,7,56,164,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,8,57,164,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,9,58,164,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,10,59,164,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,11,59,165,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
SV5_SIDE_08aa78d0cf94e352179c,12,60,165,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,d034aec1de9d1fea770f9d7eb8607276e03dd7c0793d2c718435e4fe0a312fd4
