endpoint_id,room_id,space_group_id,connection_id,port_id,micro_pattern_owner,x,y,exit_x,stable_hash,plan_digest
EP_7e6a63e44c6aefb339ddc118,SV5_INFILL_ROOM_0185002ddaf865f0355b,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0185002ddaf865f0355b:DEAD_END,19,135,1,41a2a8eac681a974d3993e029e3a0db10351654f37660f74bf693c4c67236cef,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_b35144ee24245ae94f97385d,SV5_INFILL_ROOM_0eaf7a838d77541f94b1,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0eaf7a838d77541f94b1:DEAD_END,19,171,1,9b029c043e8e04522efa044bf8d8837992da9b32014f7d58d9d3e16ca8f93282,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_dd54ed88b3eb7ee355f48c3b,SV5_INFILL_ROOM_16870ede36f0a6d666e9,SV5_OPTIONAL_11,SV5_OPTIONAL_11,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_16870ede36f0a6d666e9:DEAD_END,19,263,1,093c0e2080c1022bef870b1239cb8a62d980362d3b1106122829015e36300277,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_df9c97cc8a5608deae8c4767,SV5_INFILL_ROOM_16870ede36f0a6d666e9,SV5_OPTIONAL_11,SV5_OPTIONAL_11,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_16870ede36f0a6d666e9_LINK:CONNECTOR,21,262,1,8a3c89816434d0053ad0f6d0e0c65280f71d64fd43a2a5ed965ce47230feed81,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_efedb082b4fa2274a47129c8,SV5_INFILL_ROOM_0eaf7a838d77541f94b1,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0eaf7a838d77541f94b1_LINK:CONNECTOR,22,169,-1,2d2b3ac7b2178db7ebf5e085a4542ce158f83d3070f0af71c36aab609ec66961,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_68359519f88f206a65803fae,SV5_INFILL_ROOM_16870ede36f0a6d666e9,SV5_OPTIONAL_11,SV5_OPTIONAL_11,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_16870ede36f0a6d666e9_LINK:CONNECTOR,22,261,1,afff1dc9d8f0f45a0b251c6401083a5edeaa46d1ec2375e55ba011970c39cf2a,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_def1200d1eace53647321791,SV5_INFILL_ROOM_16870ede36f0a6d666e9,SV5_OPTIONAL_11,SV5_OPTIONAL_11,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_16870ede36f0a6d666e9_LINK:CONNECTOR,22,261,-1,480b3e6140aac625a4df358f9a71fb3229ef5b12c09a1b8cfb8da100261ac35a,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_c4ab6f8050b139bfd4af9e4d,SV5_INFILL_ROOM_225c40e5664c1cf9ab35,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_225c40e5664c1cf9ab35:EMPTY_ROOM,23,155,1,c7dea630f8a5fe30ffda6ae6e9a1e6e5dfbcd81eb6d3299353e32c7b66f99abd,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_0b9ed6251ff29a11050014e2,SV5_INFILL_ROOM_0eaf7a838d77541f94b1,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0eaf7a838d77541f94b1_LINK:CONNECTOR,23,168,1,876778fdc84a2a21c98385353c888c18218fa65c1f2258c222dd6bc60f524862,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_6545de7be8a8145ea530b900,SV5_INFILL_ROOM_16870ede36f0a6d666e9,SV5_OPTIONAL_11,SV5_OPTIONAL_11,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_16870ede36f0a6d666e9_LINK:CONNECTOR,23,260,1,7a553a5c35251b081b807dfed2ee40b187bb5606f06e836f9fac5c2d880a22b2,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_989691fbe704ed85067f5e67,SV5_INFILL_ROOM_16870ede36f0a6d666e9,SV5_OPTIONAL_11,SV5_OPTIONAL_11,SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_INFILL_ROOM_16870ede36f0a6d666e9_LINK:CONNECTOR,23,260,-1,ff185dbec7ce4272ded4fbb1117cc261ae42b0cbcd884322b9bcdadb90abf88b,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_756aed4c291ddb230b3d6786,SV5_INFILL_ROOM_00473322334dddb23100,SV5_OPTIONAL_12,SV5_OPTIONAL_12,SV5_PLACE_04_CB2B17D440D58981_PORT_IN,SV5_INFILL_ROOM_00473322334dddb23100:EMPTY_ROOM,23,331,1,c3ee29f4889fc5dd2b484cdb4e5904f6c4e7e72afa0f180c5d60b2c71f45c01a,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_5050d6255a305d5718e12e88,SV5_INFILL_ROOM_030a02d7aa5a692e4bf7,SV5_OPTIONAL_12,SV5_OPTIONAL_12,SV5_PLACE_04_CB2B17D440D58981_PORT_IN,SV5_INFILL_ROOM_030a02d7aa5a692e4bf7:DEAD_END,23,359,1,b83f08b0657827e85a29bf7b30e2242e5ba3980e303c6832f9c42b1acb64ea8d,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
EP_05f6645e7488d3f6dd08655c,SV5_INFILL_ROOM_0eaf7a838d77541f94b1,SV5_OPTIONAL_09,SV5_OPTIONAL_09,SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_INFILL_ROOM_0eaf7a838d77541f94b1_LINK:CONNECTOR,24,167,-1,53d2d5c44996f0c3bff6d3f11eedb49a66024ce1dfc52b79a276edf2a4135f0e,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
