sidepath_id,sequence,x,y,source_value,final_value,head_value,support_value,movement_role,plan_digest
SV5_SIDE_0cb62cb345805a17bb7e,0,116,255,AIR,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,1,115,255,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,2,114,255,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,3,113,255,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,4,112,255,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,5,111,255,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,6,110,255,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,7,110,256,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,8,109,256,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,9,108,256,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,10,107,256,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,11,106,256,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,12,106,255,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,13,105,255,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,14,104,255,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,15,103,255,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,16,102,255,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,17,101,255,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,18,101,256,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
SV5_SIDE_0cb62cb345805a17bb7e,19,100,256,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,03502fb599d4b513036ade56d0eac06e8cbd5ade6a2adbf028d5e2e588a11bcd
