sidepath_id,sequence,x,y,source_value,final_value,head_value,support_value,movement_role,plan_digest
SV5_SIDE_01d2925e85f830d81c0b,0,209,392,AIR,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,1,210,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,2,211,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,3,212,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,4,213,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,5,214,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,6,215,392,SOLID,AIR,AIR,AIR,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,7,215,391,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,8,216,391,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,9,217,391,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,10,218,391,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,11,219,391,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,12,219,392,SOLID,AIR,AIR,AIR,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,13,220,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,14,221,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,15,222,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,16,223,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,17,224,392,SOLID,AIR,AIR,AIR,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,18,224,391,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,19,225,391,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,20,226,391,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,21,227,391,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,22,228,391,SOLID,AIR,AIR,UNKNOWN,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,23,228,392,SOLID,AIR,AIR,AIR,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,24,229,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,25,230,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_01d2925e85f830d81c0b,26,231,392,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,0,159,192,AIR,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,1,158,192,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,2,157,192,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,3,156,192,SOLID,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,4,155,192,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,5,154,192,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,6,153,192,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,7,153,191,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,8,152,191,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,9,151,191,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,10,150,191,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,11,149,191,UNKNOWN,AIR,AIR,UNKNOWN,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,12,149,192,UNKNOWN,AIR,AIR,AIR,STEP_TRANSITION,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,13,148,192,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,14,147,192,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
SV5_SIDE_054242777468e05e69f1,15,146,192,UNKNOWN,AIR,AIR,SOLID,SUPPORTED_FOOT,c4047b78601928383e81fd84b2ad56c4a065fede00be8b56e40c56760296cd21
